"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","557","1.12%","93.77%","37","1.01%","6.23%","594","1.11%"
"039
Crawford County","25",".05%","100.00%","","","","25",".05%"
"040
Crisp County","282",".57%","93.07%","21",".58%","6.93%","303",".57%"
"041
Dade County","96",".19%","93.20%","7",".19%","6.80%","103",".19%"
"042
Dawson County","93",".19%","88.57%","12",".33%","11.43%","105",".20%"
"043
Decatur County","263",".53%","94.95%","14",".38%","5.05%","277",".52%"
"044
Dekalb County","3,153","6.33%","95.08%","163","4.47%","4.92%","3,316","6.20%"
"045
Dodge County","148",".30%","94.27%","9",".25%","5.73%","157",".29%"
"046
Dooly County","92",".18%","96.84%","3",".08%","3.16%","95",".18%"
"047
Dougherty County","969","1.95%","94.35%","58","1.59%","5.65%","1,027","1.92%"
"048
Douglas County","1,159","2.33%","89.98%","129","3.54%","10.02%","1,288","2.41%"
"049
Early County","101",".20%","95.28%","5",".14%","4.72%","106",".20%"
"050
Echols County","8",".02%","100.00%","","","","8",".01%"
"051
Effingham County","199",".40%","93.43%","14",".38%","6.57%","213",".40%"
"052
Elbert County","127",".25%","91.37%","12",".33%","8.63%","139",".26%"
"053
Emanuel County","185",".37%","93.43%","13",".36%","6.57%","198",".37%"
"054
Evans County","103",".21%","95.37%","5",".14%","4.63%","108",".20%"
"055
Fannin County","88",".18%","86.27%","14",".38%","13.73%","102",".19%"
"056
Fayette County","344",".69%","86.43%","54","1.48%","13.57%","398",".74%"
"057
Floyd County","901","1.81%","89.56%","105","2.88%","10.44%","1,006","1.88%"
"058
Forsyth County","376",".75%","91.71%","34",".93%","8.29%","410",".77%"
"059
Franklin County","134",".27%","92.41%","11",".30%","7.59%","145",".27%"
"060
Fulton County","4,964","9.96%","96.22%","195","5.35%","3.78%","5,159","9.65%"
"061
Gilmer County","89",".18%","92.71%","7",".19%","7.29%","96",".18%"
"062
Glascock County","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"063
Glynn County","516","1.04%","92.47%","42","1.15%","7.53%","558","1.04%"
"064
Gordon County","370",".74%","86.25%","59","1.62%","13.75%","429",".80%"
"065
Grady County","173",".35%","95.05%","9",".25%","4.95%","182",".34%"
"066
Greene County","112",".22%","93.33%","8",".22%","6.67%","120",".22%"
"067
Gwinnett County","2,356","4.73%","92.79%","183","5.02%","7.21%","2,539","4.75%"
"068
Habersham County","105",".21%","94.59%","6",".16%","5.41%","111",".21%"
"069
Hall County","687","1.38%","91.24%","66","1.81%","8.76%","753","1.41%"
"070
Hancock County","34",".07%","91.89%","3",".08%","8.11%","37",".07%"
"071
Haralson County","158",".32%","92.94%","12",".33%","7.06%","170",".32%"
"072
Harris County","99",".20%","91.67%","9",".25%","8.33%","108",".20%"
"073
Hart County","158",".32%","96.93%","5",".14%","3.07%","163",".30%"
"074
Heard County","44",".09%","91.67%","4",".11%","8.33%","48",".09%"
"075
Henry County","536","1.08%","90.24%","58","1.59%","9.76%","594","1.11%"
