"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","48",".11%","94.12%","3",".10%","5.88%","51",".11%"
"Polk County","192",".44%","90.14%","21",".69%","9.86%","213",".46%"
"Pulaski County","28",".06%","84.85%","5",".17%","15.15%","33",".07%"
"Putnam County","151",".35%","93.79%","10",".33%","6.21%","161",".34%"
"Quitman County","11",".03%","100.00%","","","","11",".02%"
"Rabun County","54",".12%","83.08%","11",".36%","16.92%","65",".14%"
"Randolph County","46",".11%","97.87%","1",".03%","2.13%","47",".10%"
"Richmond County","1,555","3.55%","94.76%","86","2.84%","5.24%","1,641","3.51%"
"Rockdale County","392",".90%","93.78%","26",".86%","6.22%","418",".89%"
"Schley County","18",".04%","100.00%","","","","18",".04%"
"Screven County","100",".23%","95.24%","5",".17%","4.76%","105",".22%"
"Seminole County","52",".12%","85.25%","9",".30%","14.75%","61",".13%"
"Spalding County","419",".96%","92.70%","33","1.09%","7.30%","452",".97%"
"Stephens County","123",".28%","96.09%","5",".17%","3.91%","128",".27%"
"Stewart County","20",".05%","86.96%","3",".10%","13.04%","23",".05%"
"Sumter County","188",".43%","96.41%","7",".23%","3.59%","195",".42%"
"Talbot County","21",".05%","95.45%","1",".03%","4.55%","22",".05%"
"Taliaferro County","21",".05%","100.00%","","","","21",".04%"
"Tattnall County","149",".34%","88.69%","19",".63%","11.31%","168",".36%"
"Taylor County","45",".10%","90.00%","5",".17%","10.00%","50",".11%"
"Telfair County","92",".21%","92.93%","7",".23%","7.07%","99",".21%"
"Terrell County","73",".17%","97.33%","2",".07%","2.67%","75",".16%"
"Thomas County","191",".44%","95.98%","8",".26%","4.02%","199",".43%"
"Tift County","311",".71%","96.88%","10",".33%","3.12%","321",".69%"
"Toombs County","281",".64%","91.23%","27",".89%","8.77%","308",".66%"
"Towns County","48",".11%","80.00%","12",".40%","20.00%","60",".13%"
"Treutlen County","68",".16%","100.00%","","","","68",".15%"
"Troup County","531","1.21%","93.82%","35","1.16%","6.18%","566","1.21%"
"Turner County","54",".12%","94.74%","3",".10%","5.26%","57",".12%"
"Twiggs County","36",".08%","90.00%","4",".13%","10.00%","40",".09%"
"Union County","87",".20%","82.08%","19",".63%","17.92%","106",".23%"
"Upson County","154",".35%","94.48%","9",".30%","5.52%","163",".35%"
"Walker County","399",".91%","90.27%","43","1.42%","9.73%","442",".94%"
"Walton County","601","1.37%","90.79%","61","2.02%","9.21%","662","1.42%"
"Ware County","229",".52%","92.71%","18",".60%","7.29%","247",".53%"
"Warren County","26",".06%","89.66%","3",".10%","10.34%","29",".06%"
"Washington County","173",".40%","92.02%","15",".50%","7.98%","188",".40%"
"Wayne County","193",".44%","90.61%","20",".66%","9.39%","213",".46%"
