"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","67",".14%","98.53%","1",".03%","1.47%","68",".13%"
"78
Jackson","202",".41%","93.52%","14",".41%","6.48%","216",".41%"
"79
Jasper","62",".13%","96.88%","2",".06%","3.13%","64",".12%"
"80
Jeff Davis","57",".12%","82.61%","12",".35%","17.39%","69",".13%"
"81
Jefferson","131",".27%","95.62%","6",".17%","4.38%","137",".26%"
"82
Jenkins","52",".11%","94.55%","3",".09%","5.45%","55",".11%"
"83
Johnson","54",".11%","90.00%","6",".17%","10.00%","60",".11%"
"84
Jones","184",".38%","89.76%","21",".61%","10.24%","205",".39%"
"85
Lamar","69",".14%","92.00%","6",".17%","8.00%","75",".14%"
"86
Lanier","41",".08%","97.62%","1",".03%","2.38%","42",".08%"
"87
Laurens","293",".60%","93.91%","19",".55%","6.09%","312",".60%"
"88
Lee","65",".13%","95.59%","3",".09%","4.41%","68",".13%"
"89
Liberty","296",".61%","92.79%","23",".67%","7.21%","319",".61%"
"90
Lincoln","22",".05%","100.00%","","","","22",".04%"
"91
Long","70",".14%","95.89%","3",".09%","4.11%","73",".14%"
"92
Lowndes","520","1.07%","94.20%","32",".93%","5.80%","552","1.06%"
"93
Lumpkin","103",".21%","91.15%","10",".29%","8.85%","113",".22%"
"94
Macon","72",".15%","97.30%","2",".06%","2.70%","74",".14%"
"95
Madison","117",".24%","93.60%","8",".23%","6.40%","125",".24%"
"96
Marion","40",".08%","97.56%","1",".03%","2.44%","41",".08%"
"97
Mcduffie","177",".36%","95.16%","9",".26%","4.84%","186",".36%"
"98
Mcintosh","68",".14%","100.00%","","","","68",".13%"
"99
Meriwether","223",".46%","97.38%","6",".17%","2.62%","229",".44%"
"100
Miller","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"101
Mitchell","199",".41%","93.87%","13",".38%","6.13%","212",".41%"
"102
Monroe","143",".29%","88.82%","18",".52%","11.18%","161",".31%"
"103
Montgomery","50",".10%","92.59%","4",".12%","7.41%","54",".10%"
"104
Morgan","155",".32%","92.26%","13",".38%","7.74%","168",".32%"
"105
Murray","188",".39%","92.61%","15",".44%","7.39%","203",".39%"
"106
Muscogee","1,542","3.16%","95.48%","73","2.12%","4.52%","1,615","3.09%"
"107
Newton","624","1.28%","92.04%","54","1.57%","7.96%","678","1.30%"
"108
Oconee","56",".11%","94.92%","3",".09%","5.08%","59",".11%"
"109
Oglethorpe","51",".10%","98.08%","1",".03%","1.92%","52",".10%"
"110
Paulding","264",".54%","92.96%","20",".58%","7.04%","284",".54%"
"111
Peach","79",".16%","97.53%","2",".06%","2.47%","81",".16%"
"112
Pickens","100",".21%","89.29%","12",".35%","10.71%","112",".21%"
"113
Pierce","64",".13%","91.43%","6",".17%","8.57%","70",".13%"
"114
Pike","49",".10%","90.74%","5",".15%","9.26%","54",".10%"
