"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","553","1.24%","94.53%","32",".98%","5.47%","585","1.22%"
"039
Crawford County","21",".05%","100.00%","","","","21",".04%"
"040
Crisp County","349",".78%","93.32%","25",".77%","6.68%","374",".78%"
"041
Dade County","82",".18%","90.11%","9",".28%","9.89%","91",".19%"
"042
Dawson County","101",".23%","92.66%","8",".25%","7.34%","109",".23%"
"043
Decatur County","235",".53%","94.76%","13",".40%","5.24%","248",".52%"
"044
Dekalb County","2,384","5.35%","95.63%","109","3.34%","4.37%","2,493","5.21%"
"045
Dodge County","111",".25%","90.24%","12",".37%","9.76%","123",".26%"
"046
Dooly County","135",".30%","91.22%","13",".40%","8.78%","148",".31%"
"047
Dougherty County","741","1.66%","95.49%","35","1.07%","4.51%","776","1.62%"
"048
Douglas County","894","2.01%","91.60%","82","2.52%","8.40%","976","2.04%"
"049
Early County","81",".18%","96.43%","3",".09%","3.57%","84",".18%"
"050
Echols County","13",".03%","100.00%","","","","13",".03%"
"051
Effingham County","209",".47%","90.09%","23",".71%","9.91%","232",".49%"
"052
Elbert County","125",".28%","95.42%","6",".18%","4.58%","131",".27%"
"053
Emanuel County","175",".39%","92.59%","14",".43%","7.41%","189",".40%"
"054
Evans County","77",".17%","92.77%","6",".18%","7.23%","83",".17%"
"055
Fannin County","98",".22%","89.09%","12",".37%","10.91%","110",".23%"
"056
Fayette County","340",".76%","93.15%","25",".77%","6.85%","365",".76%"
"057
Floyd County","842","1.89%","89.77%","96","2.94%","10.23%","938","1.96%"
"058
Forsyth County","367",".82%","90.84%","37","1.13%","9.16%","404",".84%"
"059
Franklin County","150",".34%","90.36%","16",".49%","9.64%","166",".35%"
"060
Fulton County","4,147","9.31%","96.26%","161","4.94%","3.74%","4,308","9.01%"
"061
Gilmer County","96",".22%","92.31%","8",".25%","7.69%","104",".22%"
"062
Glascock County","13",".03%","100.00%","","","","13",".03%"
"063
Glynn County","458","1.03%","93.47%","32",".98%","6.53%","490","1.02%"
"064
Gordon County","398",".89%","86.33%","63","1.93%","13.67%","461",".96%"
"065
Grady County","164",".37%","92.66%","13",".40%","7.34%","177",".37%"
"066
Greene County","105",".24%","93.75%","7",".21%","6.25%","112",".23%"
"067
Gwinnett County","2,272","5.10%","93.42%","160","4.91%","6.58%","2,432","5.09%"
"068
Habersham County","113",".25%","86.92%","17",".52%","13.08%","130",".27%"
"069
Hall County","642","1.44%","92.64%","51","1.56%","7.36%","693","1.45%"
"070
Hancock County","41",".09%","95.35%","2",".06%","4.65%","43",".09%"
"071
Haralson County","121",".27%","91.67%","11",".34%","8.33%","132",".28%"
"072
Harris County","92",".21%","94.85%","5",".15%","5.15%","97",".20%"
"073
Hart County","167",".37%","90.76%","17",".52%","9.24%","184",".38%"
"074
Heard County","41",".09%","93.18%","3",".09%","6.82%","44",".09%"
"075
Henry County","606","1.36%","91.96%","53","1.63%","8.04%","659","1.38%"
