"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","9",".02%","100.00%","","","","9",".02%"
"153
Wheeler County","33",".06%","97.06%","1",".03%","2.94%","34",".06%"
"154
White County","111",".21%","87.40%","16",".41%","12.60%","127",".23%"
"155
Whitfield County","619","1.18%","90.63%","64","1.66%","9.37%","683","1.21%"
"156
Wilcox County","47",".09%","87.04%","7",".18%","12.96%","54",".10%"
"157
Wilkes County","72",".14%","94.74%","4",".10%","5.26%","76",".14%"
"158
Wilkinson County","47",".09%","94.00%","3",".08%","6.00%","50",".09%"
"159
Worth County","115",".22%","94.26%","7",".18%","5.74%","122",".22%"
"Total Rported","52,384","100%","93.13%","3,862","100%","6.87%","56,246","100%"
