"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","43",".10%","93.48%","3",".09%","6.52%","46",".10%"
"115
Polk County","207",".46%","91.19%","20",".60%","8.81%","227",".47%"
"116
Pulaski County","35",".08%","87.50%","5",".15%","12.50%","40",".08%"
"117
Putnam County","146",".33%","95.42%","7",".21%","4.58%","153",".32%"
"118
Quitman County","7",".02%","100.00%","","","","7",".01%"
"119
Rabun County","64",".14%","88.89%","8",".24%","11.11%","72",".15%"
"120
Randolph County","47",".10%","94.00%","3",".09%","6.00%","50",".10%"
"121
Richmond County","1,515","3.37%","94.22%","93","2.81%","5.78%","1,608","3.33%"
"122
Rockdale County","451","1.00%","93.37%","32",".97%","6.63%","483","1.00%"
"123
Schley County","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"124
Screven County","101",".22%","94.39%","6",".18%","5.61%","107",".22%"
"125
Seminole County","71",".16%","88.75%","9",".27%","11.25%","80",".17%"
"126
Spalding County","430",".96%","91.49%","40","1.21%","8.51%","470",".97%"
"127
Stephens County","126",".28%","96.92%","4",".12%","3.08%","130",".27%"
"128
Stewart County","22",".05%","88.00%","3",".09%","12.00%","25",".05%"
"129
Sumter County","200",".45%","95.69%","9",".27%","4.31%","209",".43%"
"130
Talbot County","20",".04%","90.91%","2",".06%","9.09%","22",".05%"
"131
Taliaferro County","14",".03%","100.00%","","","","14",".03%"
"132
Tattnall County","176",".39%","86.27%","28",".85%","13.73%","204",".42%"
"133
Taylor County","44",".10%","93.62%","3",".09%","6.38%","47",".10%"
"134
Telfair County","95",".21%","92.23%","8",".24%","7.77%","103",".21%"
"135
Terrell County","66",".15%","97.06%","2",".06%","2.94%","68",".14%"
"136
Thomas County","219",".49%","95.63%","10",".30%","4.37%","229",".47%"
"137
Tift County","294",".65%","95.45%","14",".42%","4.55%","308",".64%"
"138
Toombs County","274",".61%","90.73%","28",".85%","9.27%","302",".63%"
"139
Towns County","53",".12%","79.10%","14",".42%","20.90%","67",".14%"
"140
Treutlen County","64",".14%","98.46%","1",".03%","1.54%","65",".13%"
"141
Troup County","575","1.28%","93.34%","41","1.24%","6.66%","616","1.28%"
"142
Turner County","46",".10%","93.88%","3",".09%","6.12%","49",".10%"
"143
Twiggs County","36",".08%","87.80%","5",".15%","12.20%","41",".09%"
"144
Union County","80",".18%","86.96%","12",".36%","13.04%","92",".19%"
"145
Upson County","182",".41%","92.39%","15",".45%","7.61%","197",".41%"
"146
Walker County","406",".90%","91.44%","38","1.15%","8.56%","444",".92%"
"147
Walton County","615","1.37%","91.25%","59","1.78%","8.75%","674","1.40%"
"148
Ware County","236",".53%","89.06%","29",".88%","10.94%","265",".55%"
"149
Warren County","29",".06%","90.63%","3",".09%","9.38%","32",".07%"
"150
Washington County","172",".38%","91.98%","15",".45%","8.02%","187",".39%"
"151
Wayne County","185",".41%","89.37%","22",".67%","10.63%","207",".43%"
