"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"027   Chattooga County","174","0.35%","90.16%","19","0.47%","9.84%","193","0.36%"
"028   Cherokee County","679","1.37%","91.63%","62","1.54%","8.37%","741","1.38%"
"029   Clarke County","535","1.08%","93.7%","36","0.9%","6.3%","571","1.07%"
"030   Clay County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"031   Clayton County","1,150","2.32%","92.97%","87","2.17%","7.03%","1,237","2.31%"
"032   Clinch County","41","0.08%","91.11%","4","0.1%","8.89%","45","0.08%"
"033   Cobb County","2,176","4.39%","93.55%","150","3.74%","6.45%","2,326","4.34%"
"034   Coffee County","312","0.63%","91.23%","30","0.75%","8.77%","342","0.64%"
"035   Colquitt County","191","0.39%","96.95%","6","0.15%","3.05%","197","0.37%"
"036   Columbia County","511","1.03%","87.95%","70","1.74%","12.05%","581","1.08%"
"037   Cook County","133","0.27%","92.36%","11","0.27%","7.64%","144","0.27%"
"038   Coweta County","742","1.5%","93.81%","49","1.22%","6.19%","791","1.48%"
"039   Crawford County","35","0.07%","92.11%","3","0.07%","7.89%","38","0.07%"
"040   Crisp County","382","0.77%","91.83%","34","0.85%","8.17%","416","0.78%"
"041   Dade County","89","0.18%","89.9%","10","0.25%","10.1%","99","0.18%"
"042   Dawson County","133","0.27%","86.93%","20","0.5%","13.07%","153","0.29%"
"043   Decatur County","319","0.64%","90.63%","33","0.82%","9.38%","352","0.66%"
"044   Dekalb County","2,729","5.5%","94.43%","161","4.01%","5.57%","2,890","5.39%"
"045   Dodge County","133","0.27%","91.72%","12","0.3%","8.28%","145","0.27%"
"046   Dooly County","123","0.25%","90.44%","13","0.32%","9.56%","136","0.25%"
"047   Dougherty County","709","1.43%","95.81%","31","0.77%","4.19%","740","1.38%"
"048   Douglas County","807","1.63%","90.98%","80","1.99%","9.02%","887","1.66%"
"049   Early County","68","0.14%","95.77%","3","0.07%","4.23%","71","0.13%"
"050   Echols County","12","0.02%","92.31%","1","0.02%","7.69%","13","0.02%"
"051   Effingham County","341","0.69%","87.44%","49","1.22%","12.56%","390","0.73%"
"052   Elbert County","129","0.26%","91.49%","12","0.3%","8.51%","141","0.26%"
"053   Emanuel County","219","0.44%","93.19%","16","0.4%","6.81%","235","0.44%"
