"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","35",".08%","94.59%","2",".06%","5.41%","37",".08%"
"115
Polk County","216",".47%","91.53%","20",".57%","8.47%","236",".48%"
"116
Pulaski County","33",".07%","86.84%","5",".14%","13.16%","38",".08%"
"117
Putnam County","151",".33%","96.18%","6",".17%","3.82%","157",".32%"
"118
Quitman County","8",".02%","100.00%","","","","8",".02%"
"119
Rabun County","68",".15%","88.31%","9",".26%","11.69%","77",".16%"
"120
Randolph County","48",".10%","96.00%","2",".06%","4.00%","50",".10%"
"121
Richmond County","1,547","3.38%","93.64%","105","3.00%","6.36%","1,652","3.35%"
"122
Rockdale County","456","1.00%","92.12%","39","1.11%","7.88%","495","1.00%"
"123
Schley County","21",".05%","95.45%","1",".03%","4.55%","22",".04%"
"124
Screven County","113",".25%","94.17%","7",".20%","5.83%","120",".24%"
"125
Seminole County","65",".14%","89.04%","8",".23%","10.96%","73",".15%"
"126
Spalding County","461","1.01%","90.39%","49","1.40%","9.61%","510","1.03%"
"127
Stephens County","121",".26%","98.37%","2",".06%","1.63%","123",".25%"
"128
Stewart County","24",".05%","88.89%","3",".09%","11.11%","27",".05%"
"129
Sumter County","197",".43%","94.71%","11",".31%","5.29%","208",".42%"
"130
Talbot County","21",".05%","91.30%","2",".06%","8.70%","23",".05%"
"131
Taliaferro County","20",".04%","100.00%","","","","20",".04%"
"132
Tattnall County","184",".40%","86.79%","28",".80%","13.21%","212",".43%"
"133
Taylor County","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"134
Telfair County","97",".21%","92.38%","8",".23%","7.62%","105",".21%"
"135
Terrell County","62",".14%","95.38%","3",".09%","4.62%","65",".13%"
"136
Thomas County","232",".51%","95.47%","11",".31%","4.53%","243",".49%"
"137
Tift County","303",".66%","95.28%","15",".43%","4.72%","318",".65%"
"138
Toombs County","269",".59%","92.76%","21",".60%","7.24%","290",".59%"
"139
Towns County","66",".14%","77.65%","19",".54%","22.35%","85",".17%"
"140
Treutlen County","64",".14%","92.75%","5",".14%","7.25%","69",".14%"
"141
Troup County","577","1.26%","92.17%","49","1.40%","7.83%","626","1.27%"
"142
Turner County","53",".12%","92.98%","4",".11%","7.02%","57",".12%"
"143
Twiggs County","39",".09%","88.64%","5",".14%","11.36%","44",".09%"
"144
Union County","80",".17%","85.11%","14",".40%","14.89%","94",".19%"
"145
Upson County","183",".40%","92.42%","15",".43%","7.58%","198",".40%"
"146
Walker County","436",".95%","91.60%","40","1.14%","8.40%","476",".97%"
"147
Walton County","607","1.33%","92.11%","52","1.49%","7.89%","659","1.34%"
"148
Ware County","278",".61%","90.26%","30",".86%","9.74%","308",".62%"
"149
Warren County","29",".06%","90.63%","3",".09%","9.38%","32",".06%"
"150
Washington County","178",".39%","92.71%","14",".40%","7.29%","192",".39%"
"151
Wayne County","190",".41%","90.05%","21",".60%","9.95%","211",".43%"
