"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"027   Chattooga County","176","0.36%","88.89%","22","0.55%","11.11%","198","0.37%"
"028   Cherokee County","675","1.36%","92.21%","57","1.42%","7.79%","732","1.37%"
"029   Clarke County","518","1.05%","92.83%","40","0.99%","7.17%","558","1.04%"
"030   Clay County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"031   Clayton County","1,151","2.33%","92.97%","87","2.16%","7.03%","1,238","2.31%"
"032   Clinch County","39","0.08%","92.86%","3","0.07%","7.14%","42","0.08%"
"033   Cobb County","2,176","4.4%","93.83%","143","3.56%","6.17%","2,319","4.33%"
"034   Coffee County","298","0.6%","91.98%","26","0.65%","8.02%","324","0.61%"
"035   Colquitt County","196","0.4%","97.51%","5","0.12%","2.49%","201","0.38%"
"036   Columbia County","522","1.05%","88.03%","71","1.77%","11.97%","593","1.11%"
"037   Cook County","135","0.27%","91.84%","12","0.3%","8.16%","147","0.27%"
"038   Coweta County","737","1.49%","93.53%","51","1.27%","6.47%","788","1.47%"
"039   Crawford County","37","0.07%","92.5%","3","0.07%","7.5%","40","0.07%"
"040   Crisp County","373","0.75%","90.98%","37","0.92%","9.02%","410","0.77%"
"041   Dade County","92","0.19%","88.46%","12","0.3%","11.54%","104","0.19%"
"042   Dawson County","136","0.27%","87.74%","19","0.47%","12.26%","155","0.29%"
"043   Decatur County","310","0.63%","89.34%","37","0.92%","10.66%","347","0.65%"
"044   Dekalb County","2,724","5.5%","94.55%","157","3.9%","5.45%","2,881","5.38%"
"045   Dodge County","130","0.26%","92.2%","11","0.27%","7.8%","141","0.26%"
"046   Dooly County","123","0.25%","88.49%","16","0.4%","11.51%","139","0.26%"
"047   Dougherty County","712","1.44%","95.7%","32","0.8%","4.3%","744","1.39%"
"048   Douglas County","834","1.69%","91.45%","78","1.94%","8.55%","912","1.7%"
"049   Early County","74","0.15%","96.1%","3","0.07%","3.9%","77","0.14%"
"050   Echols County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"051   Effingham County","341","0.69%","87.21%","50","1.24%","12.79%","391","0.73%"
"052   Elbert County","140","0.28%","92.11%","12","0.3%","7.89%","152","0.28%"
"053   Emanuel County","224","0.45%","93.72%","15","0.37%","6.28%","239","0.45%"
