"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","100",".20%","89.29%","12",".32%","10.71%","112",".21%"
"Atkinson","44",".09%","97.78%","1",".03%","2.22%","45",".08%"
"Bacon","52",".10%","96.30%","2",".05%","3.70%","54",".10%"
"Baker","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9","319",".64%","94.66%","18",".48%","5.34%","337",".63%"
"Banks","56",".11%","90.32%","6",".16%","9.68%","62",".12%"
"Barrow","262",".52%","92.91%","20",".54%","7.09%","282",".53%"
"Bartow","608","1.22%","89.02%","75","2.01%","10.98%","683","1.27%"
"Ben Hill","265",".53%","93.97%","17",".46%","6.03%","282",".53%"
"Berrien","91",".18%","95.79%","4",".11%","4.21%","95",".18%"
"Bibb","1,020","2.04%","95.06%","53","1.42%","4.94%","1,073","2.00%"
"Bleckley","75",".15%","86.21%","12",".32%","13.79%","87",".16%"
"Brantley","54",".11%","96.43%","2",".05%","3.57%","56",".10%"
"Brooks","58",".12%","92.06%","5",".13%","7.94%","63",".12%"
"Bryan","89",".18%","90.82%","9",".24%","9.18%","98",".18%"
"Bulloch","478",".96%","91.57%","44","1.18%","8.43%","522",".97%"
"Burke","196",".39%","95.61%","9",".24%","4.39%","205",".38%"
"Butts","163",".33%","96.45%","6",".16%","3.55%","169",".31%"
"Calhoun","32",".06%","88.89%","4",".11%","11.11%","36",".07%"
"Camden","153",".31%","92.73%","12",".32%","7.27%","165",".31%"
"Candler","93",".19%","88.57%","12",".32%","11.43%","105",".20%"
"Carroll","581","1.16%","89.66%","67","1.80%","10.34%","648","1.21%"
"Catoosa","303",".61%","91.82%","27",".72%","8.18%","330",".62%"
"Charlton","58",".12%","92.06%","5",".13%","7.94%","63",".12%"
"Chatham","2,442","4.89%","95.13%","125","3.36%","4.87%","2,567","4.78%"
"Chattahoochee","28",".06%","93.33%","2",".05%","6.67%","30",".06%"
"Chattooga","242",".48%","90.98%","24",".64%","9.02%","266",".50%"
"Cherokee","605","1.21%","90.03%","67","1.80%","9.97%","672","1.25%"
"Clarke","396",".79%","93.40%","28",".75%","6.60%","424",".79%"
"Clay","32",".06%","88.89%","4",".11%","11.11%","36",".07%"
"Clayton","1,580","3.16%","92.45%","129","3.46%","7.55%","1,709","3.19%"
"Clinch","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"Cobb","2,804","5.62%","90.86%","282","7.57%","9.14%","3,086","5.75%"
"Coffee","261",".52%","92.88%","20",".54%","7.12%","281",".52%"
"Colquitt","293",".59%","95.13%","15",".40%","4.87%","308",".57%"
"Columbia","287",".57%","94.10%","18",".48%","5.90%","305",".57%"
"Cook","135",".27%","95.74%","6",".16%","4.26%","141",".26%"
"Coweta","487",".98%","92.76%","38","1.02%","7.24%","525",".98%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","23",".05%","88.46%","3",".08%","11.54%","26",".05%"
"Crisp","287",".57%","91.99%","25",".67%","8.01%","312",".58%"
"Dade","134",".27%","97.10%","4",".11%","2.90%","138",".26%"
"Dawson","109",".22%","90.83%","11",".30%","9.17%","120",".22%"
"Decatur","353",".71%","92.89%","27",".72%","7.11%","380",".71%"
"Dekalb","2,959","5.93%","95.05%","154","4.13%","4.95%","3,113","5.80%"
"Dodge","149",".30%","91.41%","14",".38%","8.59%","163",".30%"
"Dooly","102",".20%","92.73%","8",".21%","7.27%","110",".21%"
"Dougherty","961","1.92%","94.31%","58","1.56%","5.69%","1,019","1.90%"
"Douglas","1,121","2.25%","90.70%","114","3.06%","9.22%","1,236","2.30%"
"Early","83",".17%","96.51%","3",".08%","3.49%","86",".16%"
"Echols","9",".02%","100.00%","","","","9",".02%"
"Effingham","164",".33%","93.71%","11",".30%","6.29%","175",".33%"
"Elbert","159",".32%","97.55%","4",".11%","2.45%","163",".30%"
"Emanuel","182",".36%","96.81%","6",".16%","3.19%","188",".35%"
"Evans","92",".18%","94.85%","5",".13%","5.15%","97",".18%"
"Fannin","96",".19%","92.31%","8",".21%","7.69%","104",".19%"
"Fayette","365",".73%","90.12%","40","1.07%","9.88%","405",".75%"
"Floyd","799","1.60%","89.47%","94","2.52%","10.53%","893","1.66%"
"Forsyth","288",".58%","88.07%","39","1.05%","11.93%","327",".61%"
"Franklin","135",".27%","93.10%","10",".27%","6.90%","145",".27%"
"Fulton","4,622","9.26%","96.13%","186","4.99%","3.87%","4,808","8.96%"
"Gilmer","128",".26%","92.75%","10",".27%","7.25%","138",".26%"
"Glascock","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Glynn","404",".81%","94.84%","22",".59%","5.16%","426",".79%"
"Gordon","305",".61%","90.77%","31",".83%","9.23%","336",".63%"
"Grady","218",".44%","95.61%","10",".27%","4.39%","228",".42%"
"Greene","149",".30%","94.90%","8",".21%","5.10%","157",".29%"
"Gwinnett","2,080","4.17%","92.04%","180","4.83%","7.96%","2,260","4.21%"
"Habersham","126",".25%","92.65%","10",".27%","7.35%","136",".25%"
"Hall","727","1.46%","92.26%","61","1.64%","7.74%","788","1.47%"
"Hancock","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"Haralson","98",".20%","95.15%","5",".13%","4.85%","103",".19%"
"Harris","116",".23%","94.31%","7",".19%","5.69%","123",".23%"
"Hart","116",".23%","95.87%","5",".13%","4.13%","121",".23%"
"Heard","69",".14%","95.83%","3",".08%","4.17%","72",".13%"
"Henry","541","1.08%","89.57%","63","1.69%","10.43%","604","1.13%"
"Houston","611","1.22%","93.43%","43","1.15%","6.57%","654","1.22%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","65",".13%","97.01%","2",".05%","2.99%","67",".12%"
"Jackson","204",".41%","92.73%","16",".43%","7.27%","220",".41%"
"Jasper","54",".11%","96.43%","2",".05%","3.57%","56",".10%"
"Jeff Davis","81",".16%","93.10%","6",".16%","6.90%","87",".16%"
"Jefferson","128",".26%","98.46%","2",".05%","1.54%","130",".24%"
"Jenkins","72",".14%","96.00%","3",".08%","4.00%","75",".14%"
"Johnson","54",".11%","93.10%","4",".11%","6.90%","58",".11%"
"Jones","155",".31%","91.18%","15",".40%","8.82%","170",".32%"
"Lamar","76",".15%","93.83%","5",".13%","6.17%","81",".15%"
"Lanier","43",".09%","97.73%","1",".03%","2.27%","44",".08%"
"Laurens","341",".68%","93.94%","22",".59%","6.06%","363",".68%"
"Lee","76",".15%","95.00%","4",".11%","5.00%","80",".15%"
"Liberty","287",".57%","92.58%","23",".62%","7.42%","310",".58%"
"Lincoln","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Long","87",".17%","93.55%","6",".16%","6.45%","93",".17%"
"Lowndes","545","1.09%","92.84%","42","1.13%","7.16%","587","1.09%"
"Lumpkin","97",".19%","90.65%","10",".27%","9.35%","107",".20%"
"Macon","70",".14%","97.22%","2",".05%","2.78%","72",".13%"
"Madison","124",".25%","91.18%","12",".32%","8.82%","136",".25%"
"Marion","43",".09%","95.56%","2",".05%","4.44%","45",".08%"
"Mcduffie","173",".35%","96.11%","7",".19%","3.89%","180",".34%"
"Mcintosh","65",".13%","98.48%","1",".03%","1.52%","66",".12%"
"Meriwether","218",".44%","94.78%","12",".32%","5.22%","230",".43%"
"Miller","33",".07%","94.29%","2",".05%","5.71%","35",".07%"
"Mitchell","198",".40%","91.24%","19",".51%","8.76%","217",".40%"
"Monroe","133",".27%","89.86%","15",".40%","10.14%","148",".28%"
"Montgomery","56",".11%","90.32%","6",".16%","9.68%","62",".12%"
"Morgan","153",".31%","93.29%","11",".30%","6.71%","164",".31%"
"Murray","182",".36%","90.10%","20",".54%","9.90%","202",".38%"
"Muscogee","1,779","3.56%","94.28%","108","2.90%","5.72%","1,887","3.52%"
"Newton","652","1.31%","91.70%","59","1.58%","8.30%","711","1.33%"
"Oconee","49",".10%","98.00%","1",".03%","2.00%","50",".09%"
"Oglethorpe","51",".10%","98.08%","1",".03%","1.92%","52",".10%"
"Paulding","252",".50%","91.97%","22",".59%","8.03%","274",".51%"
"Peach","89",".18%","96.74%","3",".08%","3.26%","92",".17%"
"Pickens","84",".17%","91.30%","8",".21%","8.70%","92",".17%"
"Pierce","64",".13%","95.52%","3",".08%","4.48%","67",".12%"
"Pike","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Polk","143",".29%","91.08%","14",".38%","8.92%","157",".29%"
"Pulaski","89",".18%","91.75%","8",".21%","8.25%","97",".18%"
"Putnam","148",".30%","94.27%","9",".24%","5.73%","157",".29%"
"Quitman","17",".03%","89.47%","2",".05%","10.53%","19",".04%"
"Rabun","56",".11%","84.85%","10",".27%","15.15%","66",".12%"
"Randolph","56",".11%","93.33%","4",".11%","6.67%","60",".11%"
"Richmond","1,702","3.41%","94.29%","103","2.77%","5.71%","1,805","3.36%"
"Rockdale","457",".92%","90.67%","47","1.26%","9.33%","504",".94%"
"Schley","27",".05%","96.43%","1",".03%","3.57%","28",".05%"
"Screven","123",".25%","91.79%","11",".30%","8.21%","134",".25%"
"Seminole","59",".12%","86.76%","9",".24%","13.24%","68",".13%"
"Spalding","601","1.20%","92.04%","52","1.40%","7.96%","653","1.22%"
"Stephens","187",".37%","91.22%","18",".48%","8.78%","205",".38%"
"Stewart","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"Sumter","244",".49%","97.21%","7",".19%","2.79%","251",".47%"
"Talbot","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"Taliaferro","22",".04%","91.67%","2",".05%","8.33%","24",".04%"
"Tattnall","179",".36%","92.27%","15",".40%","7.73%","194",".36%"
"Taylor","89",".18%","96.74%","3",".08%","3.26%","92",".17%"
"Telfair","118",".24%","93.65%","8",".21%","6.35%","126",".23%"
"Terrell","80",".16%","97.56%","2",".05%","2.44%","82",".15%"
"Thomas","267",".53%","94.68%","15",".40%","5.32%","282",".53%"
"Tift","345",".69%","95.04%","18",".48%","4.96%","363",".68%"
"Toombs","302",".60%","92.35%","25",".67%","7.65%","327",".61%"
"Towns","48",".10%","90.57%","5",".13%","9.43%","53",".10%"
"Treutlen","78",".16%","92.86%","6",".16%","7.14%","84",".16%"
"Troup","679","1.36%","91.02%","67","1.80%","8.98%","746","1.39%"
"Turner","70",".14%","97.22%","2",".05%","2.78%","72",".13%"
"Twiggs","64",".13%","87.67%","9",".24%","12.33%","73",".14%"
"Union","79",".16%","80.61%","19",".51%","19.39%","98",".18%"
"Upson","213",".43%","91.81%","19",".51%","8.19%","232",".43%"
"Walker","401",".80%","88.91%","50","1.34%","11.09%","451",".84%"
"Walton","469",".94%","92.14%","40","1.07%","7.86%","509",".95%"
"Ware","312",".62%","94.83%","17",".46%","5.17%","329",".61%"
"Warren","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"Washington","128",".26%","92.75%","10",".27%","7.25%","138",".26%"
"Wayne","171",".34%","89.06%","21",".56%","10.94%","192",".36%"
"Webster","5",".01%","100.00%","","","","5",".01%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Wheeler","28",".06%","84.85%","5",".13%","15.15%","33",".06%"
"White","113",".23%","91.13%","11",".30%","8.87%","124",".23%"
"Whitfield","628","1.26%","88.45%","82","2.20%","11.55%","710","1.32%"
"Wilcox","61",".12%","87.14%","9",".24%","12.86%","70",".13%"
"Wilkes","85",".17%","98.84%","1",".03%","1.16%","86",".16%"
"Wilkinson","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"Worth","118",".24%","94.40%","7",".19%","5.60%","125",".23%"
"Total Rported","49,925","100%","93.06%","3,725","100%","6.94%","53,651","100%"
