"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","14",".03%","100.00%","","","","14",".03%"
"153 
Wheeler County","32",".07%","82.05%","7",".19%","17.95%","39",".08%"
"154 
White County","95",".20%","95.00%","5",".13%","5.00%","100",".19%"
"155 
Whitfield County","806","1.68%","87.14%","119","3.15%","12.86%","925","1.79%"
"156 
Wilcox County","65",".14%","89.04%","8",".21%","10.96%","73",".14%"
"157 
Wilkes County","67",".14%","97.10%","2",".05%","2.90%","69",".13%"
"158 
Wilkinson County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"159 
Worth County","116",".24%","92.06%","10",".26%","7.94%","126",".24%"
"Total Rported","47,929","100%","92.68%","3,783","100%","7.32%","51,712","100%"
