"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","123","0.25%","94.62%","7","0.17%","5.38%","130","0.24%"
"082   Jenkins County","95","0.19%","95.0%","5","0.12%","5.0%","100","0.19%"
"083   Johnson County","46","0.09%","93.88%","3","0.07%","6.12%","49","0.09%"
"084   Jones County","143","0.29%","94.08%","9","0.22%","5.92%","152","0.28%"
"085   Lamar County","96","0.19%","88.89%","12","0.3%","11.11%","108","0.2%"
"086   Lanier County","50","0.1%","86.21%","8","0.2%","13.79%","58","0.11%"
"087   Laurens County","281","0.57%","92.43%","23","0.57%","7.57%","304","0.57%"
"088   Lee County","88","0.18%","94.62%","5","0.12%","5.38%","93","0.17%"
"089   Liberty County","264","0.53%","92.63%","21","0.52%","7.37%","285","0.53%"
"090   Lincoln County","44","0.09%","97.78%","1","0.02%","2.22%","45","0.08%"
"091   Long County","68","0.14%","89.47%","8","0.2%","10.53%","76","0.14%"
"092   Lowndes County","494","1.0%","95.18%","25","0.62%","4.82%","519","0.97%"
"093   Lumpkin County","92","0.19%","86.79%","14","0.35%","13.21%","106","0.2%"
"094   Macon County","43","0.09%","97.73%","1","0.02%","2.27%","44","0.08%"
"095   Madison County","138","0.28%","92.0%","12","0.3%","8.0%","150","0.28%"
"096   Marion County","22","0.04%","88.0%","3","0.07%","12.0%","25","0.05%"
"097   Mcduffie County","174","0.35%","95.6%","8","0.2%","4.4%","182","0.34%"
"098   Mcintosh County","80","0.16%","95.24%","4","0.1%","4.76%","84","0.16%"
"099   Meriwether County","149","0.3%","94.3%","9","0.22%","5.7%","158","0.29%"
"100   Miller County","30","0.06%","93.75%","2","0.05%","6.25%","32","0.06%"
"101   Mitchell County","185","0.37%","92.96%","14","0.35%","7.04%","199","0.37%"
"102   Monroe County","204","0.41%","89.47%","24","0.6%","10.53%","228","0.43%"
"103   Montgomery County","33","0.07%","86.84%","5","0.12%","13.16%","38","0.07%"
"104   Morgan County","132","0.27%","92.96%","10","0.25%","7.04%","142","0.27%"
"105   Murray County","307","0.62%","88.47%","40","1.0%","11.53%","347","0.65%"
"106   Muscogee County","1,319","2.66%","94.76%","73","1.82%","5.24%","1,392","2.6%"
"107   Newton County","698","1.41%","91.48%","65","1.62%","8.52%","763","1.42%"
