"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","184",".42%","93.88%","12",".40%","6.12%","196",".42%"
"Appling County","111",".25%","99.11%","1",".03%",".89%","112",".24%"
"Atkinson County","38",".09%","95.00%","2",".07%","5.00%","40",".09%"
"Bacon County","69",".16%","93.24%","5",".17%","6.76%","74",".16%"
"Baker County","16",".04%","88.89%","2",".07%","11.11%","18",".04%"
"Baldwin County","282",".65%","92.76%","22",".73%","7.24%","304",".65%"
"Banks County","54",".12%","83.08%","11",".36%","16.92%","65",".14%"
"Barrow County","337",".77%","90.84%","34","1.12%","9.16%","371",".79%"
"Bartow County","588","1.35%","89.91%","66","2.18%","10.09%","654","1.40%"
"Ben Hill County","243",".56%","93.82%","16",".53%","6.18%","259",".55%"
"Berrien County","95",".22%","94.06%","6",".20%","5.94%","101",".22%"
"Bibb County","943","2.16%","95.35%","46","1.52%","4.65%","989","2.12%"
"Bleckley County","60",".14%","93.75%","4",".13%","6.25%","64",".14%"
"Brantley County","85",".19%","91.40%","8",".26%","8.60%","93",".20%"
"Brooks County","42",".10%","97.67%","1",".03%","2.33%","43",".09%"
"Bryan County","44",".10%","93.62%","3",".10%","6.38%","47",".10%"
"Bulloch County","428",".98%","93.25%","31","1.02%","6.75%","459",".98%"
"Burke County","191",".44%","96.95%","6",".20%","3.05%","197",".42%"
"Butts County","123",".28%","91.11%","12",".40%","8.89%","135",".29%"
"Calhoun County","24",".05%","88.89%","3",".10%","11.11%","27",".06%"
"Camden County","168",".38%","94.38%","10",".33%","5.62%","178",".38%"
"Candler County","93",".21%","93.94%","6",".20%","6.06%","99",".21%"
"Carroll County","563","1.29%","93.37%","40","1.32%","6.63%","603","1.29%"
"Catoosa County","338",".77%","94.15%","21",".69%","5.85%","359",".77%"
"Charlton County","54",".12%","90.00%","6",".20%","10.00%","60",".13%"
"Chatham County","1,516","3.47%","96.62%","53","1.75%","3.38%","1,569","3.36%"
"Chattahoochee County","13",".03%","100.00%","","","","13",".03%"
"Chattooga County","171",".39%","90.00%","19",".63%","10.00%","190",".41%"
"Cherokee County","481","1.10%","93.04%","36","1.19%","6.96%","517","1.11%"
"Clarke County","456","1.04%","93.83%","30",".99%","6.17%","486","1.04%"
"Clay County","14",".03%","82.35%","3",".10%","17.65%","17",".04%"
"Clayton County","1,102","2.52%","93.39%","78","2.58%","6.61%","1,180","2.52%"
"Clinch County","39",".09%","95.12%","2",".07%","4.88%","41",".09%"
"Cobb County","2,083","4.76%","94.04%","132","4.36%","5.96%","2,215","4.74%"
"Coffee County","293",".67%","93.31%","21",".69%","6.69%","314",".67%"
"Colquitt County","223",".51%","93.31%","16",".53%","6.69%","239",".51%"
"Columbia County","327",".75%","90.58%","34","1.12%","9.42%","361",".77%"
"Cook County","115",".26%","93.50%","8",".26%","6.50%","123",".26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","530","1.21%","94.47%","31","1.02%","5.53%","561","1.20%"
"Crawford County","21",".05%","100.00%","","","","21",".04%"
"Crisp County","338",".77%","93.37%","24",".79%","6.63%","362",".77%"
"Dade County","83",".19%","92.22%","7",".23%","7.78%","90",".19%"
"Dawson County","97",".22%","92.38%","8",".26%","7.62%","105",".22%"
"Decatur County","224",".51%","94.12%","14",".46%","5.88%","238",".51%"
"Dekalb County","2,319","5.30%","95.55%","108","3.57%","4.45%","2,427","5.19%"
"Dodge County","107",".24%","86.99%","16",".53%","13.01%","123",".26%"
"Dooly County","122",".28%","93.13%","9",".30%","6.87%","131",".28%"
"Dougherty County","715","1.64%","95.33%","35","1.16%","4.67%","750","1.60%"
"Douglas County","882","2.02%","91.88%","78","2.58%","8.13%","960","2.05%"
"Early County","81",".19%","97.59%","2",".07%","2.41%","83",".18%"
"Echols County","13",".03%","100.00%","","","","13",".03%"
"Effingham County","212",".48%","90.21%","23",".76%","9.79%","235",".50%"
"Elbert County","123",".28%","96.09%","5",".17%","3.91%","128",".27%"
"Emanuel County","160",".37%","93.57%","11",".36%","6.43%","171",".37%"
"Evans County","75",".17%","96.15%","3",".10%","3.85%","78",".17%"
"Fannin County","97",".22%","88.18%","13",".43%","11.82%","110",".24%"
"Fayette County","306",".70%","95.33%","15",".50%","4.67%","321",".69%"
"Floyd County","850","1.94%","90.43%","90","2.97%","9.57%","940","2.01%"
"Forsyth County","346",".79%","91.05%","34","1.12%","8.95%","380",".81%"
"Franklin County","141",".32%","88.13%","19",".63%","11.88%","160",".34%"
"Fulton County","4,167","9.53%","96.44%","154","5.09%","3.56%","4,321","9.24%"
"Gilmer County","96",".22%","93.20%","7",".23%","6.80%","103",".22%"
"Glascock County","10",".02%","100.00%","","","","10",".02%"
"Glynn County","464","1.06%","95.47%","22",".73%","4.53%","486","1.04%"
"Gordon County","348",".80%","91.10%","34","1.12%","8.90%","382",".82%"
