"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","408",".82%","91.89%","36","1.04%","8.11%","444",".84%"
"Appling County","89",".18%","92.71%","7",".20%","7.29%","96",".18%"
"Atkinson County","55",".11%","96.49%","2",".06%","3.51%","57",".11%"
"Bacon County","73",".15%","92.41%","6",".17%","7.59%","79",".15%"
"Baker County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin County","325",".66%","94.75%","18",".52%","5.25%","343",".65%"
"Banks County","63",".13%","94.03%","4",".12%","5.97%","67",".13%"
"Barrow County","263",".53%","91.64%","24",".69%","8.36%","287",".54%"
"Bartow County","624","1.26%","88.64%","80","2.30%","11.36%","704","1.33%"
"Ben Hill County","237",".48%","95.56%","11",".32%","4.44%","248",".47%"
"Berrien County","84",".17%","94.38%","5",".14%","5.62%","89",".17%"
"Bibb County","1,040","2.10%","94.89%","56","1.61%","5.11%","1,096","2.07%"
"Bleckley County","67",".14%","91.78%","6",".17%","8.22%","73",".14%"
"Brantley County","64",".13%","92.75%","5",".14%","7.25%","69",".13%"
"Brooks County","76",".15%","92.68%","6",".17%","7.32%","82",".15%"
"Bryan County","87",".18%","100.00%","","","","87",".16%"
"Bulloch County","512","1.03%","92.09%","44","1.27%","7.91%","556","1.05%"
"Burke County","196",".40%","96.55%","7",".20%","3.45%","203",".38%"
"Butts County","148",".30%","96.10%","6",".17%","3.90%","154",".29%"
"Calhoun County","31",".06%","88.57%","4",".12%","11.43%","35",".07%"
"Camden County","180",".36%","93.75%","12",".35%","6.25%","192",".36%"
"Candler County","112",".23%","89.60%","13",".37%","10.40%","125",".24%"
"Carroll County","564","1.14%","92.46%","46","1.32%","7.54%","610","1.15%"
"Catoosa County","337",".68%","91.33%","32",".92%","8.67%","369",".70%"
"Charlton County","62",".13%","92.54%","5",".14%","7.46%","67",".13%"
"Chatham County","2,109","4.26%","97.14%","62","1.78%","2.86%","2,171","4.10%"
"Chattahoochee County","33",".07%","94.29%","2",".06%","5.71%","35",".07%"
"Chattooga County","229",".46%","87.07%","34",".98%","12.93%","263",".50%"
"Cherokee County","492",".99%","91.96%","43","1.24%","8.04%","535","1.01%"
"Clarke County","444",".90%","95.48%","21",".60%","4.52%","465",".88%"
"Clay County","32",".06%","94.12%","2",".06%","5.88%","34",".06%"
"Clayton County","1,418","2.86%","93.72%","95","2.73%","6.28%","1,513","2.85%"
"Clinch County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"Cobb County","2,499","5.05%","91.64%","228","6.56%","8.36%","2,727","5.15%"
"Coffee County","241",".49%","94.14%","15",".43%","5.86%","256",".48%"
"Colquitt County","248",".50%","95.38%","12",".35%","4.62%","260",".49%"
"Columbia County","367",".74%","91.29%","35","1.01%","8.71%","402",".76%"
"Cook County","117",".24%","95.90%","5",".14%","4.10%","122",".23%"
