"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"000   Unknown","263","0.53%","96.69%","9","0.22%","3.31%","272","0.51%"
"001   Appling County","107","0.22%","95.54%","5","0.12%","4.46%","112","0.21%"
"002   Atkinson County","36","0.07%","92.31%","3","0.07%","7.69%","39","0.07%"
"003   Bacon County","85","0.17%","93.41%","6","0.15%","6.59%","91","0.17%"
"004   Baker County","15","0.03%","83.33%","3","0.07%","16.67%","18","0.03%"
"005   Baldwin County","355","0.72%","88.75%","45","1.12%","11.25%","400","0.75%"
"006   Banks County","101","0.2%","89.38%","12","0.3%","10.62%","113","0.21%"
"007   Barrow County","393","0.79%","89.12%","48","1.2%","10.88%","441","0.82%"
"008   Bartow County","552","1.11%","90.64%","57","1.42%","9.36%","609","1.14%"
"009   Ben Hill County","235","0.47%","92.16%","20","0.5%","7.84%","255","0.48%"
"010   Berrien County","137","0.28%","89.54%","16","0.4%","10.46%","153","0.29%"
"011   Bibb County","984","1.98%","95.16%","50","1.25%","4.84%","1,034","1.93%"
"012   Bleckley County","63","0.13%","92.65%","5","0.12%","7.35%","68","0.13%"
"013   Brantley County","79","0.16%","84.95%","14","0.35%","15.05%","93","0.17%"
"014   Brooks County","65","0.13%","95.59%","3","0.07%","4.41%","68","0.13%"
"015   Bryan County","110","0.22%","91.67%","10","0.25%","8.33%","120","0.22%"
"016   Bulloch County","571","1.15%","93.91%","37","0.92%","6.09%","608","1.13%"
"017   Burke County","208","0.42%","97.65%","5","0.12%","2.35%","213","0.4%"
"018   Butts County","144","0.29%","88.89%","18","0.45%","11.11%","162","0.3%"
"019   Calhoun County","30","0.06%","93.75%","2","0.05%","6.25%","32","0.06%"
"020   Camden County","188","0.38%","91.71%","17","0.42%","8.29%","205","0.38%"
"021   Candler County","91","0.18%","92.86%","7","0.17%","7.14%","98","0.18%"
"022   Carroll County","655","1.32%","93.17%","48","1.2%","6.83%","703","1.31%"
"023   Catoosa County","389","0.78%","85.87%","64","1.59%","14.13%","453","0.85%"
"024   Charlton County","68","0.14%","87.18%","10","0.25%","12.82%","78","0.15%"
"025   Chatham County","1,382","2.79%","95.11%","71","1.77%","4.89%","1,453","2.71%"
"026   Chattahoochee County","17","0.03%","100.0%","","","","17","0.03%"
