"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","656","1.29%","92.52%","53","1.35%","7.48%","709","1.30%"
"039
Crawford County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"040
Crisp County","294",".58%","93.33%","21",".54%","6.67%","315",".58%"
"041
Dade County","108",".21%","94.74%","6",".15%","5.26%","114",".21%"
"042
Dawson County","92",".18%","86.79%","14",".36%","13.21%","106",".19%"
"043
Decatur County","225",".44%","95.34%","11",".28%","4.66%","236",".43%"
"044
Dekalb County","3,000","5.91%","95.30%","148","3.78%","4.70%","3,148","5.75%"
"045
Dodge County","160",".32%","93.57%","11",".28%","6.43%","171",".31%"
"046
Dooly County","106",".21%","92.17%","9",".23%","7.83%","115",".21%"
"047
Dougherty County","852","1.68%","94.25%","52","1.33%","5.75%","904","1.65%"
"048
Douglas County","1,032","2.03%","90.53%","108","2.76%","9.47%","1,140","2.08%"
"049
Early County","84",".17%","95.45%","4",".10%","4.55%","88",".16%"
"050
Echols County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"051
Effingham County","245",".48%","92.11%","21",".54%","7.89%","266",".49%"
"052
Elbert County","149",".29%","93.71%","10",".26%","6.29%","159",".29%"
"053
Emanuel County","165",".32%","89.19%","20",".51%","10.81%","185",".34%"
"054
Evans County","83",".16%","95.40%","4",".10%","4.60%","87",".16%"
"055
Fannin County","106",".21%","86.18%","17",".43%","13.82%","123",".22%"
"056
Fayette County","353",".69%","90.75%","36",".92%","9.25%","389",".71%"
"057
Floyd County","857","1.69%","88.72%","109","2.79%","11.28%","966","1.77%"
"058
Forsyth County","341",".67%","91.18%","33",".84%","8.82%","374",".68%"
"059
Franklin County","176",".35%","89.34%","21",".54%","10.66%","197",".36%"
"060
Fulton County","4,968","9.78%","95.89%","213","5.44%","4.11%","5,181","9.47%"
"061
Gilmer County","99",".19%","94.29%","6",".15%","5.71%","105",".19%"
"062
Glascock County","11",".02%","100.00%","","","","11",".02%"
"063
Glynn County","574","1.13%","95.03%","30",".77%","4.97%","604","1.10%"
"064
Gordon County","385",".76%","89.53%","45","1.15%","10.47%","430",".79%"
"065
Grady County","139",".27%","97.89%","3",".08%","2.11%","142",".26%"
"066
Greene County","125",".25%","93.98%","8",".20%","6.02%","133",".24%"
"067
Gwinnett County","2,717","5.35%","93.30%","195","4.98%","6.70%","2,912","5.32%"
"068
Habersham County","129",".25%","88.97%","16",".41%","11.03%","145",".27%"
"069
Hall County","715","1.41%","91.43%","67","1.71%","8.57%","782","1.43%"
"070
Hancock County","38",".07%","95.00%","2",".05%","5.00%","40",".07%"
"071
Haralson County","105",".21%","89.74%","12",".31%","10.26%","117",".21%"
"072
Harris County","130",".26%","93.53%","9",".23%","6.47%","139",".25%"
"073
Hart County","185",".36%","91.58%","17",".43%","8.42%","202",".37%"
"074
Heard County","45",".09%","90.00%","5",".13%","10.00%","50",".09%"
"075
Henry County","627","1.23%","90.35%","67","1.71%","9.65%","694","1.27%"
