"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"054   Evans County","82","0.17%","91.11%","8","0.2%","8.89%","90","0.17%"
"055   Fannin County","108","0.22%","85.04%","19","0.47%","14.96%","127","0.24%"
"056   Fayette County","373","0.76%","90.1%","41","1.01%","9.9%","414","0.78%"
"057   Floyd County","928","1.89%","90.71%","95","2.33%","9.29%","1,023","1.92%"
"058   Forsyth County","396","0.81%","87.61%","56","1.37%","12.39%","452","0.85%"
"059   Franklin County","180","0.37%","91.84%","16","0.39%","8.16%","196","0.37%"
"060   Fulton County","4,737","9.64%","94.91%","254","6.23%","5.09%","4,991","9.38%"
"061   Gilmer County","117","0.24%","92.13%","10","0.25%","7.87%","127","0.24%"
"062   Glascock County","12","0.02%","100.0%","","","","12","0.02%"
"063   Glynn County","547","1.11%","94.47%","32","0.79%","5.53%","579","1.09%"
"064   Gordon County","341","0.69%","88.34%","45","1.1%","11.66%","386","0.73%"
"065   Grady County","210","0.43%","89.74%","24","0.59%","10.26%","234","0.44%"
"066   Greene County","123","0.25%","89.78%","14","0.34%","10.22%","137","0.26%"
"067   Gwinnett County","2,444","4.97%","93.18%","179","4.39%","6.82%","2,623","4.93%"
"068   Habersham County","130","0.26%","87.84%","18","0.44%","12.16%","148","0.28%"
"069   Hall County","766","1.56%","90.87%","77","1.89%","9.13%","843","1.58%"
"070   Hancock County","51","0.1%","92.73%","4","0.1%","7.27%","55","0.1%"
"071   Haralson County","169","0.34%","89.42%","20","0.49%","10.58%","189","0.36%"
"072   Harris County","103","0.21%","92.79%","8","0.2%","7.21%","111","0.21%"
"073   Hart County","154","0.31%","93.33%","11","0.27%","6.67%","165","0.31%"
"074   Heard County","53","0.11%","91.38%","5","0.12%","8.62%","58","0.11%"
"075   Henry County","680","1.38%","90.07%","75","1.84%","9.93%","755","1.42%"
"076   Houston County","953","1.94%","91.81%","85","2.09%","8.19%","1,038","1.95%"
"077   Irwin County","69","0.14%","90.79%","7","0.17%","9.21%","76","0.14%"
"078   Jackson County","277","0.56%","90.82%","28","0.69%","9.18%","305","0.57%"
"079   Jasper County","57","0.12%","95.0%","3","0.07%","5.0%","60","0.11%"
"080   Jeff Davis County","95","0.19%","91.35%","9","0.22%","8.65%","104","0.2%"
