"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","90",".19%","94.74%","5",".15%","5.26%","95",".18%"
"Atkinson","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Bacon","58",".12%","100.00%","","","","58",".11%"
"Baker","12",".02%","92.31%","1",".03%","7.69%","13",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","361",".75%","95.25%","18",".53%","4.75%","379",".74%"
"Banks","70",".15%","88.61%","9",".26%","11.39%","79",".15%"
"Barrow","245",".51%","94.96%","13",".38%","5.04%","258",".50%"
"Bartow","539","1.12%","89.09%","66","1.93%","10.91%","605","1.18%"
"Ben Hill","245",".51%","94.96%","13",".38%","5.04%","258",".50%"
"0
Berrien","82",".17%","89.13%","10",".29%","10.87%","92",".18%"
"11
Bibb","1,013","2.11%","94.67%","57","1.67%","5.33%","1,070","2.08%"
"12
Bleckley","108",".22%","90.00%","12",".35%","10.00%","120",".23%"
"13
Brantley","58",".12%","95.08%","3",".09%","4.92%","61",".12%"
"14
Brooks","63",".13%","100.00%","","","","63",".12%"
"15
Bryan","104",".22%","92.04%","9",".26%","7.96%","113",".22%"
"16
Bulloch","480","1.00%","94.86%","26",".76%","5.14%","506",".98%"
"17
Burke","210",".44%","94.59%","12",".35%","5.41%","222",".43%"
"18
Butts","145",".30%","96.67%","5",".15%","3.33%","150",".29%"
"19
Calhoun","35",".07%","92.11%","3",".09%","7.89%","38",".07%"
"20
Camden","130",".27%","94.89%","7",".20%","5.11%","137",".27%"
"21
Candler","84",".17%","97.67%","2",".06%","2.33%","86",".17%"
"22
Carroll","550","1.14%","91.06%","54","1.58%","8.94%","604","1.17%"
"23
Catoosa","259",".54%","91.20%","25",".73%","8.80%","284",".55%"
"24
Charlton","56",".12%","93.33%","4",".12%","6.67%","60",".12%"
"25
Chatham","2,364","4.92%","94.33%","142","4.15%","5.67%","2,506","4.87%"
"26
Chattahoochee","25",".05%","100.00%","","","","25",".05%"
"27
Chattooga","227",".47%","86.64%","35","1.02%","13.36%","262",".51%"
"28
Cherokee","547","1.14%","91.93%","48","1.40%","8.07%","595","1.16%"
"29
Clarke","470",".98%","93.81%","31",".91%","6.19%","501",".97%"
"30
Clay","29",".06%","96.67%","1",".03%","3.33%","30",".06%"
"31
Clayton","1,529","3.18%","92.39%","126","3.68%","7.61%","1,655","3.22%"
"32
Clinch","42",".09%","91.30%","4",".12%","8.70%","46",".09%"
"33
Cobb","2,548","5.30%","91.29%","243","7.11%","8.71%","2,791","5.42%"
"34
Coffee","219",".46%","89.75%","25",".73%","10.25%","244",".47%"
"35
Colquitt","304",".63%","96.82%","10",".29%","3.18%","314",".61%"
"36
Columbia","274",".57%","92.88%","21",".61%","7.12%","295",".57%"
"37
Cook","137",".29%","95.14%","7",".20%","4.86%","144",".28%"
"38
Coweta","516","1.07%","94.16%","32",".94%","5.84%","548","1.06%"
