"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","66",".13%","98.51%","1",".03%","1.49%","67",".13%"
"78
Jackson","192",".39%","93.66%","13",".36%","6.34%","205",".39%"
"79
Jasper","61",".12%","100.00%","","","","61",".12%"
"80
Jeff Davis","69",".14%","86.25%","11",".30%","13.75%","80",".15%"
"81
Jefferson","121",".25%","97.58%","3",".08%","2.42%","124",".24%"
"82
Jenkins","64",".13%","95.52%","3",".08%","4.48%","67",".13%"
"83
Johnson","53",".11%","91.38%","5",".14%","8.62%","58",".11%"
"84
Jones","163",".33%","87.63%","23",".63%","12.37%","186",".35%"
"85
Lamar","78",".16%","95.12%","4",".11%","4.88%","82",".16%"
"86
Lanier","43",".09%","100.00%","","","","43",".08%"
"87
Laurens","315",".64%","93.47%","22",".61%","6.53%","337",".64%"
"88
Lee","72",".15%","96.00%","3",".08%","4.00%","75",".14%"
"89
Liberty","271",".55%","93.45%","19",".52%","6.55%","290",".55%"
"90
Lincoln","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"91
Long","81",".17%","94.19%","5",".14%","5.81%","86",".16%"
"92
Lowndes","531","1.08%","92.99%","40","1.10%","7.01%","571","1.09%"
"93
Lumpkin","95",".19%","90.48%","10",".28%","9.52%","105",".20%"
"94
Macon","64",".13%","96.97%","2",".06%","3.03%","66",".13%"
"95
Madison","114",".23%","90.48%","12",".33%","9.52%","126",".24%"
"96
Marion","42",".09%","91.30%","4",".11%","8.70%","46",".09%"
"97
Mcduffie","175",".36%","95.63%","8",".22%","4.37%","183",".35%"
"98
Mcintosh","65",".13%","98.48%","1",".03%","1.52%","66",".13%"
"99
Meriwether","240",".49%","96.39%","9",".25%","3.61%","249",".47%"
"100
Miller","27",".06%","96.43%","1",".03%","3.57%","28",".05%"
"101
Mitchell","202",".41%","92.66%","16",".44%","7.34%","218",".41%"
"102
Monroe","141",".29%","88.68%","18",".50%","11.32%","159",".30%"
"103
Montgomery","61",".12%","93.85%","4",".11%","6.15%","65",".12%"
"104
Morgan","164",".33%","93.71%","11",".30%","6.29%","175",".33%"
"105
Murray","182",".37%","92.39%","15",".41%","7.61%","197",".37%"
"106
Muscogee","1,619","3.30%","95.18%","82","2.26%","4.82%","1,701","3.23%"
"107
Newton","630","1.29%","92.38%","52","1.43%","7.62%","682","1.30%"
"108
Oconee","54",".11%","96.43%","2",".06%","3.57%","56",".11%"
"109
Oglethorpe","48",".10%","97.96%","1",".03%","2.04%","49",".09%"
"110
Paulding","240",".49%","93.02%","18",".50%","6.98%","258",".49%"
"111
Peach","82",".17%","96.47%","3",".08%","3.53%","85",".16%"
"112
Pickens","79",".16%","89.77%","9",".25%","10.23%","88",".17%"
"113
Pierce","61",".12%","92.42%","5",".14%","7.58%","66",".13%"
"114
Pike","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
