"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","75",".15%","98.68%","1",".03%","1.32%","76",".15%"
"78
Jackson","195",".40%","93.30%","14",".40%","6.70%","209",".40%"
"79
Jasper","62",".13%","100.00%","","","","62",".12%"
"80
Jeff Davis","61",".13%","84.72%","11",".32%","15.28%","72",".14%"
"81
Jefferson","122",".25%","96.06%","5",".14%","3.94%","127",".24%"
"82
Jenkins","53",".11%","94.64%","3",".09%","5.36%","56",".11%"
"83
Johnson","52",".11%","91.23%","5",".14%","8.77%","57",".11%"
"84
Jones","178",".37%","87.68%","25",".72%","12.32%","203",".39%"
"85
Lamar","72",".15%","94.74%","4",".12%","5.26%","76",".15%"
"86
Lanier","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"87
Laurens","283",".58%","94.02%","18",".52%","5.98%","301",".58%"
"88
Lee","63",".13%","95.45%","3",".09%","4.55%","66",".13%"
"89
Liberty","296",".61%","93.38%","21",".61%","6.62%","317",".61%"
"90
Lincoln","25",".05%","100.00%","","","","25",".05%"
"91
Long","73",".15%","96.05%","3",".09%","3.95%","76",".15%"
"92
Lowndes","510","1.05%","94.80%","28",".81%","5.20%","538","1.04%"
"93
Lumpkin","99",".20%","90.83%","10",".29%","9.17%","109",".21%"
"94
Macon","71",".15%","97.26%","2",".06%","2.74%","73",".14%"
"95
Madison","108",".22%","93.10%","8",".23%","6.90%","116",".22%"
"96
Marion","44",".09%","97.78%","1",".03%","2.22%","45",".09%"
"97
Mcduffie","184",".38%","95.34%","9",".26%","4.66%","193",".37%"
"98
Mcintosh","62",".13%","100.00%","","","","62",".12%"
"99
Meriwether","233",".48%","97.49%","6",".17%","2.51%","239",".46%"
"100
Miller","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"101
Mitchell","200",".41%","93.02%","15",".43%","6.98%","215",".41%"
"102
Monroe","154",".32%","89.02%","19",".55%","10.98%","173",".33%"
"103
Montgomery","53",".11%","94.64%","3",".09%","5.36%","56",".11%"
"104
Morgan","162",".33%","94.19%","10",".29%","5.81%","172",".33%"
"105
Murray","173",".36%","91.53%","16",".46%","8.47%","189",".36%"
"106
Muscogee","1,522","3.14%","95.13%","78","2.26%","4.88%","1,600","3.08%"
"107
Newton","618","1.28%","92.93%","47","1.36%","7.07%","665","1.28%"
"108
Oconee","51",".11%","94.44%","3",".09%","5.56%","54",".10%"
"109
Oglethorpe","50",".10%","98.04%","1",".03%","1.96%","51",".10%"
"110
Paulding","254",".52%","92.70%","20",".58%","7.30%","274",".53%"
"111
Peach","82",".17%","97.62%","2",".06%","2.38%","84",".16%"
"112
Pickens","92",".19%","86.79%","14",".40%","13.21%","106",".20%"
"113
Pierce","62",".13%","92.54%","5",".14%","7.46%","67",".13%"
"114
Pike","52",".11%","92.86%","4",".12%","7.14%","56",".11%"
