"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","43",".10%","93.48%","3",".09%","6.52%","46",".10%"
"115
Polk County","188",".42%","91.71%","17",".53%","8.29%","205",".43%"
"116
Pulaski County","34",".08%","85.00%","6",".19%","15.00%","40",".08%"
"117
Putnam County","159",".36%","92.44%","13",".41%","7.56%","172",".36%"
"118
Quitman County","9",".02%","100.00%","","","","9",".02%"
"119
Rabun County","66",".15%","86.84%","10",".31%","13.16%","76",".16%"
"120
Randolph County","43",".10%","95.56%","2",".06%","4.44%","45",".09%"
"121
Richmond County","1,521","3.42%","94.83%","83","2.60%","5.17%","1,604","3.37%"
"122
Rockdale County","417",".94%","93.50%","29",".91%","6.50%","446",".94%"
"123
Schley County","21",".05%","100.00%","","","","21",".04%"
"124
Screven County","106",".24%","94.64%","6",".19%","5.36%","112",".24%"
"125
Seminole County","60",".13%","86.96%","9",".28%","13.04%","69",".14%"
"126
Spalding County","421",".95%","90.73%","43","1.34%","9.27%","464",".97%"
"127
Stephens County","122",".27%","96.06%","5",".16%","3.94%","127",".27%"
"128
Stewart County","15",".03%","83.33%","3",".09%","16.67%","18",".04%"
"129
Sumter County","197",".44%","97.52%","5",".16%","2.48%","202",".42%"
"130
Talbot County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"131
Taliaferro County","19",".04%","100.00%","","","","19",".04%"
"132
Tattnall County","158",".36%","85.41%","27",".84%","14.59%","185",".39%"
"133
Taylor County","47",".11%","92.16%","4",".13%","7.84%","51",".11%"
"134
Telfair County","102",".23%","94.44%","6",".19%","5.56%","108",".23%"
"135
Terrell County","70",".16%","97.22%","2",".06%","2.78%","72",".15%"
"136
Thomas County","208",".47%","96.74%","7",".22%","3.26%","215",".45%"
"137
Tift County","300",".67%","96.15%","12",".38%","3.85%","312",".65%"
"138
Toombs County","275",".62%","91.06%","27",".84%","8.94%","302",".63%"
"139
Towns County","48",".11%","81.36%","11",".34%","18.64%","59",".12%"
"140
Treutlen County","62",".14%","98.41%","1",".03%","1.59%","63",".13%"
"141
Troup County","568","1.28%","93.27%","41","1.28%","6.73%","609","1.28%"
"142
Turner County","52",".12%","92.86%","4",".13%","7.14%","56",".12%"
"143
Twiggs County","38",".09%","88.37%","5",".16%","11.63%","43",".09%"
"144
Union County","82",".18%","86.32%","13",".41%","13.68%","95",".20%"
"145
Upson County","174",".39%","96.67%","6",".19%","3.33%","180",".38%"
"146
Walker County","402",".90%","91.57%","37","1.16%","8.43%","439",".92%"
"147
Walton County","624","1.40%","90.57%","65","2.03%","9.43%","689","1.45%"
"148
Ware County","241",".54%","90.60%","25",".78%","9.40%","266",".56%"
"149
Warren County","29",".07%","87.88%","4",".13%","12.12%","33",".07%"
"150
Washington County","173",".39%","91.53%","16",".50%","8.47%","189",".40%"
"151
Wayne County","177",".40%","89.85%","20",".63%","10.15%","197",".41%"
