"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","572","1.28%","94.23%","35","1.07%","5.77%","607","1.27%"
"039
Crawford County","19",".04%","100.00%","","","","19",".04%"
"040
Crisp County","353",".79%","92.65%","28",".86%","7.35%","381",".80%"
"041
Dade County","88",".20%","86.27%","14",".43%","13.73%","102",".21%"
"042
Dawson County","99",".22%","86.84%","15",".46%","13.16%","114",".24%"
"043
Decatur County","231",".52%","94.29%","14",".43%","5.71%","245",".51%"
"044
Dekalb County","2,366","5.30%","95.71%","106","3.24%","4.29%","2,472","5.16%"
"045
Dodge County","114",".26%","89.06%","14",".43%","10.94%","128",".27%"
"046
Dooly County","135",".30%","91.22%","13",".40%","8.78%","148",".31%"
"047
Dougherty County","736","1.65%","95.83%","32",".98%","4.17%","768","1.60%"
"048
Douglas County","880","1.97%","91.38%","83","2.54%","8.62%","963","2.01%"
"049
Early County","78",".17%","96.30%","3",".09%","3.70%","81",".17%"
"050
Echols County","12",".03%","100.00%","","","","12",".03%"
"051
Effingham County","230",".52%","90.91%","23",".70%","9.09%","253",".53%"
"052
Elbert County","124",".28%","95.38%","6",".18%","4.62%","130",".27%"
"053
Emanuel County","170",".38%","92.39%","14",".43%","7.61%","184",".38%"
"054
Evans County","73",".16%","92.41%","6",".18%","7.59%","79",".16%"
"055
Fannin County","103",".23%","88.79%","13",".40%","11.21%","116",".24%"
"056
Fayette County","336",".75%","93.33%","24",".73%","6.67%","360",".75%"
"057
Floyd County","845","1.89%","90.57%","88","2.69%","9.43%","933","1.95%"
"058
Forsyth County","362",".81%","90.50%","38","1.16%","9.50%","400",".83%"
"059
Franklin County","153",".34%","90.00%","17",".52%","10.00%","170",".35%"
"060
Fulton County","4,110","9.21%","96.34%","156","4.77%","3.66%","4,266","8.90%"
"061
Gilmer County","93",".21%","91.18%","9",".28%","8.82%","102",".21%"
"062
Glascock County","12",".03%","100.00%","","","","12",".03%"
"063
Glynn County","472","1.06%","93.10%","35","1.07%","6.90%","507","1.06%"
"064
Gordon County","407",".91%","87.72%","57","1.74%","12.28%","464",".97%"
"065
Grady County","172",".39%","92.97%","13",".40%","7.03%","185",".39%"
"066
Greene County","104",".23%","93.69%","7",".21%","6.31%","111",".23%"
"067
Gwinnett County","2,258","5.06%","93.54%","156","4.77%","6.46%","2,414","5.04%"
"068
Habersham County","109",".24%","85.83%","18",".55%","14.17%","127",".27%"
"069
Hall County","656","1.47%","92.79%","51","1.56%","7.21%","707","1.48%"
"070
Hancock County","38",".09%","95.00%","2",".06%","5.00%","40",".08%"
"071
Haralson County","133",".30%","92.36%","11",".34%","7.64%","144",".30%"
"072
Harris County","94",".21%","94.95%","5",".15%","5.05%","99",".21%"
"073
Hart County","167",".37%","89.78%","19",".58%","10.22%","186",".39%"
"074
Heard County","42",".09%","93.33%","3",".09%","6.67%","45",".09%"
"075
Henry County","595","1.33%","92.11%","51","1.56%","7.89%","646","1.35%"
