"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","49",".10%","87.50%","7",".19%","12.50%","56",".10%"
"115
Polk County","168",".33%","94.92%","9",".25%","5.08%","177",".33%"
"116
Pulaski County","59",".12%","96.72%","2",".06%","3.28%","61",".11%"
"117
Putnam County","176",".35%","91.67%","16",".44%","8.33%","192",".35%"
"118
Quitman County","22",".04%","100.00%","","","","22",".04%"
"119
Rabun County","49",".10%","90.74%","5",".14%","9.26%","54",".10%"
"120
Randolph County","72",".14%","97.30%","2",".06%","2.70%","74",".14%"
"121
Richmond County","1,924","3.80%","94.18%","119","3.30%","5.82%","2,043","3.77%"
"122
Rockdale County","435",".86%","92.95%","33",".91%","7.05%","468",".86%"
"123
Schley County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"124
Screven County","134",".26%","95.04%","7",".19%","4.96%","141",".26%"
"125
Seminole County","72",".14%","90.00%","8",".22%","10.00%","80",".15%"
"126
Spalding County","493",".97%","93.73%","33",".91%","6.27%","526",".97%"
"127
Stephens County","170",".34%","91.89%","15",".42%","8.11%","185",".34%"
"128
Stewart County","29",".06%","96.67%","1",".03%","3.33%","30",".06%"
"129
Sumter County","217",".43%","93.53%","15",".42%","6.47%","232",".43%"
"130
Talbot County","51",".10%","92.73%","4",".11%","7.27%","55",".10%"
"131
Taliaferro County","24",".05%","85.71%","4",".11%","14.29%","28",".05%"
"132
Tattnall County","194",".38%","91.94%","17",".47%","8.06%","211",".39%"
"133
Taylor County","69",".14%","94.52%","4",".11%","5.48%","73",".13%"
"134
Telfair County","91",".18%","93.81%","6",".17%","6.19%","97",".18%"
"135
Terrell County","84",".17%","96.55%","3",".08%","3.45%","87",".16%"
"136
Thomas County","215",".42%","91.88%","19",".53%","8.12%","234",".43%"
"137
Tift County","327",".65%","95.61%","15",".42%","4.39%","342",".63%"
"138
Toombs County","326",".64%","90.81%","33",".91%","9.19%","359",".66%"
"139
Towns County","35",".07%","94.59%","2",".06%","5.41%","37",".07%"
"140
Treutlen County","86",".17%","96.63%","3",".08%","3.37%","89",".16%"
"141
Troup County","586","1.16%","92.43%","48","1.33%","7.57%","634","1.17%"
"142
Turner County","61",".12%","91.04%","6",".17%","8.96%","67",".12%"
"143
Twiggs County","66",".13%","95.65%","3",".08%","4.35%","69",".13%"
"144
Union County","64",".13%","83.12%","13",".36%","16.88%","77",".14%"
"145
Upson County","184",".36%","96.34%","7",".19%","3.66%","191",".35%"
"146
Walker County","388",".77%","90.65%","40","1.11%","9.35%","428",".79%"
"147
Walton County","501",".99%","89.30%","60","1.66%","10.70%","561","1.03%"
"148
Ware County","346",".68%","94.02%","22",".61%","5.98%","368",".68%"
"149
Warren County","48",".09%","96.00%","2",".06%","4.00%","50",".09%"
"150
Washington County","188",".37%","89.95%","21",".58%","10.05%","209",".39%"
"151
Wayne County","156",".31%","91.76%","14",".39%","8.24%","170",".31%"
