"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","192",".38%","95.05%","10",".26%","4.95%","202",".37%"
"001
Appling County","97",".19%","96.04%","4",".10%","3.96%","101",".19%"
"002
Atkinson County","52",".10%","94.55%","3",".08%","5.45%","55",".10%"
"003
Bacon County","72",".14%","91.14%","7",".18%","8.86%","79",".15%"
"004
Baker County","9",".02%","100.00%","","","","9",".02%"
"005
Baldwin County","302",".60%","90.96%","30",".78%","9.04%","332",".61%"
"006
Banks County","60",".12%","90.91%","6",".16%","9.09%","66",".12%"
"007
Barrow County","309",".61%","90.09%","34",".89%","9.91%","343",".63%"
"008
Bartow County","658","1.30%","87.04%","98","2.56%","12.96%","756","1.39%"
"009
Ben Hill County","261",".52%","92.55%","21",".55%","7.45%","282",".52%"
"010
Berrien County","88",".17%","98.88%","1",".03%","1.12%","89",".16%"
"011
Bibb County","1,150","2.27%","93.80%","76","1.98%","6.20%","1,226","2.25%"
"012
Bleckley County","68",".13%","93.15%","5",".13%","6.85%","73",".13%"
"013
Brantley County","63",".12%","92.65%","5",".13%","7.35%","68",".12%"
"014
Brooks County","56",".11%","96.55%","2",".05%","3.45%","58",".11%"
"015
Bryan County","71",".14%","97.26%","2",".05%","2.74%","73",".13%"
"016
Bulloch County","564","1.11%","94.31%","34",".89%","5.69%","598","1.10%"
"017
Burke County","210",".41%","95.45%","10",".26%","4.55%","220",".40%"
"018
Butts County","102",".20%","94.44%","6",".16%","5.56%","108",".20%"
"019
Calhoun County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"020
Camden County","185",".37%","94.39%","11",".29%","5.61%","196",".36%"
"021
Candler County","115",".23%","92.00%","10",".26%","8.00%","125",".23%"
"022
Carroll County","609","1.20%","91.99%","53","1.38%","8.01%","662","1.22%"
"023
Catoosa County","368",".73%","90.86%","37",".97%","9.14%","405",".74%"
"024
Charlton County","60",".12%","89.55%","7",".18%","10.45%","67",".12%"
"025
Chatham County","1,933","3.82%","95.60%","89","2.32%","4.40%","2,022","3.71%"
"026
Chattahoochee County","27",".05%","100.00%","","","","27",".05%"
"027
Chattooga County","250",".49%","90.25%","27",".70%","9.75%","277",".51%"
"028
Cherokee County","555","1.10%","88.52%","72","1.88%","11.48%","627","1.15%"
"029
Clarke County","539","1.06%","93.41%","38",".99%","6.59%","577","1.06%"
"030
Clay County","17",".03%","80.95%","4",".10%","19.05%","21",".04%"
"031
Clayton County","1,400","2.76%","93.58%","96","2.51%","6.42%","1,496","2.75%"
"032
Clinch County","45",".09%","97.83%","1",".03%","2.17%","46",".08%"
"033
Cobb County","2,468","4.87%","92.23%","208","5.43%","7.77%","2,676","4.91%"
"034
Coffee County","245",".48%","94.23%","15",".39%","5.77%","260",".48%"
"035
Colquitt County","202",".40%","96.65%","7",".18%","3.35%","209",".38%"
"036
Columbia County","439",".87%","91.84%","39","1.02%","8.16%","478",".88%"
"037
Cook County","120",".24%","91.60%","11",".29%","8.40%","131",".24%"
