"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","625","1.30%","94.41%","37",".98%","5.59%","662","1.28%"
"039 
Crawford County","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"040 
Crisp County","390",".81%","92.42%","32",".85%","7.58%","422",".82%"
"041 
Dade County","89",".19%","89.00%","11",".29%","11.00%","100",".19%"
"042 
Dawson County","138",".29%","87.90%","19",".50%","12.10%","157",".30%"
"043 
Decatur County","302",".63%","90.69%","31",".82%","9.31%","333",".64%"
"044 
Dekalb County","2,527","5.27%","95.25%","126","3.33%","4.75%","2,653","5.13%"
"045 
Dodge County","132",".28%","88.59%","17",".45%","11.41%","149",".29%"
"046 
Dooly County","130",".27%","89.66%","15",".40%","10.34%","145",".28%"
"047 
Dougherty County","739","1.54%","95.48%","35",".93%","4.52%","774","1.50%"
"048 
Douglas County","837","1.75%","90.58%","87","2.30%","9.42%","924","1.79%"
"049 
Early County","85",".18%","97.70%","2",".05%","2.30%","87",".17%"
"050 
Echols County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"051 
Effingham County","340",".71%","89.01%","42","1.11%","10.99%","382",".74%"
"052 
Elbert County","139",".29%","90.85%","14",".37%","9.15%","153",".30%"
"053 
Emanuel County","210",".44%","93.33%","15",".40%","6.67%","225",".44%"
"054 
Evans County","85",".18%","92.39%","7",".19%","7.61%","92",".18%"
"055 
Fannin County","104",".22%","89.66%","12",".32%","10.34%","116",".22%"
"056 
Fayette County","378",".79%","90.00%","42","1.11%","10.00%","420",".81%"
"057 
Floyd County","899","1.88%","90.08%","99","2.62%","9.92%","998","1.93%"
"058 
Forsyth County","398",".83%","88.64%","51","1.35%","11.36%","449",".87%"
"059 
Franklin County","175",".37%","87.50%","25",".66%","12.50%","200",".39%"
"060 
Fulton County","4,493","9.37%","95.60%","207","5.47%","4.40%","4,700","9.09%"
"061 
Gilmer County","107",".22%","90.68%","11",".29%","9.32%","118",".23%"
"062 
Glascock County","13",".03%","100.00%","","","","13",".03%"
"063 
Glynn County","554","1.16%","94.22%","34",".90%","5.78%","588","1.14%"
"064 
Gordon County","383",".80%","87.24%","56","1.48%","12.76%","439",".85%"
"065 
Grady County","202",".42%","88.99%","25",".66%","11.01%","227",".44%"
"066 
Greene County","123",".26%","87.23%","18",".48%","12.77%","141",".27%"
"067 
Gwinnett County","2,390","4.99%","92.67%","189","5.00%","7.33%","2,579","4.99%"
"068 
Habersham County","124",".26%","87.32%","18",".48%","12.68%","142",".27%"
"069 
Hall County","709","1.48%","91.84%","63","1.67%","8.16%","772","1.49%"
"070 
Hancock County","41",".09%","95.35%","2",".05%","4.65%","43",".08%"
"071 
Haralson County","179",".37%","89.50%","21",".56%","10.50%","200",".39%"
"072 
Harris County","98",".20%","95.15%","5",".13%","4.85%","103",".20%"
"073 
Hart County","165",".34%","94.83%","9",".24%","5.17%","174",".34%"
"074 
Heard County","49",".10%","87.50%","7",".19%","12.50%","56",".11%"
"075 
Henry County","722","1.51%","92.21%","61","1.61%","7.79%","783","1.51%"
