"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"153
Wheeler County","27",".05%","100.00%","","","","27",".05%"
"154
White County","81",".16%","87.10%","12",".34%","12.90%","93",".17%"
"155
Whitfield County","506","1.01%","88.93%","63","1.76%","11.07%","569","1.06%"
"156
Wilcox County","45",".09%","91.84%","4",".11%","8.16%","49",".09%"
"157
Wilkes County","75",".15%","96.15%","3",".08%","3.85%","78",".15%"
"158
Wilkinson County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"159
Worth County","111",".22%","94.87%","6",".17%","5.13%","117",".22%"
"Total Rported","49,977","100%","93.31%","3,581","100%","6.69%","53,558","100%"
