"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","539","1.05%","92.93%","41","1.10%","7.07%","580","1.05%"
"039
Crawford County","17",".03%","94.44%","1",".03%","5.56%","18",".03%"
"040
Crisp County","263",".51%","93.26%","19",".51%","6.74%","282",".51%"
"041
Dade County","139",".27%","94.56%","8",".22%","5.44%","147",".27%"
"042
Dawson County","129",".25%","92.81%","10",".27%","7.19%","139",".25%"
"043
Decatur County","311",".61%","93.11%","23",".62%","6.89%","334",".61%"
"044
Dekalb County","2,865","5.58%","94.52%","166","4.47%","5.48%","3,031","5.50%"
"045
Dodge County","144",".28%","93.51%","10",".27%","6.49%","154",".28%"
"046
Dooly County","94",".18%","95.92%","4",".11%","4.08%","98",".18%"
"047
Dougherty County","954","1.86%","94.64%","54","1.45%","5.36%","1,008","1.83%"
"048
Douglas County","1,224","2.38%","88.63%","157","4.23%","11.37%","1,381","2.51%"
"049
Early County","94",".18%","94.95%","5",".13%","5.05%","99",".18%"
"050
Echols County","9",".02%","100.00%","","","","9",".02%"
"051
Effingham County","154",".30%","91.67%","14",".38%","8.33%","168",".30%"
"052
Elbert County","123",".24%","93.89%","8",".22%","6.11%","131",".24%"
"053
Emanuel County","179",".35%","93.72%","12",".32%","6.28%","191",".35%"
"054
Evans County","99",".19%","97.06%","3",".08%","2.94%","102",".19%"
"055
Fannin County","107",".21%","92.24%","9",".24%","7.76%","116",".21%"
"056
Fayette County","359",".70%","93.49%","25",".67%","6.51%","384",".70%"
"057
Floyd County","746","1.45%","91.20%","72","1.94%","8.80%","818","1.48%"
"058
Forsyth County","287",".56%","86.19%","46","1.24%","13.81%","333",".60%"
"059
Franklin County","130",".25%","92.20%","11",".30%","7.80%","141",".26%"
"060
Fulton County","5,081","9.89%","96.41%","189","5.09%","3.59%","5,270","9.57%"
"061
Gilmer County","134",".26%","90.54%","14",".38%","9.46%","148",".27%"
"062
Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"063
Glynn County","388",".76%","93.72%","26",".70%","6.28%","414",".75%"
"064
Gordon County","291",".57%","89.26%","35",".94%","10.74%","326",".59%"
"065
Grady County","202",".39%","94.39%","12",".32%","5.61%","214",".39%"
"066
Greene County","152",".30%","94.41%","9",".24%","5.59%","161",".29%"
"067
Gwinnett County","2,227","4.33%","92.68%","176","4.74%","7.32%","2,403","4.36%"
"068
Habersham County","103",".20%","93.64%","7",".19%","6.36%","110",".20%"
"069
Hall County","698","1.36%","91.84%","62","1.67%","8.16%","760","1.38%"
"070
Hancock County","39",".08%","100.00%","","","","39",".07%"
"071
Haralson County","87",".17%","97.75%","2",".05%","2.25%","89",".16%"
"072
Harris County","129",".25%","95.56%","6",".16%","4.44%","135",".25%"
"073
Hart County","116",".23%","96.67%","4",".11%","3.33%","120",".22%"
"074
Heard County","71",".14%","97.26%","2",".05%","2.74%","73",".13%"
"075
Henry County","589","1.15%","90.06%","65","1.75%","9.94%","654","1.19%"
