"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","19",".04%","90.48%","2",".06%","9.52%","21",".04%"
"40
Crisp","284",".59%","91.32%","27",".79%","8.68%","311",".60%"
"41
Dade","141",".29%","92.76%","11",".32%","7.24%","152",".29%"
"42
Dawson","98",".20%","95.15%","5",".15%","4.85%","103",".20%"
"43
Decatur","276",".57%","94.20%","17",".50%","5.80%","293",".57%"
"44
Dekalb","3,068","6.38%","95.28%","152","4.44%","4.72%","3,220","6.25%"
"45
Dodge","162",".34%","92.57%","13",".38%","7.43%","175",".34%"
"46
Dooly","106",".22%","95.50%","5",".15%","4.50%","111",".22%"
"47
Dougherty","986","2.05%","94.35%","59","1.72%","5.65%","1,045","2.03%"
"48
Douglas","1,047","2.18%","90.34%","112","3.27%","9.66%","1,159","2.25%"
"49
Early","76",".16%","96.20%","3",".09%","3.80%","79",".15%"
"50
Echols","12",".02%","100.00%","","","","12",".02%"
"51
Effingham","165",".34%","91.67%","15",".44%","8.33%","180",".35%"
"52
Elbert","163",".34%","92.61%","13",".38%","7.39%","176",".34%"
"53
Emanuel","182",".38%","96.30%","7",".20%","3.70%","189",".37%"
"54
Evans","80",".17%","94.12%","5",".15%","5.88%","85",".16%"
"55
Fannin","109",".23%","93.16%","8",".23%","6.84%","117",".23%"
"56
Fayette","279",".58%","91.18%","27",".79%","8.82%","306",".59%"
"57
Floyd","788","1.64%","89.34%","94","2.74%","10.66%","882","1.71%"
"58
Forsyth","230",".48%","89.84%","26",".76%","10.16%","256",".50%"
"59
Franklin","132",".27%","91.03%","13",".38%","8.97%","145",".28%"
"60
Fulton","4,459","9.27%","96.39%","167","4.88%","3.61%","4,626","8.97%"
"61
Gilmer","127",".26%","88.19%","17",".50%","11.81%","144",".28%"
"62
Glascock","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"63
Glynn","453",".94%","95.77%","20",".58%","4.23%","473",".92%"
"64
Gordon","273",".57%","89.80%","31",".91%","10.20%","304",".59%"
"65
Grady","213",".44%","92.21%","18",".53%","7.79%","231",".45%"
"66
Greene","99",".21%","97.06%","3",".09%","2.94%","102",".20%"
"67
Gwinnett","1,490","3.10%","93.30%","107","3.12%","6.70%","1,597","3.10%"
"68
Habersham","132",".27%","91.03%","13",".38%","8.97%","145",".28%"
"69
Hall","728","1.51%","92.04%","63","1.84%","7.96%","791","1.53%"
"70
Hancock","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"71
Haralson","74",".15%","93.67%","5",".15%","6.33%","79",".15%"
"72
Harris","105",".22%","96.33%","4",".12%","3.67%","109",".21%"
"73
Hart","112",".23%","94.92%","6",".18%","5.08%","118",".23%"
"74
Heard","57",".12%","89.06%","7",".20%","10.94%","64",".12%"
"75
Henry","460",".96%","91.09%","45","1.31%","8.91%","505",".98%"
"76
Houston","590","1.23%","93.50%","41","1.20%","6.50%","631","1.22%"
