"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Houston County","695","1.39%","93.41%","49","1.30%","6.59%","744","1.38%"
"Irwin County","74",".15%","98.67%","1",".03%","1.33%","75",".14%"
"Jackson County","239",".48%","92.64%","19",".50%","7.36%","258",".48%"
"Jasper County","56",".11%","93.33%","4",".11%","6.67%","60",".11%"
"Jeff Davis County","92",".18%","95.83%","4",".11%","4.17%","96",".18%"
"Jefferson County","158",".32%","97.53%","4",".11%","2.47%","162",".30%"
"Jenkins County","93",".19%","94.90%","5",".13%","5.10%","98",".18%"
"Johnson County","44",".09%","97.78%","1",".03%","2.22%","45",".08%"
"Jones County","188",".38%","91.26%","18",".48%","8.74%","206",".38%"
"Lamar County","74",".15%","90.24%","8",".21%","9.76%","82",".15%"
"Lanier County","53",".11%","98.15%","1",".03%","1.85%","54",".10%"
"Laurens County","280",".56%","93.65%","19",".50%","6.35%","299",".56%"
"Lee County","65",".13%","91.55%","6",".16%","8.45%","71",".13%"
"Liberty County","249",".50%","93.61%","17",".45%","6.39%","266",".50%"
"Lincoln County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Long County","75",".15%","91.46%","7",".19%","8.54%","82",".15%"
"Lowndes County","521","1.04%","95.77%","23",".61%","4.23%","544","1.01%"
"Lumpkin County","92",".18%","91.09%","9",".24%","8.91%","101",".19%"
"Macon County","62",".12%","100.00%","","","","62",".12%"
"Madison County","138",".28%","91.39%","13",".35%","8.61%","151",".28%"
"Marion County","23",".05%","92.00%","2",".05%","8.00%","25",".05%"
"Mcduffie County","198",".40%","94.29%","12",".32%","5.71%","210",".39%"
"Mcintosh County","48",".10%","100.00%","","","","48",".09%"
"Meriwether County","180",".36%","90.91%","18",".48%","9.09%","198",".37%"
"Miller County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"Mitchell County","163",".33%","92.61%","13",".35%","7.39%","176",".33%"
"Monroe County","134",".27%","88.16%","18",".48%","11.84%","152",".28%"
"Montgomery County","32",".06%","91.43%","3",".08%","8.57%","35",".07%"
"Morgan County","143",".29%","90.51%","15",".40%","9.49%","158",".29%"
"Murray County","171",".34%","92.43%","14",".37%","7.57%","185",".34%"
"Muscogee County","1,205","2.41%","94.29%","73","1.94%","5.71%","1,278","2.38%"
"Newton County","686","1.37%","91.71%","62","1.65%","8.29%","748","1.39%"
"Oconee County","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"Oglethorpe County","63",".13%","96.92%","2",".05%","3.08%","65",".12%"
"Paulding County","241",".48%","92.34%","20",".53%","7.66%","261",".49%"
"Peach County","94",".19%","94.00%","6",".16%","6.00%","100",".19%"
"Pickens County","82",".16%","87.23%","12",".32%","12.77%","94",".17%"
"Pierce County","92",".18%","94.85%","5",".13%","5.15%","97",".18%"
