"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","190",".41%","95.96%","8",".24%","4.04%","198",".40%"
"Appling County","105",".23%","94.59%","6",".18%","5.41%","111",".22%"
"Atkinson County","43",".09%","89.58%","5",".15%","10.42%","48",".10%"
"Bacon County","75",".16%","96.15%","3",".09%","3.85%","78",".16%"
"Baker County","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"Baldwin County","275",".60%","92.59%","22",".67%","7.41%","297",".60%"
"Banks County","63",".14%","88.73%","8",".24%","11.27%","71",".14%"
"Barrow County","311",".67%","90.14%","34","1.03%","9.86%","345",".70%"
"Bartow County","574","1.25%","88.17%","77","2.34%","11.83%","651","1.32%"
"Ben Hill County","225",".49%","94.14%","14",".43%","5.86%","239",".48%"
"Berrien County","95",".21%","96.94%","3",".09%","3.06%","98",".20%"
"Bibb County","1,030","2.24%","94.93%","55","1.67%","5.07%","1,085","2.20%"
"Bleckley County","51",".11%","87.93%","7",".21%","12.07%","58",".12%"
"Brantley County","82",".18%","89.13%","10",".30%","10.87%","92",".19%"
"Brooks County","46",".10%","100.00%","","","","46",".09%"
"Bryan County","43",".09%","97.73%","1",".03%","2.27%","44",".09%"
"Bulloch County","471","1.02%","93.82%","31",".94%","6.18%","502","1.02%"
"Burke County","210",".46%","95.02%","11",".33%","4.98%","221",".45%"
"Butts County","121",".26%","92.37%","10",".30%","7.63%","131",".27%"
"Calhoun County","23",".05%","85.19%","4",".12%","14.81%","27",".05%"
"Camden County","167",".36%","93.30%","12",".36%","6.70%","179",".36%"
"Candler County","102",".22%","91.07%","10",".30%","8.93%","112",".23%"
"Carroll County","537","1.17%","91.64%","49","1.49%","8.36%","586","1.19%"
"Catoosa County","318",".69%","91.38%","30",".91%","8.62%","348",".70%"
"Charlton County","63",".14%","87.50%","9",".27%","12.50%","72",".15%"
"Chatham County","1,722","3.74%","96.31%","66","2.01%","3.69%","1,788","3.62%"
"Chattahoochee County","18",".04%","100.00%","","","","18",".04%"
"Chattooga County","209",".45%","90.87%","21",".64%","9.13%","230",".47%"
"Cherokee County","517","1.12%","90.86%","52","1.58%","9.14%","569","1.15%"
"Clarke County","495","1.07%","93.40%","35","1.06%","6.60%","530","1.07%"
"Clay County","19",".04%","82.61%","4",".12%","17.39%","23",".05%"
"Clayton County","1,280","2.78%","92.75%","100","3.04%","7.25%","1,380","2.80%"
"Clinch County","41",".09%","91.11%","4",".12%","8.89%","45",".09%"
"Cobb County","2,292","4.97%","92.64%","182","5.53%","7.36%","2,474","5.01%"
"Coffee County","215",".47%","93.89%","14",".43%","6.11%","229",".46%"
"Colquitt County","209",".45%","95.43%","10",".30%","4.57%","219",".44%"
"Columbia County","382",".83%","90.95%","38","1.15%","9.05%","420",".85%"
"Cook County","112",".24%","92.56%","9",".27%","7.44%","121",".25%"
"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","568","1.23%","94.82%","31",".94%","5.18%","599","1.21%"
"Crawford County","18",".04%","90.00%","2",".06%","10.00%","20",".04%"
"Crisp County","333",".72%","94.33%","20",".61%","5.67%","353",".71%"
"Dade County","84",".18%","93.33%","6",".18%","6.67%","90",".18%"
