"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"135   Terrell County","53","0.11%","94.64%","3","0.07%","5.36%","56","0.1%"
"136   Thomas County","232","0.47%","95.47%","11","0.27%","4.53%","243","0.45%"
"137   Tift County","280","0.57%","95.24%","14","0.35%","4.76%","294","0.55%"
"138   Toombs County","292","0.59%","91.82%","26","0.65%","8.18%","318","0.59%"
"139   Towns County","51","0.1%","80.95%","12","0.3%","19.05%","63","0.12%"
"140   Treutlen County","60","0.12%","95.24%","3","0.07%","4.76%","63","0.12%"
"141   Troup County","590","1.19%","91.9%","52","1.3%","8.1%","642","1.2%"
"142   Turner County","65","0.13%","95.59%","3","0.07%","4.41%","68","0.13%"
"143   Twiggs County","34","0.07%","87.18%","5","0.12%","12.82%","39","0.07%"
"144   Union County","85","0.17%","86.73%","13","0.32%","13.27%","98","0.18%"
"145   Upson County","225","0.45%","92.59%","18","0.45%","7.41%","243","0.45%"
"146   Walker County","389","0.79%","92.62%","31","0.77%","7.38%","420","0.79%"
"147   Walton County","654","1.32%","91.34%","62","1.55%","8.66%","716","1.34%"
"148   Ware County","268","0.54%","89.63%","31","0.77%","10.37%","299","0.56%"
"149   Warren County","32","0.06%","94.12%","2","0.05%","5.88%","34","0.06%"
"150   Washington County","172","0.35%","93.48%","12","0.3%","6.52%","184","0.34%"
"151   Wayne County","178","0.36%","86.83%","27","0.67%","13.17%","205","0.38%"
"152   Webster County","15","0.03%","100.0%","","","","15","0.03%"
"153   Wheeler County","27","0.05%","90.0%","3","0.07%","10.0%","30","0.06%"
"154   White County","101","0.2%","92.66%","8","0.2%","7.34%","109","0.2%"
"155   Whitfield County","737","1.49%","87.32%","107","2.67%","12.68%","844","1.58%"
"156   Wilcox County","60","0.12%","92.31%","5","0.12%","7.69%","65","0.12%"
"157   Wilkes County","81","0.16%","97.59%","2","0.05%","2.41%","83","0.16%"
"158   Wilkinson County","37","0.07%","97.37%","1","0.02%","2.63%","38","0.07%"
"159   Worth County","132","0.27%","91.03%","13","0.32%","8.97%","145","0.27%"
"Total Reported","49,494","100.00%","92.51%","4,006","100.00%","7.49%","53,500","100.00%"
