"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","42",".08%","91.30%","4",".11%","8.70%","46",".08%"
"115
Polk County","198",".39%","93.84%","13",".34%","6.16%","211",".39%"
"116
Pulaski County","54",".11%","96.43%","2",".05%","3.57%","56",".10%"
"117
Putnam County","157",".31%","91.28%","15",".40%","8.72%","172",".32%"
"118
Quitman County","17",".03%","100.00%","","","","17",".03%"
"119
Rabun County","50",".10%","89.29%","6",".16%","10.71%","56",".10%"
"120
Randolph County","63",".13%","96.92%","2",".05%","3.08%","65",".12%"
"121
Richmond County","1,939","3.85%","93.58%","133","3.51%","6.42%","2,072","3.83%"
"122
Rockdale County","482",".96%","92.34%","40","1.06%","7.66%","522",".96%"
"123
Schley County","12",".02%","80.00%","3",".08%","20.00%","15",".03%"
"124
Screven County","117",".23%","95.90%","5",".13%","4.10%","122",".23%"
"125
Seminole County","73",".14%","84.88%","13",".34%","15.12%","86",".16%"
"126
Spalding County","497",".99%","93.42%","35",".92%","6.58%","532",".98%"
"127
Stephens County","165",".33%","86.39%","26",".69%","13.61%","191",".35%"
"128
Stewart County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"129
Sumter County","185",".37%","95.36%","9",".24%","4.64%","194",".36%"
"130
Talbot County","37",".07%","90.24%","4",".11%","9.76%","41",".08%"
"131
Taliaferro County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"132
Tattnall County","184",".37%","93.88%","12",".32%","6.12%","196",".36%"
"133
Taylor County","65",".13%","90.28%","7",".18%","9.72%","72",".13%"
"134
Telfair County","103",".20%","96.26%","4",".11%","3.74%","107",".20%"
"135
Terrell County","89",".18%","94.68%","5",".13%","5.32%","94",".17%"
"136
Thomas County","207",".41%","96.73%","7",".18%","3.27%","214",".40%"
"137
Tift County","327",".65%","94.51%","19",".50%","5.49%","346",".64%"
"138
Toombs County","324",".64%","91.01%","32",".84%","8.99%","356",".66%"
"139
Towns County","51",".10%","77.27%","15",".40%","22.73%","66",".12%"
"140
Treutlen County","80",".16%","95.24%","4",".11%","4.76%","84",".16%"
"141
Troup County","629","1.25%","90.63%","65","1.72%","9.37%","694","1.28%"
"142
Turner County","62",".12%","95.38%","3",".08%","4.62%","65",".12%"
"143
Twiggs County","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"144
Union County","95",".19%","84.82%","17",".45%","15.18%","112",".21%"
"145
Upson County","175",".35%","93.58%","12",".32%","6.42%","187",".35%"
"146
Walker County","414",".82%","90.59%","43","1.14%","9.41%","457",".84%"
"147
Walton County","538","1.07%","91.19%","52","1.37%","8.81%","590","1.09%"
"148
Ware County","326",".65%","93.14%","24",".63%","6.86%","350",".65%"
"149
Warren County","37",".07%","94.87%","2",".05%","5.13%","39",".07%"
"150
Washington County","186",".37%","90.73%","19",".50%","9.27%","205",".38%"
"151
Wayne County","161",".32%","93.06%","12",".32%","6.94%","173",".32%"
