"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"027   Chattooga County","173","0.35%","88.72%","22","0.54%","11.28%","195","0.37%"
"028   Cherokee County","669","1.36%","92.28%","56","1.38%","7.72%","725","1.36%"
"029   Clarke County","524","1.06%","93.4%","37","0.91%","6.6%","561","1.05%"
"030   Clay County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"031   Clayton County","1,151","2.34%","92.97%","87","2.14%","7.03%","1,238","2.32%"
"032   Clinch County","40","0.08%","93.02%","3","0.07%","6.98%","43","0.08%"
"033   Cobb County","2,184","4.44%","93.61%","149","3.67%","6.39%","2,333","4.38%"
"034   Coffee County","297","0.6%","90.83%","30","0.74%","9.17%","327","0.61%"
"035   Colquitt County","203","0.41%","97.13%","6","0.15%","2.87%","209","0.39%"
"036   Columbia County","525","1.07%","88.68%","67","1.65%","11.32%","592","1.11%"
"037   Cook County","133","0.27%","91.1%","13","0.32%","8.9%","146","0.27%"
"038   Coweta County","740","1.5%","93.67%","50","1.23%","6.33%","790","1.48%"
"039   Crawford County","29","0.06%","90.63%","3","0.07%","9.38%","32","0.06%"
"040   Crisp County","373","0.76%","90.75%","38","0.94%","9.25%","411","0.77%"
"041   Dade County","88","0.18%","88.0%","12","0.3%","12.0%","100","0.19%"
"042   Dawson County","136","0.28%","87.74%","19","0.47%","12.26%","155","0.29%"
"043   Decatur County","313","0.64%","88.92%","39","0.96%","11.08%","352","0.66%"
"044   Dekalb County","2,730","5.55%","94.5%","159","3.91%","5.5%","2,889","5.42%"
"045   Dodge County","130","0.26%","92.86%","10","0.25%","7.14%","140","0.26%"
"046   Dooly County","126","0.26%","88.73%","16","0.39%","11.27%","142","0.27%"
"047   Dougherty County","709","1.44%","95.81%","31","0.76%","4.19%","740","1.39%"
"048   Douglas County","838","1.7%","90.99%","83","2.04%","9.01%","921","1.73%"
"049   Early County","75","0.15%","96.15%","3","0.07%","3.85%","78","0.15%"
"050   Echols County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"051   Effingham County","342","0.69%","87.69%","48","1.18%","12.31%","390","0.73%"
"052   Elbert County","138","0.28%","92.0%","12","0.3%","8.0%","150","0.28%"
"053   Emanuel County","224","0.46%","93.72%","15","0.37%","6.28%","239","0.45%"
