"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","49",".09%","89.09%","6",".15%","10.91%","55",".09%"
"115
Polk County","172",".32%","89.12%","21",".54%","10.88%","193",".33%"
"116
Pulaski County","67",".12%","93.06%","5",".13%","6.94%","72",".12%"
"117
Putnam County","177",".33%","92.19%","15",".38%","7.81%","192",".33%"
"118
Quitman County","24",".04%","100.00%","","","","24",".04%"
"119
Rabun County","51",".09%","87.93%","7",".18%","12.07%","58",".10%"
"120
Randolph County","81",".15%","95.29%","4",".10%","4.71%","85",".15%"
"121
Richmond County","1,956","3.62%","94.54%","113","2.88%","5.46%","2,069","3.57%"
"122
Rockdale County","493",".91%","92.50%","40","1.02%","7.50%","533",".92%"
"123
Schley County","22",".04%","100.00%","","","","22",".04%"
"124
Screven County","143",".26%","94.70%","8",".20%","5.30%","151",".26%"
"125
Seminole County","72",".13%","90.00%","8",".20%","10.00%","80",".14%"
"126
Spalding County","596","1.10%","91.69%","54","1.38%","8.31%","650","1.12%"
"127
Stephens County","176",".33%","92.15%","15",".38%","7.85%","191",".33%"
"128
Stewart County","32",".06%","91.43%","3",".08%","8.57%","35",".06%"
"129
Sumter County","253",".47%","95.47%","12",".31%","4.53%","265",".46%"
"130
Talbot County","55",".10%","94.83%","3",".08%","5.17%","58",".10%"
"131
Taliaferro County","24",".04%","82.76%","5",".13%","17.24%","29",".05%"
"132
Tattnall County","206",".38%","95.81%","9",".23%","4.19%","215",".37%"
"133
Taylor County","89",".16%","95.70%","4",".10%","4.30%","93",".16%"
"134
Telfair County","111",".21%","90.24%","12",".31%","9.76%","123",".21%"
"135
Terrell County","72",".13%","97.30%","2",".05%","2.70%","74",".13%"
"136
Thomas County","241",".45%","96.40%","9",".23%","3.60%","250",".43%"
"137
Tift County","295",".55%","96.41%","11",".28%","3.59%","306",".53%"
"138
Toombs County","354",".65%","89.17%","43","1.10%","10.83%","397",".68%"
"139
Towns County","45",".08%","84.91%","8",".20%","15.09%","53",".09%"
"140
Treutlen County","85",".16%","93.41%","6",".15%","6.59%","91",".16%"
"141
Troup County","680","1.26%","92.64%","54","1.38%","7.36%","734","1.27%"
"142
Turner County","71",".13%","94.67%","4",".10%","5.33%","75",".13%"
"143
Twiggs County","72",".13%","93.51%","5",".13%","6.49%","77",".13%"
"144
Union County","89",".16%","87.25%","13",".33%","12.75%","102",".18%"
"145
Upson County","181",".33%","95.26%","9",".23%","4.74%","190",".33%"
"146
Walker County","434",".80%","90.61%","45","1.15%","9.39%","479",".83%"
"147
Walton County","534",".99%","90.82%","54","1.38%","9.18%","588","1.01%"
"148
Ware County","348",".64%","93.30%","25",".64%","6.70%","373",".64%"
"149
Warren County","48",".09%","96.00%","2",".05%","4.00%","50",".09%"
"150
Washington County","184",".34%","91.54%","17",".43%","8.46%","201",".35%"
"151
Wayne County","122",".23%","90.37%","13",".33%","9.63%","135",".23%"
