"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","10",".02%","100.00%","","","","10",".02%"
"153
Wheeler County","29",".06%","96.67%","1",".03%","3.33%","30",".05%"
"154
White County","108",".21%","87.80%","15",".41%","12.20%","123",".22%"
"155
Whitfield County","568","1.11%","90.45%","60","1.63%","9.55%","628","1.14%"
"156
Wilcox County","47",".09%","88.68%","6",".16%","11.32%","53",".10%"
"157
Wilkes County","68",".13%","95.77%","3",".08%","4.23%","71",".13%"
"158
Wilkinson County","43",".08%","93.48%","3",".08%","6.52%","46",".08%"
"159
Worth County","113",".22%","94.17%","7",".19%","5.83%","120",".22%"
"Total Rported","51,269","100%","93.3%","3,680","100%","6.7%","54,949","100%"
