"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","16",".03%","84.21%","3",".09%","15.79%","19",".04%"
"40
Crisp","281",".59%","91.23%","27",".81%","8.77%","308",".61%"
"41
Dade","122",".26%","93.13%","9",".27%","6.87%","131",".26%"
"42
Dawson","90",".19%","92.78%","7",".21%","7.22%","97",".19%"
"43
Decatur","269",".57%","94.39%","16",".48%","5.61%","285",".56%"
"44
Dekalb","3,021","6.39%","95.09%","156","4.66%","4.91%","3,177","6.27%"
"45
Dodge","159",".34%","94.08%","10",".30%","5.92%","169",".33%"
"46
Dooly","106",".22%","96.36%","4",".12%","3.64%","110",".22%"
"47
Dougherty","952","2.01%","93.98%","61","1.82%","6.02%","1,013","2.00%"
"48
Douglas","1,035","2.19%","90.24%","112","3.35%","9.76%","1,147","2.27%"
"49
Early","78",".16%","96.30%","3",".09%","3.70%","81",".16%"
"50
Echols","13",".03%","100.00%","","","","13",".03%"
"51
Effingham","166",".35%","89.73%","19",".57%","10.27%","185",".37%"
"52
Elbert","157",".33%","91.81%","14",".42%","8.19%","171",".34%"
"53
Emanuel","151",".32%","95.57%","7",".21%","4.43%","158",".31%"
"54
Evans","82",".17%","93.18%","6",".18%","6.82%","88",".17%"
"55
Fannin","105",".22%","92.92%","8",".24%","7.08%","113",".22%"
"56
Fayette","275",".58%","91.36%","26",".78%","8.64%","301",".59%"
"57
Floyd","775","1.64%","89.80%","88","2.63%","10.20%","863","1.70%"
"58
Forsyth","253",".54%","90.68%","26",".78%","9.32%","279",".55%"
"59
Franklin","131",".28%","92.25%","11",".33%","7.75%","142",".28%"
"60
Fulton","4,350","9.20%","96.43%","161","4.81%","3.57%","4,511","8.91%"
"61
Gilmer","127",".27%","90.07%","14",".42%","9.93%","141",".28%"
"62
Glascock","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"63
Glynn","453",".96%","96.59%","16",".48%","3.41%","469",".93%"
"64
Gordon","284",".60%","87.93%","39","1.17%","12.07%","323",".64%"
"65
Grady","216",".46%","92.31%","18",".54%","7.69%","234",".46%"
"66
Greene","98",".21%","95.15%","5",".15%","4.85%","103",".20%"
"67
Gwinnett","1,512","3.20%","92.93%","115","3.44%","7.07%","1,627","3.21%"
"68
Habersham","121",".26%","90.30%","13",".39%","9.70%","134",".26%"
"69
Hall","709","1.50%","92.44%","58","1.73%","7.56%","767","1.51%"
"70
Hancock","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"71
Haralson","80",".17%","95.24%","4",".12%","4.76%","84",".17%"
"72
Harris","92",".19%","96.84%","3",".09%","3.16%","95",".19%"
"73
Hart","105",".22%","95.45%","5",".15%","4.55%","110",".22%"
"74
Heard","54",".11%","91.53%","5",".15%","8.47%","59",".12%"
"75
Henry","489","1.03%","91.23%","47","1.40%","8.77%","536","1.06%"
"76
Houston","584","1.24%","92.85%","45","1.34%","7.15%","629","1.24%"
