"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","693","1.59%","91.91%","61","2.05%","8.09%","754","1.62%"
"077
Irwin County","56",".13%","98.25%","1",".03%","1.75%","57",".12%"
"078
Jackson County","249",".57%","91.21%","24",".81%","8.79%","273",".59%"
"079
Jasper County","53",".12%","96.36%","2",".07%","3.64%","55",".12%"
"080
Jeff Davis County","75",".17%","94.94%","4",".13%","5.06%","79",".17%"
"081
Jefferson County","141",".32%","93.38%","10",".34%","6.62%","151",".32%"
"082
Jenkins County","63",".14%","92.65%","5",".17%","7.35%","68",".15%"
"083
Johnson County","36",".08%","97.30%","1",".03%","2.70%","37",".08%"
"084
Jones County","170",".39%","85.86%","28",".94%","14.14%","198",".42%"
"085
Lamar County","76",".17%","90.48%","8",".27%","9.52%","84",".18%"
"086
Lanier County","48",".11%","88.89%","6",".20%","11.11%","54",".12%"
"087
Laurens County","267",".61%","93.03%","20",".67%","6.97%","287",".62%"
"088
Lee County","60",".14%","88.24%","8",".27%","11.76%","68",".15%"
"089
Liberty County","178",".41%","93.68%","12",".40%","6.32%","190",".41%"
"090
Lincoln County","33",".08%","89.19%","4",".13%","10.81%","37",".08%"
"091
Long County","60",".14%","93.75%","4",".13%","6.25%","64",".14%"
"092
Lowndes County","414",".95%","94.95%","22",".74%","5.05%","436",".93%"
"093
Lumpkin County","70",".16%","92.11%","6",".20%","7.89%","76",".16%"
"094
Macon County","43",".10%","95.56%","2",".07%","4.44%","45",".10%"
"095
Madison County","129",".30%","90.21%","14",".47%","9.79%","143",".31%"
"096
Marion County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"097
Mcduffie County","161",".37%","94.71%","9",".30%","5.29%","170",".36%"
"098
Mcintosh County","54",".12%","91.53%","5",".17%","8.47%","59",".13%"
"099
Meriwether County","140",".32%","92.11%","12",".40%","7.89%","152",".33%"
"100
Miller County","29",".07%","100.00%","","","","29",".06%"
"101
Mitchell County","125",".29%","93.28%","9",".30%","6.72%","134",".29%"
"102
Monroe County","149",".34%","91.98%","13",".44%","8.02%","162",".35%"
"103
Montgomery County","26",".06%","89.66%","3",".10%","10.34%","29",".06%"
"104
Morgan County","127",".29%","90.71%","13",".44%","9.29%","140",".30%"
"105
Murray County","189",".43%","87.91%","26",".87%","12.09%","215",".46%"
"106
Muscogee County","1,001","2.29%","94.97%","53","1.78%","5.03%","1,054","2.26%"
"107
Newton County","627","1.44%","91.94%","55","1.85%","8.06%","682","1.46%"
"108
Oconee County","44",".10%","97.78%","1",".03%","2.22%","45",".10%"
"109
Oglethorpe County","66",".15%","100.00%","","","","66",".14%"
"110
Paulding County","215",".49%","93.48%","15",".50%","6.52%","230",".49%"
"111
Peach County","70",".16%","94.59%","4",".13%","5.41%","74",".16%"
"112
Pickens County","90",".21%","90.00%","10",".34%","10.00%","100",".21%"
"113
Pierce County","106",".24%","92.98%","8",".27%","7.02%","114",".24%"
