"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","292",".57%","93.59%","20",".54%","6.41%","312",".57%"
"001
Appling County","100",".20%","90.09%","11",".30%","9.91%","111",".20%"
"002
Atkinson County","49",".10%","96.08%","2",".05%","3.92%","51",".09%"
"003
Bacon County","75",".15%","96.15%","3",".08%","3.85%","78",".14%"
"004
Baker County","15",".03%","100.00%","","","","15",".03%"
"005
Baldwin County","326",".64%","95.32%","16",".43%","4.68%","342",".62%"
"006
Banks County","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"007
Barrow County","258",".50%","89.90%","29",".79%","10.10%","287",".52%"
"008
Bartow County","657","1.28%","89.39%","78","2.12%","10.61%","735","1.34%"
"009
Ben Hill County","246",".48%","94.25%","15",".41%","5.75%","261",".47%"
"010
Berrien County","91",".18%","92.86%","7",".19%","7.14%","98",".18%"
"011
Bibb County","1,091","2.13%","95.87%","47","1.28%","4.13%","1,138","2.07%"
"012
Bleckley County","69",".13%","90.79%","7",".19%","9.21%","76",".14%"
"013
Brantley County","66",".13%","91.67%","6",".16%","8.33%","72",".13%"
"014
Brooks County","74",".14%","97.37%","2",".05%","2.63%","76",".14%"
"015
Bryan County","113",".22%","97.41%","3",".08%","2.59%","116",".21%"
"016
Bulloch County","503",".98%","91.62%","46","1.25%","8.38%","549","1.00%"
"017
Burke County","208",".41%","95.85%","9",".24%","4.15%","217",".39%"
"018
Butts County","147",".29%","96.71%","5",".14%","3.29%","152",".28%"
"019
Calhoun County","39",".08%","86.67%","6",".16%","13.33%","45",".08%"
"020
Camden County","165",".32%","93.22%","12",".33%","6.78%","177",".32%"
"021
Candler County","123",".24%","92.48%","10",".27%","7.52%","133",".24%"
"022
Carroll County","578","1.13%","92.04%","50","1.36%","7.96%","628","1.14%"
"023
Catoosa County","348",".68%","90.39%","37","1.01%","9.61%","385",".70%"
"024
Charlton County","63",".12%","95.45%","3",".08%","4.55%","66",".12%"
"025
Chatham County","2,228","4.35%","96.41%","83","2.26%","3.59%","2,311","4.21%"
"026
Chattahoochee County","36",".07%","97.30%","1",".03%","2.70%","37",".07%"
"027
Chattooga County","229",".45%","86.09%","37","1.01%","13.91%","266",".48%"
"028
Cherokee County","547","1.07%","92.55%","44","1.20%","7.45%","591","1.08%"
"029
Clarke County","453",".88%","95.17%","23",".63%","4.83%","476",".87%"
"030
Clay County","35",".07%","94.59%","2",".05%","5.41%","37",".07%"
"031
Clayton County","1,544","3.01%","93.80%","102","2.77%","6.20%","1,646","3.00%"
"032
Clinch County","54",".11%","96.43%","2",".05%","3.57%","56",".10%"
"033
Cobb County","2,608","5.09%","90.97%","259","7.04%","9.03%","2,867","5.22%"
"034
Coffee County","255",".50%","93.07%","19",".52%","6.93%","274",".50%"
"035
Colquitt County","263",".51%","93.93%","17",".46%","6.07%","280",".51%"
"036
Columbia County","386",".75%","91.25%","37","1.01%","8.75%","423",".77%"
"037
Cook County","126",".25%","95.45%","6",".16%","4.55%","132",".24%"
