"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076 
Houston County","766","1.61%","92.07%","66","1.75%","7.93%","832","1.62%"
"077 
Irwin County","75",".16%","94.94%","4",".11%","5.06%","79",".15%"
"078 
Jackson County","253",".53%","90.68%","26",".69%","9.32%","279",".54%"
"079 
Jasper County","55",".12%","96.49%","2",".05%","3.51%","57",".11%"
"080 
Jeff Davis County","101",".21%","92.66%","8",".21%","7.34%","109",".21%"
"081 
Jefferson County","120",".25%","92.31%","10",".27%","7.69%","130",".25%"
"082 
Jenkins County","76",".16%","96.20%","3",".08%","3.80%","79",".15%"
"083 
Johnson County","40",".08%","97.56%","1",".03%","2.44%","41",".08%"
"084 
Jones County","176",".37%","93.62%","12",".32%","6.38%","188",".37%"
"085 
Lamar County","80",".17%","86.96%","12",".32%","13.04%","92",".18%"
"086 
Lanier County","48",".10%","87.27%","7",".19%","12.73%","55",".11%"
"087 
Laurens County","251",".53%","89.01%","31",".82%","10.99%","282",".55%"
"088 
Lee County","78",".16%","96.30%","3",".08%","3.70%","81",".16%"
"089 
Liberty County","228",".48%","93.06%","17",".45%","6.94%","245",".48%"
"090 
Lincoln County","37",".08%","97.37%","1",".03%","2.63%","38",".07%"
"091 
Long County","54",".11%","88.52%","7",".19%","11.48%","61",".12%"
"092 
Lowndes County","430",".91%","95.34%","21",".56%","4.66%","451",".88%"
"093 
Lumpkin County","74",".16%","88.10%","10",".27%","11.90%","84",".16%"
"094 
Macon County","41",".09%","95.35%","2",".05%","4.65%","43",".08%"
"095 
Madison County","146",".31%","90.68%","15",".40%","9.32%","161",".31%"
"096 
Marion County","20",".04%","90.91%","2",".05%","9.09%","22",".04%"
"097 
Mcduffie County","171",".36%","96.61%","6",".16%","3.39%","177",".35%"
"098 
Mcintosh County","75",".16%","96.15%","3",".08%","3.85%","78",".15%"
"099 
Meriwether County","130",".27%","97.01%","4",".11%","2.99%","134",".26%"
"100 
Miller County","38",".08%","100.00%","","","","38",".07%"
"101 
Mitchell County","155",".33%","91.18%","15",".40%","8.82%","170",".33%"
"102 
Monroe County","202",".43%","85.23%","35",".93%","14.77%","237",".46%"
"103 
Montgomery County","31",".07%","86.11%","5",".13%","13.89%","36",".07%"
"104 
Morgan County","126",".27%","90.65%","13",".34%","9.35%","139",".27%"
"105 
Murray County","291",".61%","88.18%","39","1.03%","11.82%","330",".64%"
"106 
Muscogee County","1,093","2.30%","94.39%","65","1.72%","5.61%","1,158","2.26%"
"107 
Newton County","680","1.43%","92.27%","57","1.51%","7.73%","737","1.44%"
"108 
Oconee County","55",".12%","91.67%","5",".13%","8.33%","60",".12%"
"109 
Oglethorpe County","61",".13%","89.71%","7",".19%","10.29%","68",".13%"
"110 
Paulding County","235",".49%","90.04%","26",".69%","9.96%","261",".51%"
"111 
Peach County","76",".16%","95.00%","4",".11%","5.00%","80",".16%"
"112 
Pickens County","105",".22%","86.78%","16",".42%","13.22%","121",".24%"
"113 
Pierce County","112",".24%","94.92%","6",".16%","5.08%","118",".23%"
