"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","142",".29%","94.67%","8",".22%","5.33%","150",".28%"
"116
Pulaski","79",".16%","89.77%","9",".25%","10.23%","88",".17%"
"117
Putnam","143",".29%","94.08%","9",".25%","5.92%","152",".29%"
"118
Quitman","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"119
Rabun","63",".13%","90.00%","7",".19%","10.00%","70",".13%"
"120
Randolph","48",".10%","88.89%","6",".16%","11.11%","54",".10%"
"121
Richmond","1,765","3.58%","93.73%","118","3.22%","6.27%","1,883","3.55%"
"122
Rockdale","447",".91%","91.60%","41","1.12%","8.40%","488",".92%"
"123
Schley","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"124
Screven","120",".24%","93.02%","9",".25%","6.98%","129",".24%"
"125
Seminole","72",".15%","90.00%","8",".22%","10.00%","80",".15%"
"126
Spalding","561","1.14%","90.92%","56","1.53%","9.08%","617","1.16%"
"127
Stephens","191",".39%","91.39%","18",".49%","8.61%","209",".39%"
"128
Stewart","29",".06%","90.63%","3",".08%","9.38%","32",".06%"
"129
Sumter","245",".50%","96.08%","10",".27%","3.92%","255",".48%"
"130
Talbot","43",".09%","93.48%","3",".08%","6.52%","46",".09%"
"131
Taliaferro","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"132
Tattnall","173",".35%","92.51%","14",".38%","7.49%","187",".35%"
"133
Taylor","102",".21%","95.33%","5",".14%","4.67%","107",".20%"
"134
Telfair","129",".26%","91.49%","12",".33%","8.51%","141",".27%"
"135
Terrell","82",".17%","97.62%","2",".05%","2.38%","84",".16%"
"136
Thomas","311",".63%","92.56%","25",".68%","7.44%","336",".63%"
"137
Tift","296",".60%","96.42%","11",".30%","3.58%","307",".58%"
"138
Toombs","277",".56%","92.64%","22",".60%","7.36%","299",".56%"
"139
Towns","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"140
Treutlen","78",".16%","97.50%","2",".05%","2.50%","80",".15%"
"141
Troup","668","1.35%","89.66%","77","2.10%","10.34%","745","1.41%"
"142
Turner","77",".16%","96.25%","3",".08%","3.75%","80",".15%"
"143
Twiggs","64",".13%","88.89%","8",".22%","11.11%","72",".14%"
"144
Union","82",".17%","90.11%","9",".25%","9.89%","91",".17%"
"145
Upson","218",".44%","93.56%","15",".41%","6.44%","233",".44%"
"146
Walker","402",".82%","91.99%","35",".95%","8.01%","437",".82%"
"147
Walton","406",".82%","90.83%","41","1.12%","9.17%","447",".84%"
"148
Ware","356",".72%","93.93%","23",".63%","6.07%","379",".72%"
"149
Warren","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"150
Washington","120",".24%","93.02%","9",".25%","6.98%","129",".24%"
"151
Wayne","156",".32%","88.64%","20",".55%","11.36%","176",".33%"
"152
Webster","7",".01%","87.50%","1",".03%","12.50%","8",".02%"
