"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","1,611","3.14%","89.20%","195","5.26%","10.80%","1,806","3.28%"
"001
Appling County","91",".18%","97.85%","2",".05%","2.15%","93",".17%"
"002
Atkinson County","45",".09%","91.84%","4",".11%","8.16%","49",".09%"
"003
Bacon County","59",".11%","98.33%","1",".03%","1.67%","60",".11%"
"004
Baker County","13",".03%","100.00%","","","","13",".02%"
"005
Baldwin County","296",".58%","93.97%","19",".51%","6.03%","315",".57%"
"006
Banks County","66",".13%","92.96%","5",".13%","7.04%","71",".13%"
"007
Barrow County","245",".48%","92.80%","19",".51%","7.20%","264",".48%"
"008
Bartow County","576","1.12%","90.14%","63","1.70%","9.86%","639","1.16%"
"009
Ben Hill County","213",".41%","94.25%","13",".35%","5.75%","226",".41%"
"010
Berrien County","76",".15%","93.83%","5",".13%","6.17%","81",".15%"
"011
Bibb County","1,081","2.11%","95.33%","53","1.43%","4.67%","1,134","2.06%"
"012
Bleckley County","68",".13%","90.67%","7",".19%","9.33%","75",".14%"
"013
Brantley County","63",".12%","92.65%","5",".13%","7.35%","68",".12%"
"014
Brooks County","59",".11%","95.16%","3",".08%","4.84%","62",".11%"
"015
Bryan County","98",".19%","98.00%","2",".05%","2.00%","100",".18%"
"016
Bulloch County","474",".92%","92.76%","37","1.00%","7.24%","511",".93%"
"017
Burke County","225",".44%","96.98%","7",".19%","3.02%","232",".42%"
"018
Butts County","169",".33%","96.57%","6",".16%","3.43%","175",".32%"
"019
Calhoun County","37",".07%","82.22%","8",".22%","17.78%","45",".08%"
"020
Camden County","160",".31%","94.67%","9",".24%","5.33%","169",".31%"
"021
Candler County","93",".18%","91.18%","9",".24%","8.82%","102",".19%"
"022
Carroll County","627","1.22%","90.35%","67","1.81%","9.65%","694","1.26%"
"023
Catoosa County","317",".62%","91.35%","30",".81%","8.65%","347",".63%"
"024
Charlton County","47",".09%","88.68%","6",".16%","11.32%","53",".10%"
"025
Chatham County","2,505","4.88%","95.65%","114","3.08%","4.35%","2,619","4.76%"
"026
Chattahoochee County","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"027
Chattooga County","255",".50%","90.11%","28",".76%","9.89%","283",".51%"
"028
Cherokee County","553","1.08%","92.94%","42","1.13%","7.06%","595","1.08%"
"029
Clarke County","474",".92%","94.23%","29",".78%","5.77%","503",".91%"
"030
Clay County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"031
Clayton County","1,423","2.77%","92.22%","120","3.24%","7.78%","1,543","2.80%"
"032
Clinch County","66",".13%","97.06%","2",".05%","2.94%","68",".12%"
"033
Cobb County","2,499","4.87%","91.84%","222","5.99%","8.16%","2,721","4.94%"
"034
Coffee County","243",".47%","94.19%","15",".40%","5.81%","258",".47%"
"035
Colquitt County","277",".54%","95.52%","13",".35%","4.48%","290",".53%"
"036
Columbia County","318",".62%","91.12%","31",".84%","8.88%","349",".63%"
"037
Cook County","120",".23%","96.77%","4",".11%","3.23%","124",".23%"
