"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","517","1.04%","93.32%","37","1.05%","6.68%","554","1.04%"
"039
Crawford County","20",".04%","100.00%","","","","20",".04%"
"040
Crisp County","261",".53%","95.60%","12",".34%","4.40%","273",".51%"
"041
Dade County","93",".19%","92.08%","8",".23%","7.92%","101",".19%"
"042
Dawson County","87",".18%","92.55%","7",".20%","7.45%","94",".18%"
"043
Decatur County","281",".57%","93.05%","21",".59%","6.95%","302",".57%"
"044
Dekalb County","3,160","6.36%","94.84%","172","4.87%","5.16%","3,332","6.26%"
"045
Dodge County","138",".28%","94.52%","8",".23%","5.48%","146",".27%"
"046
Dooly County","91",".18%","93.81%","6",".17%","6.19%","97",".18%"
"047
Dougherty County","992","2.00%","93.67%","67","1.90%","6.33%","1,059","1.99%"
"048
Douglas County","1,217","2.45%","90.69%","125","3.54%","9.31%","1,342","2.52%"
"049
Early County","100",".20%","97.09%","3",".08%","2.91%","103",".19%"
"050
Echols County","12",".02%","100.00%","","","","12",".02%"
"051
Effingham County","185",".37%","92.96%","14",".40%","7.04%","199",".37%"
"052
Elbert County","141",".28%","94.00%","9",".25%","6.00%","150",".28%"
"053
Emanuel County","168",".34%","92.31%","14",".40%","7.69%","182",".34%"
"054
Evans County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"055
Fannin County","83",".17%","85.57%","14",".40%","14.43%","97",".18%"
"056
Fayette County","314",".63%","88.45%","41","1.16%","11.55%","355",".67%"
"057
Floyd County","800","1.61%","89.09%","98","2.77%","10.91%","898","1.69%"
"058
Forsyth County","357",".72%","91.07%","35",".99%","8.93%","392",".74%"
"059
Franklin County","135",".27%","91.84%","12",".34%","8.16%","147",".28%"
"060
Fulton County","4,945","9.96%","96.19%","196","5.54%","3.81%","5,141","9.66%"
"061
Gilmer County","109",".22%","91.60%","10",".28%","8.40%","119",".22%"
"062
Glascock County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"063
Glynn County","508","1.02%","94.42%","30",".85%","5.58%","538","1.01%"
"064
Gordon County","396",".80%","89.80%","45","1.27%","10.20%","441",".83%"
"065
Grady County","184",".37%","94.85%","10",".28%","5.15%","194",".36%"
"066
Greene County","116",".23%","92.06%","10",".28%","7.94%","126",".24%"
"067
Gwinnett County","2,362","4.76%","93.25%","171","4.84%","6.75%","2,533","4.76%"
"068
Habersham County","100",".20%","94.34%","6",".17%","5.66%","106",".20%"
"069
Hall County","716","1.44%","90.40%","76","2.15%","9.60%","792","1.49%"
"070
Hancock County","40",".08%","95.24%","2",".06%","4.76%","42",".08%"
"071
Haralson County","164",".33%","91.62%","15",".42%","8.38%","179",".34%"
"072
Harris County","106",".21%","90.60%","11",".31%","9.40%","117",".22%"
"073
Hart County","154",".31%","94.48%","9",".25%","5.52%","163",".31%"
"074
Heard County","51",".10%","94.44%","3",".08%","5.56%","54",".10%"
"075
Henry County","502","1.01%","91.61%","46","1.30%","8.39%","548","1.03%"
