"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","48",".10%","90.57%","5",".14%","9.43%","53",".10%"
"115
Polk County","166",".33%","95.95%","7",".20%","4.05%","173",".32%"
"116
Pulaski County","56",".11%","96.55%","2",".06%","3.45%","58",".11%"
"117
Putnam County","172",".34%","91.98%","15",".42%","8.02%","187",".35%"
"118
Quitman County","21",".04%","100.00%","","","","21",".04%"
"119
Rabun County","43",".09%","87.76%","6",".17%","12.24%","49",".09%"
"120
Randolph County","68",".14%","95.77%","3",".08%","4.23%","71",".13%"
"121
Richmond County","1,922","3.83%","94.26%","117","3.29%","5.74%","2,039","3.79%"
"122
Rockdale County","432",".86%","93.51%","30",".84%","6.49%","462",".86%"
"123
Schley County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"124
Screven County","130",".26%","94.20%","8",".23%","5.80%","138",".26%"
"125
Seminole County","69",".14%","87.34%","10",".28%","12.66%","79",".15%"
"126
Spalding County","482",".96%","93.41%","34",".96%","6.59%","516",".96%"
"127
Stephens County","168",".33%","92.31%","14",".39%","7.69%","182",".34%"
"128
Stewart County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"129
Sumter County","207",".41%","94.09%","13",".37%","5.91%","220",".41%"
"130
Talbot County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"131
Taliaferro County","25",".05%","89.29%","3",".08%","10.71%","28",".05%"
"132
Tattnall County","190",".38%","92.68%","15",".42%","7.32%","205",".38%"
"133
Taylor County","69",".14%","94.52%","4",".11%","5.48%","73",".14%"
"134
Telfair County","95",".19%","95.00%","5",".14%","5.00%","100",".19%"
"135
Terrell County","82",".16%","96.47%","3",".08%","3.53%","85",".16%"
"136
Thomas County","217",".43%","93.94%","14",".39%","6.06%","231",".43%"
"137
Tift County","329",".66%","95.92%","14",".39%","4.08%","343",".64%"
"138
Toombs County","324",".65%","91.27%","31",".87%","8.73%","355",".66%"
"139
Towns County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"140
Treutlen County","89",".18%","96.74%","3",".08%","3.26%","92",".17%"
"141
Troup County","584","1.16%","91.68%","53","1.49%","8.32%","637","1.19%"
"142
Turner County","62",".12%","91.18%","6",".17%","8.82%","68",".13%"
"143
Twiggs County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"144
Union County","68",".14%","83.95%","13",".37%","16.05%","81",".15%"
"145
Upson County","180",".36%","95.74%","8",".23%","4.26%","188",".35%"
"146
Walker County","388",".77%","90.87%","39","1.10%","9.13%","427",".79%"
"147
Walton County","476",".95%","88.31%","63","1.77%","11.69%","539","1.00%"
"148
Ware County","341",".68%","92.92%","26",".73%","7.08%","367",".68%"
"149
Warren County","48",".10%","96.00%","2",".06%","4.00%","50",".09%"
"150
Washington County","185",".37%","89.81%","21",".59%","10.19%","206",".38%"
"151
Wayne County","160",".32%","91.95%","14",".39%","8.05%","174",".32%"
