"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","73",".15%","98.65%","1",".03%","1.35%","74",".14%"
"78
Jackson","196",".40%","94.23%","12",".32%","5.77%","208",".40%"
"79
Jasper","56",".12%","98.25%","1",".03%","1.75%","57",".11%"
"80
Jeff Davis","76",".16%","88.37%","10",".27%","11.63%","86",".16%"
"81
Jefferson","120",".25%","97.56%","3",".08%","2.44%","123",".24%"
"82
Jenkins","72",".15%","96.00%","3",".08%","4.00%","75",".14%"
"83
Johnson","50",".10%","90.91%","5",".13%","9.09%","55",".11%"
"84
Jones","159",".33%","88.83%","20",".54%","11.17%","179",".34%"
"85
Lamar","74",".15%","92.50%","6",".16%","7.50%","80",".15%"
"86
Lanier","39",".08%","100.00%","","","","39",".07%"
"87
Laurens","316",".65%","93.49%","22",".59%","6.51%","338",".65%"
"88
Lee","69",".14%","95.83%","3",".08%","4.17%","72",".14%"
"89
Liberty","267",".55%","92.71%","21",".57%","7.29%","288",".55%"
"90
Lincoln","27",".06%","96.43%","1",".03%","3.57%","28",".05%"
"91
Long","84",".17%","93.33%","6",".16%","6.67%","90",".17%"
"92
Lowndes","539","1.11%","92.93%","41","1.10%","7.07%","580","1.11%"
"93
Lumpkin","91",".19%","88.35%","12",".32%","11.65%","103",".20%"
"94
Macon","64",".13%","96.97%","2",".05%","3.03%","66",".13%"
"95
Madison","115",".24%","90.55%","12",".32%","9.45%","127",".24%"
"96
Marion","37",".08%","88.10%","5",".13%","11.90%","42",".08%"
"97
Mcduffie","173",".36%","94.02%","11",".30%","5.98%","184",".35%"
"98
Mcintosh","63",".13%","98.44%","1",".03%","1.56%","64",".12%"
"99
Meriwether","233",".48%","96.28%","9",".24%","3.72%","242",".46%"
"100
Miller","28",".06%","93.33%","2",".05%","6.67%","30",".06%"
"101
Mitchell","193",".40%","92.34%","16",".43%","7.66%","209",".40%"
"102
Monroe","137",".28%","88.96%","17",".46%","11.04%","154",".29%"
"103
Montgomery","58",".12%","92.06%","5",".13%","7.94%","63",".12%"
"104
Morgan","152",".31%","92.68%","12",".32%","7.32%","164",".31%"
"105
Murray","173",".36%","92.51%","14",".38%","7.49%","187",".36%"
"106
Muscogee","1,664","3.43%","94.92%","89","2.40%","5.08%","1,753","3.36%"
"107
Newton","617","1.27%","91.95%","54","1.45%","8.05%","671","1.28%"
"108
Oconee","49",".10%","96.08%","2",".05%","3.92%","51",".10%"
"109
Oglethorpe","49",".10%","98.00%","1",".03%","2.00%","50",".10%"
"110
Paulding","247",".51%","93.21%","18",".48%","6.79%","265",".51%"
"111
Peach","85",".18%","96.59%","3",".08%","3.41%","88",".17%"
"112
Pickens","72",".15%","92.31%","6",".16%","7.69%","78",".15%"
"113
Pierce","66",".14%","97.06%","2",".05%","2.94%","68",".13%"
"114
Pike","52",".11%","94.55%","3",".08%","5.45%","55",".11%"
