"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","117","0.24%","94.35%","7","0.17%","5.65%","124","0.23%"
"082   Jenkins County","94","0.19%","95.92%","4","0.1%","4.08%","98","0.18%"
"083   Johnson County","44","0.09%","93.62%","3","0.07%","6.38%","47","0.09%"
"084   Jones County","161","0.33%","95.27%","8","0.2%","4.73%","169","0.32%"
"085   Lamar County","97","0.2%","87.39%","14","0.34%","12.61%","111","0.21%"
"086   Lanier County","51","0.1%","87.93%","7","0.17%","12.07%","58","0.11%"
"087   Laurens County","279","0.57%","92.69%","22","0.54%","7.31%","301","0.56%"
"088   Lee County","80","0.16%","95.24%","4","0.1%","4.76%","84","0.16%"
"089   Liberty County","266","0.54%","92.04%","23","0.57%","7.96%","289","0.54%"
"090   Lincoln County","44","0.09%","97.78%","1","0.02%","2.22%","45","0.08%"
"091   Long County","72","0.15%","91.14%","7","0.17%","8.86%","79","0.15%"
"092   Lowndes County","479","0.97%","94.85%","26","0.64%","5.15%","505","0.95%"
"093   Lumpkin County","91","0.18%","85.05%","16","0.39%","14.95%","107","0.2%"
"094   Macon County","41","0.08%","93.18%","3","0.07%","6.82%","44","0.08%"
"095   Madison County","138","0.28%","92.0%","12","0.3%","8.0%","150","0.28%"
"096   Marion County","19","0.04%","95.0%","1","0.02%","5.0%","20","0.04%"
"097   Mcduffie County","175","0.36%","96.69%","6","0.15%","3.31%","181","0.34%"
"098   Mcintosh County","80","0.16%","95.24%","4","0.1%","4.76%","84","0.16%"
"099   Meriwether County","159","0.32%","93.53%","11","0.27%","6.47%","170","0.32%"
"100   Miller County","35","0.07%","92.11%","3","0.07%","7.89%","38","0.07%"
"101   Mitchell County","183","0.37%","93.85%","12","0.3%","6.15%","195","0.37%"
"102   Monroe County","208","0.42%","88.14%","28","0.69%","11.86%","236","0.44%"
"103   Montgomery County","30","0.06%","78.95%","8","0.2%","21.05%","38","0.07%"
"104   Morgan County","124","0.25%","93.94%","8","0.2%","6.06%","132","0.25%"
"105   Murray County","306","0.62%","87.43%","44","1.08%","12.57%","350","0.66%"
"106   Muscogee County","1,213","2.46%","94.4%","72","1.77%","5.6%","1,285","2.41%"
"107   Newton County","671","1.36%","89.71%","77","1.9%","10.29%","748","1.4%"
