"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","5",".01%","71.43%","2",".07%","28.57%","7",".01%"
"153 
Wheeler County","17",".04%","89.47%","2",".07%","10.53%","19",".04%"
"154 
White County","77",".18%","95.06%","4",".13%","4.94%","81",".17%"
"155 
Whitfield County","745","1.71%","88.80%","94","3.12%","11.20%","839","1.80%"
"156 
Wilcox County","53",".12%","91.38%","5",".17%","8.62%","58",".12%"
"157 
Wilkes County","62",".14%","96.88%","2",".07%","3.13%","64",".14%"
"158 
Wilkinson County","44",".10%","95.65%","2",".07%","4.35%","46",".10%"
"159 
Worth County","121",".28%","90.30%","13",".43%","9.70%","134",".29%"
"Total Rported","43,655","100%","93.54%","3,014","100%","6.46%","46,669","100%"
