"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","48",".10%","90.57%","5",".14%","9.43%","53",".10%"
"115
Polk County","174",".35%","96.13%","7",".20%","3.87%","181",".34%"
"116
Pulaski County","60",".12%","98.36%","1",".03%","1.64%","61",".12%"
"117
Putnam County","168",".34%","92.31%","14",".40%","7.69%","182",".34%"
"118
Quitman County","22",".04%","100.00%","","","","22",".04%"
"119
Rabun County","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"120
Randolph County","65",".13%","95.59%","3",".09%","4.41%","68",".13%"
"121
Richmond County","1,907","3.85%","94.55%","110","3.15%","5.45%","2,017","3.80%"
"122
Rockdale County","438",".88%","93.79%","29",".83%","6.21%","467",".88%"
"123
Schley County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"124
Screven County","127",".26%","94.07%","8",".23%","5.93%","135",".25%"
"125
Seminole County","69",".14%","88.46%","9",".26%","11.54%","78",".15%"
"126
Spalding County","489",".99%","93.50%","34",".97%","6.50%","523",".99%"
"127
Stephens County","161",".33%","93.60%","11",".31%","6.40%","172",".32%"
"128
Stewart County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"129
Sumter County","197",".40%","95.17%","10",".29%","4.83%","207",".39%"
"130
Talbot County","46",".09%","95.83%","2",".06%","4.17%","48",".09%"
"131
Taliaferro County","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"132
Tattnall County","211",".43%","91.34%","20",".57%","8.66%","231",".44%"
"133
Taylor County","64",".13%","94.12%","4",".11%","5.88%","68",".13%"
"134
Telfair County","87",".18%","95.60%","4",".11%","4.40%","91",".17%"
"135
Terrell County","77",".16%","96.25%","3",".09%","3.75%","80",".15%"
"136
Thomas County","213",".43%","93.42%","15",".43%","6.58%","228",".43%"
"137
Tift County","337",".68%","95.47%","16",".46%","4.53%","353",".67%"
"138
Toombs County","324",".65%","91.27%","31",".89%","8.73%","355",".67%"
"139
Towns County","35",".07%","85.37%","6",".17%","14.63%","41",".08%"
"140
Treutlen County","84",".17%","96.55%","3",".09%","3.45%","87",".16%"
"141
Troup County","575","1.16%","92.15%","49","1.40%","7.85%","624","1.18%"
"142
Turner County","64",".13%","90.14%","7",".20%","9.86%","71",".13%"
"143
Twiggs County","68",".14%","95.77%","3",".09%","4.23%","71",".13%"
"144
Union County","59",".12%","83.10%","12",".34%","16.90%","71",".13%"
"145
Upson County","172",".35%","95.03%","9",".26%","4.97%","181",".34%"
"146
Walker County","382",".77%","90.95%","38","1.09%","9.05%","420",".79%"
"147
Walton County","469",".95%","89.16%","57","1.63%","10.84%","526",".99%"
"148
Ware County","336",".68%","92.56%","27",".77%","7.44%","363",".68%"
"149
Warren County","47",".09%","100.00%","","","","47",".09%"
"150
Washington County","189",".38%","90.00%","21",".60%","10.00%","210",".40%"
"151
Wayne County","162",".33%","89.50%","19",".54%","10.50%","181",".34%"
