"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","550","1.23%","94.83%","30",".96%","5.17%","580","1.22%"
"039 
Crawford County","19",".04%","90.48%","2",".06%","9.52%","21",".04%"
"040 
Crisp County","321",".72%","93.86%","21",".67%","6.14%","342",".72%"
"041 
Dade County","78",".17%","97.50%","2",".06%","2.50%","80",".17%"
"042 
Dawson County","91",".20%","92.86%","7",".22%","7.14%","98",".21%"
"043 
Decatur County","227",".51%","95.78%","10",".32%","4.22%","237",".50%"
"044 
Dekalb County","2,529","5.67%","95.00%","133","4.27%","5.00%","2,662","5.58%"
"045 
Dodge County","104",".23%","95.41%","5",".16%","4.59%","109",".23%"
"046 
Dooly County","107",".24%","93.86%","7",".22%","6.14%","114",".24%"
"047 
Dougherty County","733","1.64%","96.19%","29",".93%","3.81%","762","1.60%"
"048 
Douglas County","941","2.11%","91.18%","91","2.92%","8.82%","1,032","2.16%"
"049 
Early County","78",".17%","96.30%","3",".10%","3.70%","81",".17%"
"050 
Echols County","11",".02%","84.62%","2",".06%","15.38%","13",".03%"
"051 
Effingham County","203",".46%","90.22%","22",".71%","9.78%","225",".47%"
"052 
Elbert County","128",".29%","93.43%","9",".29%","6.57%","137",".29%"
"053 
Emanuel County","140",".31%","91.50%","13",".42%","8.50%","153",".32%"
"054 
Evans County","78",".17%","95.12%","4",".13%","4.88%","82",".17%"
"055 
Fannin County","87",".20%","87.88%","12",".39%","12.12%","99",".21%"
"056 
Fayette County","294",".66%","95.45%","14",".45%","4.55%","308",".65%"
"057 
Floyd County","825","1.85%","91.06%","81","2.60%","8.94%","906","1.90%"
"058 
Forsyth County","335",".75%","91.03%","33","1.06%","8.97%","368",".77%"
"059 
Franklin County","135",".30%","85.44%","23",".74%","14.56%","158",".33%"
"060 
Fulton County","4,448","9.97%","96.34%","169","5.43%","3.66%","4,617","9.68%"
"061 
Gilmer County","94",".21%","91.26%","9",".29%","8.74%","103",".22%"
"062 
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063 
Glynn County","505","1.13%","93.69%","34","1.09%","6.31%","539","1.13%"
"064 
Gordon County","324",".73%","90.00%","36","1.16%","10.00%","360",".75%"
"065 
Grady County","136",".30%","96.45%","5",".16%","3.55%","141",".30%"
"066 
Greene County","89",".20%","95.70%","4",".13%","4.30%","93",".19%"
"067 
Gwinnett County","2,327","5.22%","94.10%","146","4.69%","5.90%","2,473","5.18%"
"068 
Habersham County","108",".24%","90.76%","11",".35%","9.24%","119",".25%"
"069 
Hall County","620","1.39%","92.81%","48","1.54%","7.19%","668","1.40%"
"070 
Hancock County","33",".07%","89.19%","4",".13%","10.81%","37",".08%"
"071 
Haralson County","114",".26%","92.68%","9",".29%","7.32%","123",".26%"
"072 
Harris County","94",".21%","93.07%","7",".22%","6.93%","101",".21%"
"073 
Hart County","160",".36%","93.02%","12",".39%","6.98%","172",".36%"
"074 
Heard County","40",".09%","95.24%","2",".06%","4.76%","42",".09%"
"075 
Henry County","579","1.30%","92.05%","50","1.61%","7.95%","629","1.32%"
