"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","506","1.02%","93.36%","36","1.03%","6.64%","542","1.02%"
"Crawford County","16",".03%","100.00%","","","","16",".03%"
"Crisp County","259",".52%","95.22%","13",".37%","4.78%","272",".51%"
"Dade County","101",".20%","93.52%","7",".20%","6.48%","108",".20%"
"Dawson County","100",".20%","92.59%","8",".23%","7.41%","108",".20%"
"Decatur County","298",".60%","93.71%","20",".57%","6.29%","318",".60%"
"Dekalb County","3,104","6.25%","95.42%","149","4.27%","4.58%","3,253","6.12%"
"Dodge County","143",".29%","93.46%","10",".29%","6.54%","153",".29%"
"Dooly County","98",".20%","94.23%","6",".17%","5.77%","104",".20%"
"Dougherty County","1,005","2.02%","93.66%","68","1.95%","6.34%","1,073","2.02%"
"Douglas County","1,212","2.44%","90.25%","131","3.75%","9.75%","1,343","2.53%"
"Early County","92",".19%","95.83%","4",".11%","4.17%","96",".18%"
"Echols County","13",".03%","100.00%","","","","13",".02%"
"Effingham County","199",".40%","92.99%","15",".43%","7.01%","214",".40%"
"Elbert County","142",".29%","95.30%","7",".20%","4.70%","149",".28%"
"Emanuel County","172",".35%","91.49%","16",".46%","8.51%","188",".35%"
"Evans County","90",".18%","95.74%","4",".11%","4.26%","94",".18%"
"Fannin County","96",".19%","87.27%","14",".40%","12.73%","110",".21%"
"Fayette County","344",".69%","89.35%","41","1.17%","10.65%","385",".72%"
"Floyd County","805","1.62%","89.84%","91","2.61%","10.16%","896","1.69%"
"Forsyth County","344",".69%","89.12%","42","1.20%","10.88%","386",".73%"
"Franklin County","139",".28%","90.85%","14",".40%","9.15%","153",".29%"
"Fulton County","4,870","9.81%","95.77%","215","6.16%","4.23%","5,085","9.57%"
"Gilmer County","113",".23%","93.39%","8",".23%","6.61%","121",".23%"
"Glascock County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Glynn County","500","1.01%","94.88%","27",".77%","5.12%","527",".99%"
"Gordon County","357",".72%","87.29%","52","1.49%","12.71%","409",".77%"
"Grady County","210",".42%","95.02%","11",".32%","4.98%","221",".42%"
"Greene County","121",".24%","91.67%","11",".32%","8.33%","132",".25%"
"Gwinnett County","2,383","4.80%","93.30%","171","4.90%","6.70%","2,554","4.81%"
"Habersham County","101",".20%","97.12%","3",".09%","2.88%","104",".20%"
"Hall County","686","1.38%","91.10%","67","1.92%","8.90%","753","1.42%"
"Hancock County","39",".08%","95.12%","2",".06%","4.88%","41",".08%"
"Haralson County","143",".29%","91.67%","13",".37%","8.33%","156",".29%"
"Harris County","102",".21%","95.33%","5",".14%","4.67%","107",".20%"
"Hart County","149",".30%","92.55%","12",".34%","7.45%","161",".30%"
"Heard County","50",".10%","87.72%","7",".20%","12.28%","57",".11%"
"Henry County","527","1.06%","91.49%","49","1.40%","8.51%","576","1.08%"
