"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","708","1.42%","94.78%","39","1.10%","5.22%","747","1.40%"
"077
Irwin County","67",".13%","93.06%","5",".14%","6.94%","72",".14%"
"078
Jackson County","239",".48%","92.64%","19",".54%","7.36%","258",".48%"
"079
Jasper County","59",".12%","93.65%","4",".11%","6.35%","63",".12%"
"080
Jeff Davis County","87",".17%","95.60%","4",".11%","4.40%","91",".17%"
"081
Jefferson County","143",".29%","97.95%","3",".08%","2.05%","146",".27%"
"082
Jenkins County","65",".13%","95.59%","3",".08%","4.41%","68",".13%"
"083
Johnson County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"084
Jones County","196",".39%","91.59%","18",".51%","8.41%","214",".40%"
"085
Lamar County","75",".15%","92.59%","6",".17%","7.41%","81",".15%"
"086
Lanier County","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"087
Laurens County","291",".59%","95.10%","15",".42%","4.90%","306",".57%"
"088
Lee County","62",".12%","96.88%","2",".06%","3.13%","64",".12%"
"089
Liberty County","256",".51%","90.78%","26",".74%","9.22%","282",".53%"
"090
Lincoln County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"091
Long County","79",".16%","92.94%","6",".17%","7.06%","85",".16%"
"092
Lowndes County","530","1.07%","96.36%","20",".57%","3.64%","550","1.03%"
"093
Lumpkin County","96",".19%","94.12%","6",".17%","5.88%","102",".19%"
"094
Macon County","49",".10%","96.08%","2",".06%","3.92%","51",".10%"
"095
Madison County","131",".26%","94.24%","8",".23%","5.76%","139",".26%"
"096
Marion County","26",".05%","100.00%","","","","26",".05%"
"097
Mcduffie County","183",".37%","95.31%","9",".25%","4.69%","192",".36%"
"098
Mcintosh County","69",".14%","98.57%","1",".03%","1.43%","70",".13%"
"099
Meriwether County","166",".33%","93.26%","12",".34%","6.74%","178",".33%"
"100
Miller County","32",".06%","100.00%","","","","32",".06%"
"101
Mitchell County","167",".34%","91.76%","15",".42%","8.24%","182",".34%"
"102
Monroe County","131",".26%","88.51%","17",".48%","11.49%","148",".28%"
"103
Montgomery County","26",".05%","100.00%","","","","26",".05%"
"104
Morgan County","151",".30%","92.64%","12",".34%","7.36%","163",".31%"
"105
Murray County","140",".28%","93.96%","9",".25%","6.04%","149",".28%"
"106
Muscogee County","1,161","2.34%","95.32%","57","1.61%","4.68%","1,218","2.29%"
"107
Newton County","656","1.32%","92.79%","51","1.44%","7.21%","707","1.33%"
"108
Oconee County","51",".10%","98.08%","1",".03%","1.92%","52",".10%"
"109
Oglethorpe County","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
"110
Paulding County","228",".46%","92.31%","19",".54%","7.69%","247",".46%"
"111
Peach County","83",".17%","95.40%","4",".11%","4.60%","87",".16%"
"112
Pickens County","86",".17%","91.49%","8",".23%","8.51%","94",".18%"
"113
Pierce County","77",".15%","97.47%","2",".06%","2.53%","79",".15%"
