"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","283",".55%","93.40%","20",".53%","6.60%","303",".55%"
"Appling County","103",".20%","90.35%","11",".29%","9.65%","114",".21%"
"Atkinson County","50",".10%","94.34%","3",".08%","5.66%","53",".10%"
"Bacon County","70",".14%","95.89%","3",".08%","4.11%","73",".13%"
"Baker County","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"Baldwin County","339",".66%","95.22%","17",".45%","4.78%","356",".64%"
"Banks County","61",".12%","93.85%","4",".11%","6.15%","65",".12%"
"Barrow County","249",".48%","89.89%","28",".75%","10.11%","277",".50%"
"Bartow County","663","1.29%","88.40%","87","2.32%","11.60%","750","1.36%"
"Ben Hill County","247",".48%","94.27%","15",".40%","5.73%","262",".47%"
"Berrien County","94",".18%","93.07%","7",".19%","6.93%","101",".18%"
"Bibb County","1,085","2.11%","95.59%","50","1.33%","4.41%","1,135","2.05%"
"Bleckley County","73",".14%","92.41%","6",".16%","7.59%","79",".14%"
"Brantley County","65",".13%","90.28%","7",".19%","9.72%","72",".13%"
"Brooks County","69",".13%","95.83%","3",".08%","4.17%","72",".13%"
"Bryan County","113",".22%","96.58%","4",".11%","3.42%","117",".21%"
"Bulloch County","510",".99%","91.40%","48","1.28%","8.60%","558","1.01%"
"Burke County","208",".40%","95.85%","9",".24%","4.15%","217",".39%"
"Butts County","147",".29%","96.71%","5",".13%","3.29%","152",".28%"
"Calhoun County","39",".08%","86.67%","6",".16%","13.33%","45",".08%"
"Camden County","163",".32%","92.61%","13",".35%","7.39%","176",".32%"
"Candler County","125",".24%","92.59%","10",".27%","7.41%","135",".24%"
"Carroll County","581","1.13%","91.64%","53","1.41%","8.36%","634","1.15%"
"Catoosa County","346",".67%","89.87%","39","1.04%","10.13%","385",".70%"
"Charlton County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"Chatham County","2,253","4.38%","96.12%","91","2.43%","3.88%","2,344","4.24%"
"Chattahoochee County","34",".07%","97.14%","1",".03%","2.86%","35",".06%"
"Chattooga County","234",".45%","86.67%","36",".96%","13.33%","270",".49%"
"Cherokee County","540","1.05%","92.62%","43","1.15%","7.38%","583","1.06%"
"Clarke County","455",".88%","95.19%","23",".61%","4.81%","478",".87%"
"Clay County","35",".07%","94.59%","2",".05%","5.41%","37",".07%"
"Clayton County","1,570","3.05%","93.56%","108","2.88%","6.44%","1,678","3.04%"
