"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","116","0.24%","93.55%","8","0.2%","6.45%","124","0.23%"
"082   Jenkins County","97","0.2%","96.04%","4","0.1%","3.96%","101","0.19%"
"083   Johnson County","44","0.09%","93.62%","3","0.07%","6.38%","47","0.09%"
"084   Jones County","151","0.31%","94.38%","9","0.22%","5.63%","160","0.3%"
"085   Lamar County","92","0.19%","88.46%","12","0.29%","11.54%","104","0.2%"
"086   Lanier County","48","0.1%","87.27%","7","0.17%","12.73%","55","0.1%"
"087   Laurens County","274","0.56%","92.57%","22","0.54%","7.43%","296","0.56%"
"088   Lee County","84","0.17%","95.45%","4","0.1%","4.55%","88","0.17%"
"089   Liberty County","254","0.52%","92.36%","21","0.52%","7.64%","275","0.52%"
"090   Lincoln County","42","0.09%","97.67%","1","0.02%","2.33%","43","0.08%"
"091   Long County","66","0.13%","89.19%","8","0.2%","10.81%","74","0.14%"
"092   Lowndes County","477","0.97%","94.64%","27","0.66%","5.36%","504","0.95%"
"093   Lumpkin County","93","0.19%","86.92%","14","0.34%","13.08%","107","0.2%"
"094   Macon County","42","0.09%","93.33%","3","0.07%","6.67%","45","0.08%"
"095   Madison County","139","0.28%","91.45%","13","0.32%","8.55%","152","0.29%"
"096   Marion County","24","0.05%","88.89%","3","0.07%","11.11%","27","0.05%"
"097   Mcduffie County","172","0.35%","96.63%","6","0.15%","3.37%","178","0.33%"
"098   Mcintosh County","81","0.16%","94.19%","5","0.12%","5.81%","86","0.16%"
"099   Meriwether County","154","0.31%","93.9%","10","0.25%","6.1%","164","0.31%"
"100   Miller County","33","0.07%","91.67%","3","0.07%","8.33%","36","0.07%"
"101   Mitchell County","189","0.38%","93.1%","14","0.34%","6.9%","203","0.38%"
"102   Monroe County","209","0.43%","89.7%","24","0.59%","10.3%","233","0.44%"
"103   Montgomery County","33","0.07%","82.5%","7","0.17%","17.5%","40","0.08%"
"104   Morgan County","118","0.24%","92.19%","10","0.25%","7.81%","128","0.24%"
"105   Murray County","313","0.64%","87.19%","46","1.13%","12.81%","359","0.67%"
"106   Muscogee County","1,238","2.52%","94.22%","76","1.87%","5.78%","1,314","2.47%"
"107   Newton County","688","1.4%","90.05%","76","1.87%","9.95%","764","1.44%"
