"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","141",".29%","95.92%","6",".18%","4.08%","147",".28%"
"116
Pulaski","71",".15%","86.59%","11",".33%","13.41%","82",".16%"
"117
Putnam","132",".27%","97.06%","4",".12%","2.94%","136",".26%"
"118
Quitman","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"119
Rabun","65",".13%","92.86%","5",".15%","7.14%","70",".14%"
"120
Randolph","42",".09%","93.33%","3",".09%","6.67%","45",".09%"
"121
Richmond","1,841","3.80%","94.46%","108","3.19%","5.54%","1,949","3.76%"
"122
Rockdale","440",".91%","94.02%","28",".83%","5.98%","468",".90%"
"123
Schley","24",".05%","100.00%","","","","24",".05%"
"124
Screven","122",".25%","95.31%","6",".18%","4.69%","128",".25%"
"125
Seminole","70",".14%","90.91%","7",".21%","9.09%","77",".15%"
"126
Spalding","607","1.25%","92.67%","48","1.42%","7.33%","655","1.26%"
"127
Stephens","184",".38%","90.20%","20",".59%","9.80%","204",".39%"
"128
Stewart","35",".07%","94.59%","2",".06%","5.41%","37",".07%"
"129
Sumter","255",".53%","95.15%","13",".38%","4.85%","268",".52%"
"130
Talbot","39",".08%","92.86%","3",".09%","7.14%","42",".08%"
"131
Taliaferro","17",".04%","89.47%","2",".06%","10.53%","19",".04%"
"132
Tattnall","163",".34%","95.32%","8",".24%","4.68%","171",".33%"
"133
Taylor","92",".19%","95.83%","4",".12%","4.17%","96",".19%"
"134
Telfair","138",".29%","91.39%","13",".38%","8.61%","151",".29%"
"135
Terrell","79",".16%","98.75%","1",".03%","1.25%","80",".15%"
"136
Thomas","304",".63%","94.41%","18",".53%","5.59%","322",".62%"
"137
Tift","325",".67%","95.87%","14",".41%","4.13%","339",".65%"
"138
Toombs","253",".52%","92.67%","20",".59%","7.33%","273",".53%"
"139
Towns","37",".08%","86.05%","6",".18%","13.95%","43",".08%"
"140
Treutlen","76",".16%","96.20%","3",".09%","3.80%","79",".15%"
"141
Troup","699","1.44%","91.73%","63","1.86%","8.27%","762","1.47%"
"142
Turner","72",".15%","97.30%","2",".06%","2.70%","74",".14%"
"143
Twiggs","47",".10%","88.68%","6",".18%","11.32%","53",".10%"
"144
Union","71",".15%","97.26%","2",".06%","2.74%","73",".14%"
"145
Upson","243",".50%","91.35%","23",".68%","8.65%","266",".51%"
"146
Walker","393",".81%","90.55%","41","1.21%","9.45%","434",".84%"
"147
Walton","349",".72%","94.58%","20",".59%","5.42%","369",".71%"
"148
Ware","331",".68%","94.30%","20",".59%","5.70%","351",".68%"
"149
Warren","47",".10%","95.92%","2",".06%","4.08%","49",".09%"
"150
Washington","117",".24%","93.60%","8",".24%","6.40%","125",".24%"
"151
Wayne","156",".32%","90.70%","16",".47%","9.30%","172",".33%"
"152
Webster","14",".03%","100.00%","","","","14",".03%"
