"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","100.00%","","","","6",".01%"
"153
Wheeler County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"154
White County","110",".22%","86.61%","17",".47%","13.39%","127",".24%"
"155
Whitfield County","587","1.19%","88.14%","79","2.17%","11.86%","666","1.25%"
"156
Wilcox County","41",".08%","97.62%","1",".03%","2.38%","42",".08%"
"157
Wilkes County","74",".15%","98.67%","1",".03%","1.33%","75",".14%"
"158
Wilkinson County","50",".10%","96.15%","2",".05%","3.85%","52",".10%"
"159
Worth County","126",".25%","94.03%","8",".22%","5.97%","134",".25%"
"447
Troup County Ci","1",".01%","100.00%","","","","1",".01%"
"Total Rported","49,530","100%","93.15%","3,642","100%","6.85%","53,172","100%"
