"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","149",".30%","94.90%","8",".22%","5.10%","157",".30%"
"116
Pulaski","80",".16%","88.89%","10",".27%","11.11%","90",".17%"
"117
Putnam","129",".26%","94.16%","8",".22%","5.84%","137",".26%"
"118
Quitman","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"119
Rabun","63",".13%","91.30%","6",".16%","8.70%","69",".13%"
"120
Randolph","49",".10%","89.09%","6",".16%","10.91%","55",".10%"
"121
Richmond","1,742","3.56%","94.06%","110","2.98%","5.94%","1,852","3.52%"
"122
Rockdale","469",".96%","91.42%","44","1.19%","8.58%","513",".97%"
"123
Schley","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"124
Screven","120",".24%","93.75%","8",".22%","6.25%","128",".24%"
"125
Seminole","65",".13%","89.04%","8",".22%","10.96%","73",".14%"
"126
Spalding","567","1.16%","91.75%","51","1.38%","8.25%","618","1.17%"
"127
Stephens","182",".37%","91.92%","16",".43%","8.08%","198",".38%"
"128
Stewart","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"129
Sumter","246",".50%","96.09%","10",".27%","3.91%","256",".49%"
"130
Talbot","43",".09%","93.48%","3",".08%","6.52%","46",".09%"
"131
Taliaferro","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"132
Tattnall","178",".36%","93.19%","13",".35%","6.81%","191",".36%"
"133
Taylor","94",".19%","94.95%","5",".14%","5.05%","99",".19%"
"134
Telfair","122",".25%","91.73%","11",".30%","8.27%","133",".25%"
"135
Terrell","84",".17%","98.82%","1",".03%","1.18%","85",".16%"
"136
Thomas","294",".60%","90.74%","30",".81%","9.26%","324",".61%"
"137
Tift","303",".62%","95.89%","13",".35%","4.11%","316",".60%"
"138
Toombs","283",".58%","91.00%","28",".76%","9.00%","311",".59%"
"139
Towns","48",".10%","88.89%","6",".16%","11.11%","54",".10%"
"140
Treutlen","82",".17%","98.80%","1",".03%","1.20%","83",".16%"
"141
Troup","714","1.46%","90.04%","79","2.14%","9.96%","793","1.51%"
"142
Turner","80",".16%","97.56%","2",".05%","2.44%","82",".16%"
"143
Twiggs","61",".12%","88.41%","8",".22%","11.59%","69",".13%"
"144
Union","75",".15%","87.21%","11",".30%","12.79%","86",".16%"
"145
Upson","222",".45%","94.07%","14",".38%","5.93%","236",".45%"
"146
Walker","394",".80%","90.78%","40","1.08%","9.22%","434",".82%"
"147
Walton","399",".81%","91.51%","37","1.00%","8.49%","436",".83%"
"148
Ware","344",".70%","93.99%","22",".60%","6.01%","366",".69%"
"149
Warren","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"150
Washington","115",".23%","93.50%","8",".22%","6.50%","123",".23%"
"151
Wayne","155",".32%","90.12%","17",".46%","9.88%","172",".33%"
"152
Webster","6",".01%","100.00%","","","","6",".01%"
