"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","349",".64%","95.62%","16",".41%","4.38%","365",".62%"
"Appling County","104",".19%","97.20%","3",".08%","2.80%","107",".18%"
"Atkinson County","60",".11%","90.91%","6",".15%","9.09%","66",".11%"
"Bacon County","62",".11%","98.41%","1",".03%","1.59%","63",".11%"
"Baker County","13",".02%","100.00%","","","","13",".02%"
"Baldwin County","350",".64%","92.84%","27",".69%","7.16%","377",".64%"
"Banks County","70",".13%","94.59%","4",".10%","5.41%","74",".13%"
"Barrow County","283",".52%","92.48%","23",".59%","7.52%","306",".52%"
"Bartow County","702","1.29%","88.41%","92","2.35%","11.59%","794","1.36%"
"Ben Hill County","228",".42%","93.83%","15",".38%","6.17%","243",".42%"
"Berrien County","100",".18%","95.24%","5",".13%","4.76%","105",".18%"
"Bibb County","1,157","2.12%","94.84%","63","1.61%","5.16%","1,220","2.09%"
"Bleckley County","71",".13%","91.03%","7",".18%","8.97%","78",".13%"
"Brantley County","75",".14%","91.46%","7",".18%","8.54%","82",".14%"
"Brooks County","68",".12%","95.77%","3",".08%","4.23%","71",".12%"
"Bryan County","116",".21%","99.15%","1",".03%",".85%","117",".20%"
"Bulloch County","534",".98%","92.23%","45","1.15%","7.77%","579",".99%"
"Burke County","232",".43%","97.48%","6",".15%","2.52%","238",".41%"
"Butts County","181",".33%","95.77%","8",".20%","4.23%","189",".32%"
"Calhoun County","44",".08%","86.27%","7",".18%","13.73%","51",".09%"
"Camden County","165",".30%","94.29%","10",".26%","5.71%","175",".30%"
"Candler County","109",".20%","90.83%","11",".28%","9.17%","120",".21%"
"Carroll County","636","1.17%","90.21%","69","1.76%","9.79%","705","1.21%"
"Catoosa County","371",".68%","91.15%","36",".92%","8.85%","407",".70%"
"Charlton County","53",".10%","91.38%","5",".13%","8.62%","58",".10%"
"Chatham County","2,540","4.66%","96.03%","105","2.69%","3.97%","2,645","4.52%"
"Chattahoochee County","34",".06%","91.89%","3",".08%","8.11%","37",".06%"
"Chattooga County","266",".49%","89.86%","30",".77%","10.14%","296",".51%"
"Cherokee County","602","1.10%","92.62%","48","1.23%","7.38%","650","1.11%"
"Clarke County","495",".91%","94.65%","28",".72%","5.35%","523",".89%"
"Clay County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"Clayton County","1,584","2.90%","93.56%","109","2.79%","6.44%","1,693","2.90%"
"Clinch County","70",".13%","98.59%","1",".03%","1.41%","71",".12%"
"Cobb County","2,811","5.15%","91.09%","275","7.03%","8.91%","3,086","5.28%"
"Coffee County","239",".44%","93.36%","17",".43%","6.64%","256",".44%"
"Colquitt County","284",".52%","94.04%","18",".46%","5.96%","302",".52%"
"Columbia County","356",".65%","90.82%","36",".92%","9.18%","392",".67%"
"Cook County","133",".24%","95.68%","6",".15%","4.32%","139",".24%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","559","1.02%","91.79%","50","1.28%","8.21%","609","1.04%"
"Crawford County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Crisp County","270",".49%","92.78%","21",".54%","7.22%","291",".50%"
"Dade County","128",".23%","90.14%","14",".36%","9.86%","142",".24%"
"Dawson County","122",".22%","92.42%","10",".26%","7.58%","132",".23%"
"Decatur County","305",".56%","90.50%","32",".82%","9.50%","337",".58%"
"Dekalb County","3,262","5.98%","95.32%","160","4.09%","4.68%","3,422","5.85%"
"Dodge County","172",".32%","95.03%","9",".23%","4.97%","181",".31%"
"Dooly County","89",".16%","94.68%","5",".13%","5.32%","94",".16%"
"Dougherty County","1,061","1.94%","94.56%","61","1.56%","5.44%","1,122","1.92%"
"Douglas County","1,331","2.44%","90.05%","147","3.76%","9.95%","1,478","2.53%"
"Early County","110",".20%","97.35%","3",".08%","2.65%","113",".19%"
"Echols County","8",".01%","100.00%","","","","8",".01%"
"Effingham County","191",".35%","92.72%","15",".38%","7.28%","206",".35%"
"Elbert County","155",".28%","91.72%","14",".36%","8.28%","169",".29%"
"Emanuel County","185",".34%","93.91%","12",".31%","6.09%","197",".34%"
"Evans County","105",".19%","97.22%","3",".08%","2.78%","108",".18%"
"Fannin County","113",".21%","91.87%","10",".26%","8.13%","123",".21%"
"Fayette County","426",".78%","91.03%","42","1.07%","8.97%","468",".80%"
"Floyd County","819","1.50%","90.80%","83","2.12%","9.20%","902","1.54%"
"Forsyth County","330",".60%","86.39%","52","1.33%","13.61%","382",".65%"
"Franklin County","142",".26%","91.03%","14",".36%","8.97%","156",".27%"
"Fulton County","5,207","9.54%","96.02%","216","5.52%","3.98%","5,423","9.28%"
"Gilmer County","132",".24%","91.03%","13",".33%","8.97%","145",".25%"
"Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"Glynn County","430",".79%","95.13%","22",".56%","4.87%","452",".77%"
"Gordon County","346",".63%","90.10%","38",".97%","9.90%","384",".66%"
"Grady County","251",".46%","94.72%","14",".36%","5.28%","265",".45%"
"Greene County","154",".28%","91.67%","14",".36%","8.33%","168",".29%"
"Gwinnett County","2,620","4.80%","92.61%","209","5.35%","7.39%","2,829","4.84%"
"Habersham County","110",".20%","94.02%","7",".18%","5.98%","117",".20%"
"Hall County","776","1.42%","92.93%","59","1.51%","7.07%","835","1.43%"
"Hancock County","40",".07%","100.00%","","","","40",".07%"
"Haralson County","103",".19%","91.96%","9",".23%","8.04%","112",".19%"
"Harris County","128",".23%","96.24%","5",".13%","3.76%","133",".23%"
"Hart County","117",".21%","95.90%","5",".13%","4.10%","122",".21%"
"Heard County","57",".10%","91.94%","5",".13%","8.06%","62",".11%"
"Henry County","641","1.17%","90.15%","70","1.79%","9.85%","711","1.22%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Houston County","706","1.29%","93.76%","47","1.20%","6.24%","753","1.29%"
"Irwin County","83",".15%","94.32%","5",".13%","5.68%","88",".15%"
"Jackson County","248",".45%","90.84%","25",".64%","9.16%","273",".47%"
"Jasper County","75",".14%","93.75%","5",".13%","6.25%","80",".14%"
"Jeff Davis County","73",".13%","92.41%","6",".15%","7.59%","79",".14%"
