"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"153
Wheeler County","27",".05%","93.10%","2",".05%","6.90%","29",".05%"
"154
White County","99",".19%","87.61%","14",".36%","12.39%","113",".21%"
"155
Whitfield County","780","1.53%","87.84%","108","2.76%","12.16%","888","1.62%"
"156
Wilcox County","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"157
Wilkes County","79",".16%","91.86%","7",".18%","8.14%","86",".16%"
"158
Wilkinson County","49",".10%","94.23%","3",".08%","5.77%","52",".09%"
"159
Worth County","131",".26%","91.61%","12",".31%","8.39%","143",".26%"
"Total Rported","50,937","100%","92.87%","3,910","100%","7.13%","54,847","100%"
