"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","691","1.29%","93.50%","48","1.22%","6.50%","739","1.29%"
"077
Irwin County","79",".15%","94.05%","5",".13%","5.95%","84",".15%"
"078
Jackson County","251",".47%","91.61%","23",".59%","8.39%","274",".48%"
"079
Jasper County","74",".14%","94.87%","4",".10%","5.13%","78",".14%"
"080
Jeff Davis County","68",".13%","91.89%","6",".15%","8.11%","74",".13%"
"081
Jefferson County","161",".30%","95.83%","7",".18%","4.17%","168",".29%"
"082
Jenkins County","65",".12%","94.20%","4",".10%","5.80%","69",".12%"
"083
Johnson County","57",".11%","91.94%","5",".13%","8.06%","62",".11%"
"084
Jones County","218",".41%","90.83%","22",".56%","9.17%","240",".42%"
"085
Lamar County","83",".16%","93.26%","6",".15%","6.74%","89",".16%"
"086
Lanier County","48",".09%","94.12%","3",".08%","5.88%","51",".09%"
"087
Laurens County","349",".65%","95.36%","17",".43%","4.64%","366",".64%"
"088
Lee County","65",".12%","91.55%","6",".15%","8.45%","71",".12%"
"089
Liberty County","309",".58%","93.64%","21",".53%","6.36%","330",".58%"
"090
Lincoln County","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"091
Long County","80",".15%","96.39%","3",".08%","3.61%","83",".14%"
"092
Lowndes County","573","1.07%","93.93%","37",".94%","6.07%","610","1.06%"
"093
Lumpkin County","109",".20%","88.62%","14",".36%","11.38%","123",".21%"
"094
Macon County","71",".13%","97.26%","2",".05%","2.74%","73",".13%"
"095
Madison County","105",".20%","95.45%","5",".13%","4.55%","110",".19%"
"096
Marion County","34",".06%","97.14%","1",".03%","2.86%","35",".06%"
"097
Mcduffie County","196",".37%","92.89%","15",".38%","7.11%","211",".37%"
"098
Mcintosh County","80",".15%","97.56%","2",".05%","2.44%","82",".14%"
"099
Meriwether County","231",".43%","96.25%","9",".23%","3.75%","240",".42%"
"100
Miller County","41",".08%","100.00%","","","","41",".07%"
"101
Mitchell County","238",".45%","93.33%","17",".43%","6.67%","255",".45%"
"102
Monroe County","179",".34%","90.86%","18",".46%","9.14%","197",".34%"
"103
Montgomery County","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"104
Morgan County","147",".28%","90.18%","16",".41%","9.82%","163",".28%"
"105
Murray County","200",".37%","94.79%","11",".28%","5.21%","211",".37%"
"106
Muscogee County","1,561","2.93%","95.18%","79","2.01%","4.82%","1,640","2.86%"
"107
Newton County","708","1.33%","91.47%","66","1.68%","8.53%","774","1.35%"
"108
Oconee County","58",".11%","95.08%","3",".08%","4.92%","61",".11%"
"109
Oglethorpe County","63",".12%","94.03%","4",".10%","5.97%","67",".12%"
"110
Paulding County","311",".58%","92.84%","24",".61%","7.16%","335",".58%"
"111
Peach County","81",".15%","97.59%","2",".05%","2.41%","83",".14%"
"112
Pickens County","117",".22%","90.70%","12",".31%","9.30%","129",".23%"
"113
Pierce County","83",".16%","96.51%","3",".08%","3.49%","86",".15%"
