"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","155",".32%","92.81%","12",".35%","7.19%","167",".32%"
"116
Pulaski","77",".16%","95.06%","4",".12%","4.94%","81",".16%"
"117
Putnam","150",".31%","94.34%","9",".26%","5.66%","159",".30%"
"118
Quitman","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"119
Rabun","42",".09%","91.30%","4",".12%","8.70%","46",".09%"
"120
Randolph","68",".14%","95.77%","3",".09%","4.23%","71",".14%"
"121
Richmond","1,754","3.60%","94.81%","96","2.79%","5.19%","1,850","3.54%"
"122
Rockdale","450",".92%","92.40%","37","1.08%","7.60%","487",".93%"
"123
Schley","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"124
Screven","123",".25%","97.62%","3",".09%","2.38%","126",".24%"
"125
Seminole","54",".11%","87.10%","8",".23%","12.90%","62",".12%"
"126
Spalding","548","1.12%","91.03%","54","1.57%","8.97%","602","1.15%"
"127
Stephens","180",".37%","93.26%","13",".38%","6.74%","193",".37%"
"128
Stewart","27",".06%","93.10%","2",".06%","6.90%","29",".06%"
"129
Sumter","208",".43%","95.85%","9",".26%","4.15%","217",".42%"
"130
Talbot","64",".13%","98.46%","1",".03%","1.54%","65",".12%"
"131
Taliaferro","22",".05%","88.00%","3",".09%","12.00%","25",".05%"
"132
Tattnall","192",".39%","94.12%","12",".35%","5.88%","204",".39%"
"133
Taylor","88",".18%","90.72%","9",".26%","9.28%","97",".19%"
"134
Telfair","102",".21%","87.18%","15",".44%","12.82%","117",".22%"
"135
Terrell","79",".16%","97.53%","2",".06%","2.47%","81",".16%"
"136
Thomas","241",".49%","94.88%","13",".38%","5.12%","254",".49%"
"137
Tift","282",".58%","95.59%","13",".38%","4.41%","295",".57%"
"138
Toombs","350",".72%","92.84%","27",".79%","7.16%","377",".72%"
"139
Towns","46",".09%","80.70%","11",".32%","19.30%","57",".11%"
"140
Treutlen","68",".14%","95.77%","3",".09%","4.23%","71",".14%"
"141
Troup","653","1.34%","93.29%","47","1.37%","6.71%","700","1.34%"
"142
Turner","69",".14%","94.52%","4",".12%","5.48%","73",".14%"
"143
Twiggs","60",".12%","93.75%","4",".12%","6.25%","64",".12%"
"144
Union","82",".17%","88.17%","11",".32%","11.83%","93",".18%"
"145
Upson","174",".36%","93.05%","13",".38%","6.95%","187",".36%"
"146
Walker","433",".89%","93.52%","30",".87%","6.48%","463",".89%"
"147
Walton","437",".90%","91.61%","40","1.16%","8.39%","477",".91%"
"148
Ware","296",".61%","93.38%","21",".61%","6.62%","317",".61%"
"149
Warren","37",".08%","94.87%","2",".06%","5.13%","39",".07%"
"150
Washington","138",".28%","89.61%","16",".47%","10.39%","154",".30%"
"151
Wayne","129",".26%","88.97%","16",".47%","11.03%","145",".28%"
"152
Webster","5",".01%","100.00%","","","","5",".01%"
