"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","224",".48%","94.12%","14",".38%","5.88%","238",".47%"
"001
Appling County","112",".24%","96.55%","4",".11%","3.45%","116",".23%"
"002
Atkinson County","47",".10%","97.92%","1",".03%","2.08%","48",".09%"
"003
Bacon County","74",".16%","92.50%","6",".16%","7.50%","80",".16%"
"004
Baker County","16",".03%","88.89%","2",".05%","11.11%","18",".04%"
"005
Baldwin County","289",".62%","93.23%","21",".57%","6.77%","310",".61%"
"006
Banks County","55",".12%","87.30%","8",".22%","12.70%","63",".12%"
"007
Barrow County","363",".77%","88.54%","47","1.29%","11.46%","410",".81%"
"008
Bartow County","579","1.23%","87.33%","84","2.30%","12.67%","663","1.31%"
"009
Ben Hill County","260",".55%","92.86%","20",".55%","7.14%","280",".55%"
"010
Berrien County","107",".23%","93.86%","7",".19%","6.14%","114",".23%"
"011
Bibb County","940","2.00%","95.33%","46","1.26%","4.67%","986","1.95%"
"012
Bleckley County","64",".14%","92.75%","5",".14%","7.25%","69",".14%"
"013
Brantley County","80",".17%","85.11%","14",".38%","14.89%","94",".19%"
"014
Brooks County","52",".11%","98.11%","1",".03%","1.89%","53",".10%"
"015
Bryan County","70",".15%","95.89%","3",".08%","4.11%","73",".14%"
"016
Bulloch County","501","1.07%","92.10%","43","1.18%","7.90%","544","1.07%"
"017
Burke County","213",".45%","95.95%","9",".25%","4.05%","222",".44%"
"018
Butts County","143",".30%","92.86%","11",".30%","7.14%","154",".30%"
"019
Calhoun County","27",".06%","87.10%","4",".11%","12.90%","31",".06%"
"020
Camden County","185",".39%","92.96%","14",".38%","7.04%","199",".39%"
"021
Candler County","81",".17%","92.05%","7",".19%","7.95%","88",".17%"
"022
Carroll County","645","1.37%","92.67%","51","1.40%","7.33%","696","1.38%"
"023
Catoosa County","365",".78%","87.32%","53","1.45%","12.68%","418",".83%"
"024
Charlton County","67",".14%","90.54%","7",".19%","9.46%","74",".15%"
"025
Chatham County","1,522","3.24%","95.60%","70","1.92%","4.40%","1,592","3.15%"
"026
Chattahoochee County","17",".04%","100.00%","","","","17",".03%"
"027
Chattooga County","165",".35%","93.22%","12",".33%","6.78%","177",".35%"
"028
Cherokee County","597","1.27%","92.70%","47","1.29%","7.30%","644","1.27%"
"029
Clarke County","488","1.04%","94.57%","28",".77%","5.43%","516","1.02%"
"030
Clay County","12",".03%","85.71%","2",".05%","14.29%","14",".03%"
"031
Clayton County","1,052","2.24%","93.10%","78","2.14%","6.90%","1,130","2.23%"
"032
Clinch County","41",".09%","95.35%","2",".05%","4.65%","43",".08%"
"033
Cobb County","2,168","4.62%","93.21%","158","4.33%","6.79%","2,326","4.60%"
"034
Coffee County","302",".64%","93.21%","22",".60%","6.79%","324",".64%"
"035
Colquitt County","232",".49%","94.69%","13",".36%","5.31%","245",".48%"
"036
Columbia County","445",".95%","91.00%","44","1.20%","9.00%","489",".97%"
"037
Cook County","123",".26%","93.89%","8",".22%","6.11%","131",".26%"
