"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","86",".18%","94.51%","5",".15%","5.49%","91",".18%"
"Atkinson","41",".09%","97.62%","1",".03%","2.38%","42",".08%"
"Bacon","58",".12%","98.31%","1",".03%","1.69%","59",".12%"
"Baker","12",".03%","92.31%","1",".03%","7.69%","13",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","344",".72%","95.29%","17",".50%","4.71%","361",".71%"
"Banks","77",".16%","91.67%","7",".20%","8.33%","84",".16%"
"Barrow","243",".51%","95.29%","12",".35%","4.71%","255",".50%"
"Bartow","556","1.17%","90.11%","61","1.78%","9.89%","617","1.21%"
"Ben Hill","237",".50%","94.05%","15",".44%","5.95%","252",".49%"
"0
Berrien","80",".17%","87.91%","11",".32%","12.09%","91",".18%"
"11
Bibb","1,024","2.16%","94.81%","56","1.63%","5.19%","1,080","2.12%"
"12
Bleckley","99",".21%","86.84%","15",".44%","13.16%","114",".22%"
"13
Brantley","57",".12%","93.44%","4",".12%","6.56%","61",".12%"
"14
Brooks","70",".15%","100.00%","","","","70",".14%"
"15
Bryan","94",".20%","92.16%","8",".23%","7.84%","102",".20%"
"16
Bulloch","454",".96%","94.78%","25",".73%","5.22%","479",".94%"
"17
Burke","209",".44%","94.14%","13",".38%","5.86%","222",".44%"
"18
Butts","149",".31%","96.13%","6",".17%","3.87%","155",".30%"
"19
Calhoun","40",".08%","90.91%","4",".12%","9.09%","44",".09%"
"20
Camden","137",".29%","95.14%","7",".20%","4.86%","144",".28%"
"21
Candler","83",".17%","94.32%","5",".15%","5.68%","88",".17%"
"22
Carroll","545","1.15%","90.98%","54","1.57%","9.02%","599","1.18%"
"23
Catoosa","253",".53%","92.34%","21",".61%","7.66%","274",".54%"
"24
Charlton","54",".11%","93.10%","4",".12%","6.90%","58",".11%"
"25
Chatham","2,345","4.94%","94.75%","130","3.79%","5.25%","2,475","4.86%"
"26
Chattahoochee","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"27
Chattooga","231",".49%","87.83%","32",".93%","12.17%","263",".52%"
"28
Cherokee","551","1.16%","91.07%","54","1.57%","8.93%","605","1.19%"
"29
Clarke","476","1.00%","94.26%","29",".85%","5.74%","505",".99%"
"30
Clay","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"31
Clayton","1,564","3.29%","92.65%","124","3.62%","7.35%","1,688","3.32%"
"32
Clinch","44",".09%","91.67%","4",".12%","8.33%","48",".09%"
"33
Cobb","2,520","5.31%","91.30%","240","7.00%","8.70%","2,760","5.42%"
"34
Coffee","219",".46%","90.50%","23",".67%","9.50%","242",".48%"
"35
Colquitt","302",".64%","95.27%","15",".44%","4.73%","317",".62%"
"36
Columbia","291",".61%","93.27%","21",".61%","6.73%","312",".61%"
"37
Cook","136",".29%","93.15%","10",".29%","6.85%","146",".29%"
"38
Coweta","499","1.05%","93.10%","37","1.08%","6.90%","536","1.05%"
