"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"000   Unknown","259","0.53%","96.28%","10","0.25%","3.72%","269","0.51%"
"001   Appling County","123","0.25%","95.35%","6","0.15%","4.65%","129","0.24%"
"002   Atkinson County","46","0.09%","95.83%","2","0.05%","4.17%","48","0.09%"
"003   Bacon County","85","0.17%","93.41%","6","0.15%","6.59%","91","0.17%"
"004   Baker County","13","0.03%","81.25%","3","0.07%","18.75%","16","0.03%"
"005   Baldwin County","330","0.67%","90.91%","33","0.81%","9.09%","363","0.68%"
"006   Banks County","95","0.19%","87.96%","13","0.32%","12.04%","108","0.2%"
"007   Barrow County","390","0.79%","89.04%","48","1.18%","10.96%","438","0.82%"
"008   Bartow County","536","1.09%","88.74%","68","1.67%","11.26%","604","1.14%"
"009   Ben Hill County","240","0.49%","90.57%","25","0.61%","9.43%","265","0.5%"
"010   Berrien County","140","0.28%","89.74%","16","0.39%","10.26%","156","0.29%"
"011   Bibb County","952","1.94%","95.01%","50","1.23%","4.99%","1,002","1.88%"
"012   Bleckley County","63","0.13%","91.3%","6","0.15%","8.7%","69","0.13%"
"013   Brantley County","70","0.14%","85.37%","12","0.29%","14.63%","82","0.15%"
"014   Brooks County","65","0.13%","94.2%","4","0.1%","5.8%","69","0.13%"
"015   Bryan County","116","0.24%","92.8%","9","0.22%","7.2%","125","0.23%"
"016   Bulloch County","571","1.16%","93.76%","38","0.93%","6.24%","609","1.14%"
"017   Burke County","216","0.44%","96.43%","8","0.2%","3.57%","224","0.42%"
"018   Butts County","149","0.3%","89.76%","17","0.42%","10.24%","166","0.31%"
"019   Calhoun County","31","0.06%","96.88%","1","0.02%","3.13%","32","0.06%"
"020   Camden County","183","0.37%","91.5%","17","0.42%","8.5%","200","0.38%"
"021   Candler County","91","0.19%","92.86%","7","0.17%","7.14%","98","0.18%"
"022   Carroll County","632","1.29%","92.26%","53","1.3%","7.74%","685","1.29%"
"023   Catoosa County","380","0.77%","84.44%","70","1.72%","15.56%","450","0.85%"
"024   Charlton County","60","0.12%","88.24%","8","0.2%","11.76%","68","0.13%"
"025   Chatham County","1,397","2.84%","95.03%","73","1.79%","4.97%","1,470","2.76%"
"026   Chattahoochee County","15","0.03%","100.0%","","","","15","0.03%"
