"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"78
Jackson","193",".39%","91.04%","19",".52%","8.96%","212",".40%"
"79
Jasper","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"80
Jeff Davis","89",".18%","96.74%","3",".08%","3.26%","92",".17%"
"81
Jefferson","115",".23%","95.83%","5",".14%","4.17%","120",".23%"
"82
Jenkins","74",".15%","94.87%","4",".11%","5.13%","78",".15%"
"83
Johnson","58",".12%","95.08%","3",".08%","4.92%","61",".11%"
"84
Jones","147",".30%","93.04%","11",".30%","6.96%","158",".30%"
"85
Lamar","78",".16%","92.86%","6",".17%","7.14%","84",".16%"
"86
Lanier","37",".07%","90.24%","4",".11%","9.76%","41",".08%"
"87
Laurens","349",".70%","94.84%","19",".52%","5.16%","368",".69%"
"88
Lee","72",".14%","91.14%","7",".19%","8.86%","79",".15%"
"89
Liberty","291",".59%","93.27%","21",".58%","6.73%","312",".59%"
"90
Lincoln","30",".06%","100.00%","","","","30",".06%"
"91
Long","83",".17%","94.32%","5",".14%","5.68%","88",".17%"
"92
Lowndes","598","1.20%","94.62%","34",".94%","5.38%","632","1.19%"
"93
Lumpkin","112",".23%","89.60%","13",".36%","10.40%","125",".23%"
"94
Macon","74",".15%","94.87%","4",".11%","5.13%","78",".15%"
"95
Madison","126",".25%","94.03%","8",".22%","5.97%","134",".25%"
"96
Marion","51",".10%","92.73%","4",".11%","7.27%","55",".10%"
"97
Mcduffie","195",".39%","97.01%","6",".17%","2.99%","201",".38%"
"98
Mcintosh","72",".14%","98.63%","1",".03%","1.37%","73",".14%"
"99
Meriwether","198",".40%","93.40%","14",".39%","6.60%","212",".40%"
"100
Miller","33",".07%","100.00%","","","","33",".06%"
"101
Mitchell","184",".37%","90.20%","20",".55%","9.80%","204",".38%"
"102
Monroe","162",".33%","93.10%","12",".33%","6.90%","174",".33%"
"103
Montgomery","50",".10%","90.91%","5",".14%","9.09%","55",".10%"
"104
Morgan","109",".22%","92.37%","9",".25%","7.63%","118",".22%"
"105
Murray","239",".48%","92.64%","19",".52%","7.36%","258",".48%"
"106
Muscogee","1,886","3.80%","94.06%","119","3.27%","5.94%","2,005","3.76%"
"107
Newton","571","1.15%","89.08%","70","1.93%","10.92%","641","1.20%"
"108
Oconee","56",".11%","98.25%","1",".03%","1.75%","57",".11%"
"109
Oglethorpe","54",".11%","93.10%","4",".11%","6.90%","58",".11%"
"110
Paulding","228",".46%","91.57%","21",".58%","8.43%","249",".47%"
"111
Peach","90",".18%","97.83%","2",".06%","2.17%","92",".17%"
"112
Pickens","96",".19%","91.43%","9",".25%","8.57%","105",".20%"
"113
Pierce","63",".13%","96.92%","2",".06%","3.08%","65",".12%"
"114
Pike","50",".10%","90.91%","5",".14%","9.09%","55",".10%"
