"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","607","1.27%","94.11%","38","1.00%","5.89%","645","1.25%"
"Crawford County","23",".05%","92.00%","2",".05%","8.00%","25",".05%"
"Crisp County","387",".81%","91.92%","34",".90%","8.08%","421",".82%"
"Dade County","87",".18%","87.88%","12",".32%","12.12%","99",".19%"
"Dawson County","140",".29%","86.42%","22",".58%","13.58%","162",".31%"
"Decatur County","308",".65%","90.32%","33",".87%","9.68%","341",".66%"
"Dekalb County","2,484","5.21%","95.50%","117","3.08%","4.50%","2,601","5.06%"
"Dodge County","138",".29%","88.46%","18",".47%","11.54%","156",".30%"
"Dooly County","128",".27%","88.28%","17",".45%","11.72%","145",".28%"
"Dougherty County","744","1.56%","95.38%","36",".95%","4.62%","780","1.52%"
"Douglas County","854","1.79%","90.66%","88","2.32%","9.34%","942","1.83%"
"Early County","86",".18%","96.63%","3",".08%","3.37%","89",".17%"
"Echols County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"Effingham County","357",".75%","89.70%","41","1.08%","10.30%","398",".77%"
"Elbert County","144",".30%","92.31%","12",".32%","7.69%","156",".30%"
"Emanuel County","199",".42%","94.31%","12",".32%","5.69%","211",".41%"
"Evans County","82",".17%","93.18%","6",".16%","6.82%","88",".17%"
"Fannin County","96",".20%","88.07%","13",".34%","11.93%","109",".21%"
"Fayette County","372",".78%","89.42%","44","1.16%","10.58%","416",".81%"
"Floyd County","883","1.85%","90.84%","89","2.35%","9.16%","972","1.89%"
"Forsyth County","393",".82%","87.92%","54","1.42%","12.08%","447",".87%"
"Franklin County","165",".35%","90.16%","18",".47%","9.84%","183",".36%"
"Fulton County","4,389","9.21%","95.83%","191","5.03%","4.17%","4,580","8.90%"
"Gilmer County","101",".21%","90.99%","10",".26%","9.01%","111",".22%"
"Glascock County","16",".03%","100.00%","","","","16",".03%"
"Glynn County","536","1.12%","94.04%","34",".90%","5.96%","570","1.11%"
"Gordon County","391",".82%","88.66%","50","1.32%","11.34%","441",".86%"
"Grady County","202",".42%","90.18%","22",".58%","9.82%","224",".44%"
"Greene County","114",".24%","87.02%","17",".45%","12.98%","131",".25%"
"Gwinnett County","2,392","5.02%","93.04%","179","4.72%","6.96%","2,571","5.00%"
"Habersham County","128",".27%","88.28%","17",".45%","11.72%","145",".28%"
"Hall County","697","1.46%","92.07%","60","1.58%","7.93%","757","1.47%"
"Hancock County","41",".09%","93.18%","3",".08%","6.82%","44",".09%"
"Haralson County","190",".40%","89.20%","23",".61%","10.80%","213",".41%"
"Harris County","91",".19%","95.79%","4",".11%","4.21%","95",".18%"
"Hart County","165",".35%","92.18%","14",".37%","7.82%","179",".35%"
"Heard County","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"Henry County","745","1.56%","92.20%","63","1.66%","7.80%","808","1.57%"
